iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AFG,Asia,Afghanistan,2021-08-17,152243.0,101.0,175.714,7031.0,6.0,10.0,3910.853,2.595,4.514,180.614,0.154,0.257,0.76,,,,,,,,,,,,,,,,,,1809517.0,770302.0,,,,35057.0,4.65,1.98,,,901.0,52.31,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,
OWID_AFR,,Africa,2021-08-17,7328968.0,32248.0,35065.429,185393.0,1036.0,942.429,5466.939,24.055,26.157,138.291,0.773,0.703,,,,,,,,,,,,,,,,,,,85894004.0,58401775.0,29946076.0,,756014.0,1006764.0,6.41,4.36,2.23,,751.0,,1340598113.0,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-08-17,136598.0,451.0,342.429,2468.0,2.0,1.143,47466.12,156.717,118.99,857.6,0.695,0.397,2.08,,,,,,,,,,,,,,,,,,1330754.0,757938.0,572816.0,,9556.0,8666.0,46.24,26.34,19.9,,3011.0,37.96,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,
DZA,Africa,Algeria,2021-08-17,188663.0,695.0,759.429,4867.0,37.0,35.571,4302.361,15.849,17.318,110.989,0.844,0.811,0.73,31.0,0.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,
AND,Europe,Andorra,2021-08-17,14960.0,6.0,12.429,129.0,0.0,0.0,193619.362,77.655,160.856,1669.579,0.0,0.0,0.86,,,,,,,,,,206208.0,2668.841,,210.0,2.718,0.061,16.5,people tested,,,,,,,,,,,,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,
AGO,Africa,Angola,2021-08-17,44972.0,233.0,154.571,1118.0,15.0,8.714,1368.333,7.089,4.703,34.017,0.456,0.265,1.04,,,,,,,,,,,,,,,,,,1727488.0,1000191.0,727297.0,,,4557.0,5.26,3.04,2.21,,139.0,,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,
AIA,North America,Anguilla,2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18457.0,9492.0,8965.0,,,38.0,123.03,63.27,59.76,,2533.0,,15002.0,,,,,,,,,,,,,81.88,,
ATG,North America,Antigua and Barbuda,2021-08-17,1397.0,0.0,7.0,43.0,0.0,0.0,14265.583,0.0,71.481,439.098,0.0,0.0,1.26,,,,,,,,,,,,,,,,,,71065.0,39039.0,32026.0,,,166.0,72.57,39.87,32.7,,1695.0,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,
ARG,South America,Argentina,2021-08-17,5096443.0,8172.0,7850.857,109405.0,300.0,177.143,112763.699,180.813,173.708,2420.691,6.638,3.919,0.84,,,,,,,,,38213.0,12652709.0,279.953,0.845,34141.0,0.755,0.098,10.2,tests performed,36941932.0,26684756.0,10257176.0,,132681.0,242022.0,81.74,59.04,22.69,,5355.0,75.93,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
ARM,Asia,Armenia,2021-08-17,235171.0,357.0,365.857,4713.0,11.0,7.857,79362.953,120.476,123.465,1590.492,3.712,2.652,1.26,,,,,,,,,6447.0,1415538.0,477.7,2.176,6162.0,2.079,0.048,20.8,tests performed,220236.0,144573.0,75663.0,,,3619.0,7.43,4.88,2.55,,1221.0,,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,
ABW,North America,Aruba,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142606.0,74555.0,68051.0,,573.0,329.0,133.57,69.83,63.74,,3082.0,,106766.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,
OWID_ASI,,Asia,2021-08-17,66536874.0,275824.0,268915.714,978234.0,4330.0,4602.857,14340.315,59.447,57.958,210.833,0.933,0.992,,,,,,,,,,,,,,,,,,,3139397996.0,1494875479.0,1147950664.0,1949774.0,27757530.0,25408391.0,67.66,32.22,24.74,0.04,5476.0,,4639847425.0,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-08-17,40774.0,677.0,485.286,970.0,3.0,3.571,1598.988,26.549,19.031,38.039,0.118,0.14,1.37,,,,,,,,,243020.0,28177587.0,1105.009,9.53,203730.0,7.989,0.002,464.5,tests performed,15618391.0,10119463.0,5498928.0,,279465.0,237192.0,61.25,39.68,21.56,,9302.0,68.06,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUT,Europe,Austria,2021-08-17,670372.0,866.0,891.286,10757.0,0.0,0.857,74432.848,96.154,98.961,1194.373,0.0,0.095,1.4,44.0,4.885,119.0,13.213,,,,,395705.0,71577449.0,7947.398,43.936,327749.0,36.391,0.002,406.1,tests performed,10216141.0,5403970.0,5038214.0,,22989.0,22723.0,113.43,60.0,55.94,,2523.0,56.02,9006400.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,
AZE,Asia,Azerbaijan,2021-08-17,373175.0,3322.0,2644.714,5188.0,18.0,14.857,36805.263,327.64,260.841,511.679,1.775,1.465,1.84,,,,,,,,,13945.0,4220135.0,416.221,1.375,12334.0,1.216,0.205,4.9,tests performed,5866215.0,3473806.0,2392409.0,,71732.0,55453.0,57.86,34.26,23.6,,5469.0,,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
BHS,North America,Bahamas,2021-08-17,16668.0,0.0,107.571,313.0,0.0,0.714,42385.467,0.0,273.546,795.935,0.0,1.816,1.04,,,,,,,,,,,,,,,,,,110443.0,62863.0,47580.0,,,426.0,28.08,15.99,12.1,,1083.0,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHR,Asia,Bahrain,2021-08-17,271130.0,105.0,120.0,1384.0,0.0,0.0,159339.862,61.707,70.523,813.36,0.0,0.0,1.03,,,,,,,,,14387.0,5693371.0,3345.926,8.455,13353.0,7.847,0.009,107.0,units unclear,2434005.0,1128205.0,1073383.0,,4023.0,6559.0,143.04,66.3,63.08,,3855.0,53.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,
