location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Bosnia and Herzegovina,2021-02-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.reuters.com/article/health-coronavirus-bosnia-vaccines-idUSL8N2KI2RI,0,0,0,
Bosnia and Herzegovina,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.posusje.info/evo-koliko-je-ljudi-do-sada-cijepljeno-u-fbih-i-koliko-je-ostalo-doza/,15000,15000,0,
Bosnia and Herzegovina,2021-04-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.klix.ba/vijesti/bih/u-fbih-prvu-dozu-vakcine-primilo-vise-od-33-300-gradjana-procentualno-najvise-u-gorazdu/210424031,,63376,,
Bosnia and Herzegovina,2021-04-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.klix.ba/vijesti/bih/kanton-sarajevo-ima-najveci-broj-vakcinisanih-u-odnosu-na-ostatak-federacije-bih/210501073,106464,83260,23204,
Bosnia and Herzegovina,2021-05-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.novosti.rs/republika-srpska/vesti/997890/vakcinu-primilo-48-000-gradjana-ubrzava-imunizacija-stanovnistva-protiv-virusa-korona-republici-srpskoj,136965,102803,34162,
Bosnia and Herzegovina,2021-05-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116,232706,188848,43858,
Bosnia and Herzegovina,2021-06-13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.faktor.ba/vijest/novalic-potpisan-ugovor-za-nabavku-500000-doza-vakcina-sinofarm/128063,315780,252499,63281,
Bosnia and Herzegovina,2021-06-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://nap.ba/news/81246,456521,301801,154720,
Bosnia and Herzegovina,2021-07-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.fokus.ba/vijesti/bih/otkrivamo-koliko-je-osoba-u-bih-vakcinisano/2101438/,470218,306429,163789,
Bosnia and Herzegovina,2021-07-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://srpskainfo.com/imunizacija-jedini-lijek-protiv-korone-kompletno-vakcinisan-svaki-deveti-gradjanin-srpske/,611641,381381,230260,
Bosnia and Herzegovina,2021-08-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.zzjzfbih.ba/epidemioloska-situacija-u-federaciji-bih-srijeda-04-08-2021-godine-presjek-stanja-u-12h/,763019,482886,280133,
Bosnia and Herzegovina,2021-08-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://bhrt.ba/sarajevoaustrija-urucila-bih-pola-miliona-vakcina-astrazeneca/,798422,499813,298609,
Bosnia and Herzegovina,2021-08-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://bhrt.ba/u-bih-do-sada-stiglo-2-782-160-doza-vakcina-protiv-koronavirusa/,865306,537608,327698,
