location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Botswana,2021-03-25,Oxford/AstraZeneca,https://www.mmegi.bw/index.php?aid=89253&dir=2021/march/26,0,0,0
Botswana,2021-04-02,Oxford/AstraZeneca,https://www.facebook.com/OFFICIAL.MOHW.BW/posts/1906643766149343,12945,12945,0
Botswana,2021-04-09,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3919475851468377,17808,17808,0
Botswana,2021-04-12,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3919475961468366/,25040,25040,0
Botswana,2021-04-16,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3938535519562410,36652,36652,0
Botswana,2021-04-19,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3938535372895758/,41612,41612,0
Botswana,2021-04-23,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/3949940011755294,47160,47160,0
Botswana,2021-04-26,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/3958570820892213,48411,48411,0
Botswana,2021-04-30,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/3969222726493689,49882,49882,0
Botswana,2021-05-07,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3990445667704728/,53375,53375,0
Botswana,2021-05-10,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4000911903324771,56101,56101,0
Botswana,2021-05-14,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4011137672302194,71500,71500,0
Botswana,2021-05-17,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4020183094730985,88907,,
Botswana,2021-05-21,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4032064750209486,120055,,
Botswana,2021-05-24,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4041051699310791,132782,,
Botswana,2021-05-28,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4052794804803147,142864,,
Botswana,2021-05-31,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4061158733966754,146725,,
