location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Congo,2021-04-14,"Sinopharm/Beijing, Sputnik V",https://gouvernement.cg/coronavirus-communique-de-la-coordination-nationale-de-gestion-de-la-pandemie-de-coronavirus-covid-19-suite-a-sa-reunion-du-mercredi-14-avril-2021/,14297,14297,0,
Congo,2021-05-12,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,38151,38151,,
Congo,2021-05-18,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,38268,38268,,
Congo,2021-06-08,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,55445,55445,,
Congo,2021-06-10,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,57613,57613,,
Congo,2021-06-14,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,60745,60745,,
Congo,2021-06-15,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,62231,62231,,
Congo,2021-06-20,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,67511,67511,,
Congo,2021-06-23,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,102642,102642,0,
Congo,2021-06-30,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,116110,116110,0,
Congo,2021-07-15,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,163742,,,
Congo,2021-07-29,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,198698,132671,66027,
Congo,2021-08-12,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,255988,160945,95043,
