location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url,total_boosters
Cote d'Ivoire,2021-03-01,Oxford/AstraZeneca,0,0,,https://news.un.org/fr/story/2021/03/1090572,
Cote d'Ivoire,2021-03-06,Oxford/AstraZeneca,2058,2058,,https://www.facebook.com/mshpcmu/posts/1848616131970739,
Cote d'Ivoire,2021-03-08,Oxford/AstraZeneca,2924,2924,,https://www.facebook.com/mshpcmu/posts/1848616131970739,
Cote d'Ivoire,2021-03-09,Oxford/AstraZeneca,4363,4363,,https://www.facebook.com/mshpcmu/posts/1849370098562009,
Cote d'Ivoire,2021-03-10,Oxford/AstraZeneca,8802,8802,,https://www.facebook.com/mshpcmu/posts/1850730125092673,
Cote d'Ivoire,2021-03-14,Oxford/AstraZeneca,14937,14937,,https://www.facebook.com/mshpcmu/posts/1853474708151548,
Cote d'Ivoire,2021-03-15,Oxford/AstraZeneca,15181,15181,,https://www.facebook.com/mshpcmu/posts/1854232871409065,
Cote d'Ivoire,2021-03-16,Oxford/AstraZeneca,17448,17448,,https://www.facebook.com/mshpcmu/posts/1855022227996796,
Cote d'Ivoire,2021-03-17,Oxford/AstraZeneca,19113,19113,,https://www.facebook.com/mshpcmu/posts/1856545991177753,
Cote d'Ivoire,2021-03-18,Oxford/AstraZeneca,20766,20766,,https://www.facebook.com/mshpcmu/posts/1856906561141696,
Cote d'Ivoire,2021-03-19,Oxford/AstraZeneca,22443,22443,,https://www.facebook.com/mshpcmu/posts/1857789514386734,
Cote d'Ivoire,2021-03-20,Oxford/AstraZeneca,24171,24171,,https://www.facebook.com/mshpcmu/posts/1858756490956703,
Cote d'Ivoire,2021-03-21,Oxford/AstraZeneca,24639,24639,,https://www.facebook.com/mshpcmu/posts/1859520217546997,
Cote d'Ivoire,2021-03-22,Oxford/AstraZeneca,24728,24728,,https://www.facebook.com/mshpcmu/posts/1860250877473931,
Cote d'Ivoire,2021-03-23,Oxford/AstraZeneca,26079,26079,,https://www.facebook.com/mshpcmu/posts/1861007314064954,
Cote d'Ivoire,2021-03-24,Oxford/AstraZeneca,27886,27886,,https://www.facebook.com/mshpcmu/posts/1861796460652706,
Cote d'Ivoire,2021-03-25,Oxford/AstraZeneca,29535,29535,,https://www.facebook.com/mshpcmu/photos/a.134263566739346/1862581443907541/,
Cote d'Ivoire,2021-03-26,Oxford/AstraZeneca,31104,31104,,https://www.facebook.com/mshpcmu/posts/1863320147167004,
Cote d'Ivoire,2021-03-27,Oxford/AstraZeneca,33395,33395,,https://www.facebook.com/mshpcmu/posts/1864258720406480,
Cote d'Ivoire,2021-03-29,Oxford/AstraZeneca,34388,34388,,https://www.facebook.com/mshpcmu/posts/1865721326926886,
Cote d'Ivoire,2021-03-30,Oxford/AstraZeneca,37367,37367,,https://www.facebook.com/mshpcmu/posts/1866442070188145,
Cote d'Ivoire,2021-03-31,Oxford/AstraZeneca,40153,40153,,https://www.facebook.com/mshpcmu/posts/1867290600103292,
Cote d'Ivoire,2021-04-01,Oxford/AstraZeneca,42725,42725,,https://www.facebook.com/mshpcmu/posts/1868400586658960,
Cote d'Ivoire,2021-04-02,Oxford/AstraZeneca,45247,45247,,https://www.facebook.com/mshpcmu/posts/1868821653283520,
Cote d'Ivoire,2021-04-03,Oxford/AstraZeneca,47968,47968,,https://www.facebook.com/mshpcmu/posts/1869617259870626,
Cote d'Ivoire,2021-04-04,Oxford/AstraZeneca,49642,49642,,https://www.facebook.com/mshpcmu/posts/1870344559797896,
Cote d'Ivoire,2021-04-06,Oxford/AstraZeneca,49948,49948,,https://www.facebook.com/mshpcmu/posts/1871971672968518,
Cote d'Ivoire,2021-04-08,Oxford/AstraZeneca,53071,53071,,https://www.facebook.com/mshpcmu/posts/1872719396227079,
Cote d'Ivoire,2021-04-09,Oxford/AstraZeneca,60823,60823,,https://www.facebook.com/mshpcmu/posts/1874409662724719,
Cote d'Ivoire,2021-04-10,Oxford/AstraZeneca,66496,66496,,https://www.facebook.com/mshpcmu/posts/1875540749278277,
Cote d'Ivoire,2021-04-11,Oxford/AstraZeneca,68843,68843,,https://www.facebook.com/mshpcmu/posts/1876016745897344,
Cote d'Ivoire,2021-04-14,Oxford/AstraZeneca,83425,83425,,https://www.facebook.com/mshpcmu/posts/1878471328985219,
Cote d'Ivoire,2021-04-15,Oxford/AstraZeneca,87267,87267,,https://www.facebook.com/mshpcmu/posts/1879174768914875,
Cote d'Ivoire,2021-04-16,Oxford/AstraZeneca,91901,91901,,https://www.facebook.com/mshpcmu/posts/1880034655495553,
Cote d'Ivoire,2021-04-17,Oxford/AstraZeneca,93540,93540,,https://www.facebook.com/mshpcmu/posts/1880785808753771,
Cote d'Ivoire,2021-04-18,Oxford/AstraZeneca,94818,94818,,https://www.facebook.com/mshpcmu/posts/1881495295349489,
Cote d'Ivoire,2021-04-21,Oxford/AstraZeneca,105110,105110,,https://www.facebook.com/mshpcmu/posts/1883897901775895,
Cote d'Ivoire,2021-04-22,Oxford/AstraZeneca,109077,109077,,https://www.facebook.com/mshpcmu/posts/1884672188365133,
Cote d'Ivoire,2021-04-23,Oxford/AstraZeneca,113224,113224,,https://www.facebook.com/mshpcmu/posts/1885526701613015,
Cote d'Ivoire,2021-04-24,Oxford/AstraZeneca,117227,117227,,https://www.facebook.com/mshpcmu/posts/1886267658205586,
Cote d'Ivoire,2021-04-25,Oxford/AstraZeneca,118875,118875,,https://www.facebook.com/mshpcmu/posts/1887513514747667,
Cote d'Ivoire,2021-04-26,Oxford/AstraZeneca,119663,119663,,https://www.facebook.com/mshpcmu/posts/1887778548054497,
