location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Eswatini,2021-03-30,Oxford/AstraZeneca,https://www.aa.com.tr/en/africa/eswatini-begins-covid-19-vaccination-ahead-of-easter/2194269,0,0,0,
Eswatini,2021-04-05,Oxford/AstraZeneca,https://twitter.com/EswatiniGovern1/status/1379495230706216962,20262,20262,0,
Eswatini,2021-04-08,Oxford/AstraZeneca,https://twitter.com/EswatiniGovern1/status/1380526893183680512,27601,27601,0,
Eswatini,2021-04-19,Oxford/AstraZeneca,https://twitter.com/EswatiniGovern1/status/1384196615846580231,31846,31846,0,
Eswatini,2021-04-20,Oxford/AstraZeneca,https://twitter.com/EswatiniGovern1/status/1384550856658460674,32958,32958,0,
Eswatini,2021-04-22,Oxford/AstraZeneca,https://twitter.com/EswatiniGovern1/status/1385282625061916679,33279,33279,0,
Eswatini,2021-04-23,Oxford/AstraZeneca,https://twitter.com/EswatiniGovern1/status/1385646623523491840,33532,33532,0,
Eswatini,2021-04-25,Oxford/AstraZeneca,https://twitter.com/EswatiniGovern1/status/1386367464636833795,34897,34897,0,
Eswatini,2021-05-13,Oxford/AstraZeneca,https://twitter.com/EswatiniGovern1/status/1392874186671075331,35227,35227,0,
Eswatini,2021-06-23,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.361316805361825/361316722028500/,44305,36227,8078,
Eswatini,2021-06-25,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/a.127808818712626/362738098553029/,46796,37028,9768,
Eswatini,2021-06-26,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/a.127808818712626/363493325144173/,47623,37231,10392,
Eswatini,2021-07-06,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.370281974465308/370281864465319/,48526,37402,11124,
Eswatini,2021-07-07,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/a.127808818712626/372284487598390/,51451,37558,13893,
Eswatini,2021-07-14,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/a.127808818712626/375758647250974/,60069,37997,22072,
Eswatini,2021-07-18,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.378473163646189/378473073646198/,63425,38169,25256,
Eswatini,2021-07-21,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.380882356738603/380882173405288/,65667,38326,27341,
Eswatini,2021-08-02,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.389976652495840/389976559162516/,66408,38734,27674,
Eswatini,2021-08-03,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.390708122422693/390708052422700/,76399,43734,32665,
Eswatini,2021-08-04,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/a.127808818712626/391427302350775/,87998,49529,38469,
Eswatini,2021-08-05,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/a.127808818712626/392132982280207/,103946,57503,46443,
Eswatini,2021-08-06,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/a.127808818712626/392837688876403/,119426,65243,54183,
Eswatini,2021-08-07,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.393579822135523/393579735468865/,119426,65243,54183,
Eswatini,2021-08-09,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.395151041978401/395150958645076/,136164,73612,62552,
Eswatini,2021-08-10,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.396005675226271/396005568559615/,149198,80129,69069,
Eswatini,2021-08-11,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.396819765144862/396819641811541/,164120,87590,76530,
Eswatini,2021-08-12,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.397580875068751/397580788402093/,181290,96175,85115,
Eswatini,2021-08-13,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.398299311663574/398299221663583/,,,93731,
Eswatini,2021-08-14,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.398975384929300/398975291595976/,,,100126,
Eswatini,2021-08-15,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.399760171517488/399759998184172/,,,102504,
Eswatini,2021-08-16,Oxford/AstraZeneca,https://www.facebook.com/EswatiniGov/photos/pcb.400504331443072/400504234776415/,,,102749,
