location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Ethiopia,2021-04-08,Oxford/AstraZeneca,https://www.facebook.com/EthiopiaFMoH/posts/1795514303952698,430000,430000,
Ethiopia,2021-04-28,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1387471623410884612,1071485,1071485,
Ethiopia,2021-04-29,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1387844119242870786,1099614,1099614,
Ethiopia,2021-04-30,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1388194200995442695,1114500,1114500,
Ethiopia,2021-05-01,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1388561745321635844,1134885,1134885,
Ethiopia,2021-05-02,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1388916322294194186,1141092,1141092,
Ethiopia,2021-05-03,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1389291010631557123,1168268,1168268,
Ethiopia,2021-05-04,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1389648165104664583,1194578,1194578,
Ethiopia,2021-05-05,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1390004366476709897,1215934,1215934,
Ethiopia,2021-05-06,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1390375821261643776,1237826,1237826,
Ethiopia,2021-05-07,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1390729190807384069,1287801,1287801,
Ethiopia,2021-05-08,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1391088742706950146,1290828,1290828,
Ethiopia,2021-05-09,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1391441441013092355,1295723,1295723,
Ethiopia,2021-05-10,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1391818755857166337,1300775,1300775,
Ethiopia,2021-05-11,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1392168331940175873,1360752,1360752,
Ethiopia,2021-05-12,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1392538584461332489,1397647,1397647,
Ethiopia,2021-05-13,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1392905764352765955,1420251,1420251,
Ethiopia,2021-05-14,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1393272894256467975,1436665,1436665,
Ethiopia,2021-05-15,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1393635197489459205,1454503,1454503,
Ethiopia,2021-05-16,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1393977951801184257,1460021,1460021,
Ethiopia,2021-05-17,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1394361974990020608,1470079,1470079,
Ethiopia,2021-05-18,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1394719384669667332,1484820,1484820,
