location,date,vaccine,source_url,people_vaccinated,total_vaccinations,people_fully_vaccinated,total_boosters
Gibraltar,2021-01-10,Pfizer/BioNTech,https://www.gibraltar.gov.gi/press-releases/day-one-of-gibraltars-covid-19-vaccination-programme-is-complete-332021-6576,420,420,,
Gibraltar,2021-01-11,Pfizer/BioNTech,https://www.gibraltar.gov.gi/press-releases/day-2-of-the-gibraltars-covid-19-vaccination-programme-382021-6578,1445,1445,,
Gibraltar,2021-01-12,Pfizer/BioNTech,https://www.gibraltar.gov.gi/press-releases/day-3-of-the-gibraltars-covid-19-vaccination-programme-462021-6588,2501,2501,,
Gibraltar,2021-01-15,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1350435849012391936,5135,5135,,
Gibraltar,2021-01-16,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1350843052223561728,5847,5847,,
Gibraltar,2021-01-17,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1351199624216907783,5847,5847,,
Gibraltar,2021-01-18,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1351524538664824832,6435,6435,,
Gibraltar,2021-01-19,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1351951485366632450,7017,7017,,
Gibraltar,2021-01-20,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1352329686215520257,7017,7017,,
Gibraltar,2021-01-21,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1352652233461141504,7947,7947,,
Gibraltar,2021-01-22,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1352979071710457857,8877,8877,,
Gibraltar,2021-01-23,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1353362986572931073,9807,9807,,
Gibraltar,2021-01-24,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1353698998561943557,10341,10341,,
Gibraltar,2021-01-25,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1354090676284231680,10539,10539,,
Gibraltar,2021-01-26,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1354465218773049345,11073,11073,,
Gibraltar,2021-01-27,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1354793069531508736,11073,11607,,
Gibraltar,2021-01-28,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1355185607065141251,12332,12332,,
Gibraltar,2021-01-29,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1355531671999799298,12866,12866,,
Gibraltar,2021-01-30,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1355907465544691714,12866,12866,,
Gibraltar,2021-01-31,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1356254856143659018,12886,13286,400,
Gibraltar,2021-02-01,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1356605088614252547,12974,14299,1325,
Gibraltar,2021-02-02,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1356988250972389380,13071,15391,2320,
Gibraltar,2021-02-03,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1357291680366555137,13166,16177,3011,
Gibraltar,2021-02-04,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1357701145863606272,13246,17189,3943,
Gibraltar,2021-02-05,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1358025389898162177,13398,18274,4876,
Gibraltar,2021-02-06,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1358438470948118532,13499,19072,5573,
Gibraltar,2021-02-07,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1358733517174280192,13499,19072,5573,
Gibraltar,2021-02-08,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1359137811266428932,13904,20044,6140,
Gibraltar,2021-02-09,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1359521751588290561,14302,21021,6719,
Gibraltar,2021-02-10,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1359826145613664257,15262,21999,6737,
Gibraltar,2021-02-11,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1360253653026758668,15436,23103,7667,
Gibraltar,2021-02-12,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1360567169197703172,15600,24195,8595,
Gibraltar,2021-02-13,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1360928941985435653,15765,25287,9522,
Gibraltar,2021-02-14,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1361269893660889089,15888,25941,10053,
Gibraltar,2021-02-15,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1361689908876894208,16135,26379,10244,
Gibraltar,2021-02-16,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1362034275500101636,16261,27033,10772,
Gibraltar,2021-02-17,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1362416216447594499,16384,27687,11303,
Gibraltar,2021-02-18,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1362797205250334720,16725,28778,12053,
Gibraltar,2021-02-19,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1363079745261420548,16761,29334,12573,
Gibraltar,2021-02-20,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1363469224316973063,16761,29334,12573,
Gibraltar,2021-02-21,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1363897078104096770,17826,30432,12606,
Gibraltar,2021-02-22,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1364218990546063360,18902,31631,12729,
