location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Haiti,2021-07-16,Oxford/AstraZeneca,https://www.paho.org/fr/nouvelles/17-7-2021-debut-campagne-vaccination-covid-19-haiti-les-premiers-patients-vaccinees-moins,38,38,
Haiti,2021-07-21,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1789703604549043,2041,2041,341
Haiti,2021-07-22,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1790103097842427,2198,2198,341
Haiti,2021-07-26,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1793335860852484,3369,3369,341
Haiti,2021-07-27,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/photos/a.798991336953613/1794649920721078/,4078,4078,341
Haiti,2021-07-28,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1795200753999328,4526,4526,341
Haiti,2021-07-29,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1796094740576596,5425,5425,341
Haiti,2021-07-30,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1796800497172687,6576,6576,341
Haiti,2021-08-02,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1799139456938791,8448,8448,341
Haiti,2021-08-03,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1800104966842240,9630,9630,341
Haiti,2021-08-04,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1800705110115559,11209,11209,341
Haiti,2021-08-05,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/posts/1801531640032906,12641,12641,341
Haiti,2021-08-06,"Johnson&Johnson, Oxford/AstraZeneca",https://www.facebook.com/msppht/photos/1802202546632482,14074,14074,341
