location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Laos,2021-03-17,"Sinopharm/Beijing, Sputnik V",http://www.xinhuanet.com/english/asiapacific/2021-03/17/c_139816710.htm,40732,40732,0
Laos,2021-04-14,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4156230341068295,135849,105568,30281
Laos,2021-04-19,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4168115086546487,137026,106105,30921
Laos,2021-04-21,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4173844735973522,151175,108501,42674
Laos,2021-04-22,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4176909465667049,156818,109706,47112
Laos,2021-04-24,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4183082158383113,179525,122310,57215
Laos,2021-04-25,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4186087851415877,183678,125363,58315
Laos,2021-04-26,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4188940891130573,184387,126072,58315
Laos,2021-05-10,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4231116036913058/,488473,405200,83273
Laos,2021-05-14,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4243437312347597,563466,474983,88483
Laos,2021-05-15,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4246575998700395,582747,493481,89266
Laos,2021-05-17,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4252698224754839,623577,533172,90405
Laos,2021-05-18,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4256125431078785,634714,542132,92582
Laos,2021-05-19,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4259253047432690,649006,553612,95394
Laos,2021-05-20,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4262202277137767,669259,568233,101026
Laos,2021-05-21,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4265233566834638,690266,584532,105734
Laos,2021-05-22,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4268741029817225,728918,602669,126249
Laos,2021-05-23,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912,728918,602669,126249
Laos,2021-05-26,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4282542565103738/,750783,614566,136217
Laos,2021-05-31,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4298234620201199,865694,638377,227317
Laos,2021-06-01,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4301098689914792,902456,662521,239935
Laos,2021-06-02,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4304254669599194,914014,664661,249353
Laos,2021-06-03,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4306809006010427,933505,667657,265848
Laos,2021-06-04,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4310397108984950,957785,674311,283474
