location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Liberia,2021-05-12,Oxford/AstraZeneca,https://covid19.who.int/,36404,36404,0
Liberia,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,52446,52446,0
Liberia,2021-05-24,Oxford/AstraZeneca,https://covid19.who.int/,53626,53626,0
Liberia,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,55690,55690,0
Liberia,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,56144,56144,0
Liberia,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,63802,63662,140
Liberia,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,64129,63662,467
Liberia,2021-06-14,Oxford/AstraZeneca,https://covid19.who.int/,65590,65097,493
Liberia,2021-06-15,Oxford/AstraZeneca,https://covid19.who.int/,67437,66884,553
Liberia,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,68821,68134,687
Liberia,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,76642,74372,2270
