location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated,total_boosters
Madagascar,2021-05-12,Oxford/AstraZeneca,609,https://covid19.who.int/,609,0,
Madagascar,2021-05-18,Oxford/AstraZeneca,3890,https://covid19.who.int/,3890,0,
Madagascar,2021-05-21,Oxford/AstraZeneca,13539,https://covid19.who.int/,13539,0,
Madagascar,2021-05-24,Oxford/AstraZeneca,17258,https://covid19.who.int/,17258,0,
Madagascar,2021-05-26,Oxford/AstraZeneca,21912,https://covid19.who.int/,21912,0,
Madagascar,2021-05-31,Oxford/AstraZeneca,36640,https://covid19.who.int/,36640,0,
Madagascar,2021-06-08,Oxford/AstraZeneca,78539,https://covid19.who.int/,78539,0,
Madagascar,2021-06-10,Oxford/AstraZeneca,97300,https://covid19.who.int/,97300,0,
Madagascar,2021-06-14,Oxford/AstraZeneca,136785,https://covid19.who.int/,136785,0,
Madagascar,2021-06-15,Oxford/AstraZeneca,150329,https://covid19.who.int/,150329,0,
Madagascar,2021-06-20,Oxford/AstraZeneca,188752,https://covid19.who.int/,188752,0,
Madagascar,2021-06-24,Oxford/AstraZeneca,196291,https://covid19.who.int/,196291,0,
Madagascar,2021-06-28,Oxford/AstraZeneca,197001,https://covid19.who.int/,197001,0,
