location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Malaysia,2021-02-24,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,60,60,0
Malaysia,2021-02-25,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,1205,1205,0
Malaysia,2021-02-26,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,5286,5286,0
Malaysia,2021-02-27,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,11993,11993,0
Malaysia,2021-02-28,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,18685,18682,3
Malaysia,2021-03-01,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,34051,34044,7
Malaysia,2021-03-02,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,55699,55689,10
Malaysia,2021-03-03,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,78352,78337,15
Malaysia,2021-03-04,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,97887,97861,26
Malaysia,2021-03-05,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,112163,112133,30
Malaysia,2021-03-06,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,127767,127736,31
Malaysia,2021-03-07,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,140123,140090,33
Malaysia,2021-03-08,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,166930,166894,36
Malaysia,2021-03-09,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,196731,196694,37
Malaysia,2021-03-10,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,225269,225231,38
Malaysia,2021-03-11,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,251616,251578,38
Malaysia,2021-03-12,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,277527,277488,39
Malaysia,2021-03-13,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,294189,294150,39
Malaysia,2021-03-14,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,304037,303998,39
Malaysia,2021-03-15,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,324266,324226,40
Malaysia,2021-03-16,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,349719,349675,44
Malaysia,2021-03-17,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,370558,370454,104
Malaysia,2021-03-18,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,388650,387753,897
Malaysia,2021-03-19,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,403129,398478,4651
Malaysia,2021-03-20,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,416881,406193,10688
Malaysia,2021-03-21,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,432356,415894,16462
Malaysia,2021-03-22,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,456585,425608,30977
Malaysia,2021-03-23,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,485697,433915,51782
Malaysia,2021-03-24,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,514719,440214,74505
Malaysia,2021-03-25,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,540445,446646,93799
Malaysia,2021-03-26,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,557072,450577,106495
Malaysia,2021-03-27,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,572867,452277,120590
Malaysia,2021-03-28,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,589182,455927,133255
Malaysia,2021-03-29,"Pfizer/BioNTech, Sinovac",https://github.com/CITF-Malaysia/citf-public,623676,463604,160072
