location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Mozambique,2021-03-07,Sinopharm/Beijing,https://allafrica.com/stories/202103160904.html,0,0,0,
Mozambique,2021-03-13,Sinopharm/Beijing,https://allafrica.com/stories/202103160904.html,46439,46439,0,
Mozambique,2021-03-23,Sinopharm/Beijing,https://allafrica.com/stories/202103230834.html,57305,57305,0,
Mozambique,2021-05-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,355995,296983,59012,
Mozambique,2021-05-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,393105,318548,74557,
Mozambique,2021-05-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,394312,319511,74801,
Mozambique,2021-06-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,394930,320129,74801,
Mozambique,2021-06-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,438382,341707,96675,
Mozambique,2021-07-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,508184,354572,153612,
Mozambique,2021-07-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,671336,372085,299251,
Mozambique,2021-07-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,671599,372085,299514,
Mozambique,2021-07-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,691040,372085,318955,
Mozambique,2021-08-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,714776,394234,320542,
Mozambique,2021-08-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1386326,907839,478487,
Mozambique,2021-08-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1487560,916174,571386,
