date,total_vaccinations,people_vaccinated,people_fully_vaccinated,vaccine,location,source_url,total_boosters
2020-12-27,4963,4963,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2020-12-28,7754,7754,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2020-12-29,20368,20368,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2020-12-30,30543,30543,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2020-12-31,32749,32749,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-01,32749,32749,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-02,32750,32750,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-03,32750,32750,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-04,33670,33670,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-05,46433,46433,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-06,61454,61454,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-07,71751,71751,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-08,74254,74254,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-09,74352,74352,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-10,74392,74392,0,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-11,84003,83949,60,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-12,94885,94831,60,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-13,108684,108630,60,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-14,119834,119780,60,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-15,127320,127266,60,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-16,128855,128801,60,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-17,130023,128808,1221,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-18,134755,133528,1232,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-19,158485,149640,8850,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-20,187418,169398,18025,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-21,220522,197528,22999,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-22,246781,221383,25403,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-23,261575,232137,29443,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-24,265750,235795,29960,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-25,,,,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-26,273550,,,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-27,288464,,,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-28,306055,,,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-29,325788,,,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-30,340284,275421,64868,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-01-31,346822,279035,67792,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-01,376407,296857,79481,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-02,379960,298467,81424,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-03,388786,302136,86581,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-04,402052,306279,95704,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-05,417219,311505,105645,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-06,431929,317345,114515,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-07,433745,318421,115255,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-08,437652,320634,116954,Pfizer/BioNTech,Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-09,441471,323011,118396,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Portugal,https://github.com/dssg-pt/covid19pt-data,
2021-02-10,456564,327600,128900,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Portugal,https://github.com/dssg-pt/covid19pt-data,
