date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,vaccine,source_url,total_boosters
2021-01-06,137862,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-01-09,178338,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-01-16,295530,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-01-23,391643,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-01-30,440618,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-02-10,444465,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-02-13,446940,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-02-15,462812,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-02-17,501710,,,Saudi Arabia,Pfizer/BioNTech,https://covid19.moh.gov.sa/,
2021-02-22,600798,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-02-24,639587,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-02-27,780667,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-01,885411,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-02,1003287,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-04,1182943,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-05,1264878,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-07,1332740,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-08,1484935,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-09,1585770,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-10,1685881,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-11,1823819,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-12,1938934,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-13,2082780,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-14,2232110,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-15,2394182,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-16,2457425,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-17,2580949,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-18,2695966,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-19,2922436,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-20,3006419,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-21,3194715,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-22,3343287,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-23,3505695,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-24,3655546,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-25,3810698,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-26,3895858,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-27,4003477,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-28,4132630,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-29,4250055,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-30,4326576,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-03-31,4432572,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-01,4584006,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-02,4729235,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-03,4877442,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-04,5000120,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-05,5118039,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-06,5345625,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-07,5578229,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-08,5846745,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-09,5989026,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-10,6132124,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-11,6287432,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-12,6411162,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-13,6527823,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-14,6584000,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-15,6723186,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-16,6831440,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-17,6992242,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-18,7190402,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-19,7325016,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-20,7459261,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-21,7653634,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-22,7809612,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-23,7944950,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-24,8059757,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-25,8263836,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-26,8488862,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
2021-04-27,8693407,,,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,
