location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Scotland,2020-12-10,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,10643,10642,1
Scotland,2020-12-11,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,15907,15906,1
Scotland,2020-12-12,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,18027,18026,1
Scotland,2020-12-13,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,19134,19133,1
Scotland,2020-12-14,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,24814,24813,1
Scotland,2020-12-15,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,32121,32120,1
Scotland,2020-12-16,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,39263,39262,1
Scotland,2020-12-17,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,46309,46308,1
Scotland,2020-12-18,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,54771,54768,3
Scotland,2020-12-19,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,58110,58107,3
Scotland,2020-12-20,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,60632,60629,3
Scotland,2020-12-21,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,70162,70158,4
Scotland,2020-12-22,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,81906,81900,6
Scotland,2020-12-23,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,91987,91978,9
Scotland,2020-12-24,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,94797,94788,9
Scotland,2020-12-25,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,94813,94804,9
Scotland,2020-12-26,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,94815,94806,9
Scotland,2020-12-27,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,95283,95274,9
Scotland,2020-12-28,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,97010,97000,10
Scotland,2020-12-29,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,104535,104519,16
Scotland,2020-12-30,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,112224,112184,40
Scotland,2020-12-31,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,116430,116381,49
Scotland,2021-01-01,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,116463,116414,49
Scotland,2021-01-02,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,116475,116417,58
Scotland,2021-01-03,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/healthcare,116821,116763,58
Scotland,2021-01-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/healthcare,118429,118364,65
Scotland,2021-01-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/healthcare,127928,126947,981
Scotland,2021-01-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/healthcare,138740,136748,1992
