location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
South Sudan,2021-04-05,Oxford/AstraZeneca,https://www.afro.who.int/news/covid-19-vaccination-kicks-south-sudan,0,0,0,
South Sudan,2021-04-15,Oxford/AstraZeneca,https://africa.cgtn.com/2021/04/15/south-sudan-lifts-covid-19-restrictions-amid-fall-in-infections/,947,947,0,
South Sudan,2021-05-12,Oxford/AstraZeneca,https://covid19.who.int/,5459,5459,0,
South Sudan,2021-05-18,Oxford/AstraZeneca,https://covid19.who.int/,6403,6403,0,
South Sudan,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,7500,7500,0,
South Sudan,2021-05-24,Oxford/AstraZeneca,https://covid19.who.int/,7976,7976,0,
South Sudan,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,8606,8606,0,
South Sudan,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,9744,9744,0,
South Sudan,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,11889,11889,0,
South Sudan,2021-06-14,Oxford/AstraZeneca,https://covid19.who.int/,18863,17350,1513,
South Sudan,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,29410,27338,2072,
South Sudan,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,32959,30849,2110,
South Sudan,2021-06-28,Oxford/AstraZeneca,https://covid19.who.int/,44920,42166,2754,
South Sudan,2021-07-05,Oxford/AstraZeneca,https://covid19.who.int/,48461,45074,3387,
South Sudan,2021-07-12,Oxford/AstraZeneca,https://covid19.who.int/,55714,,,
South Sudan,2021-07-13,Oxford/AstraZeneca,https://covid19.who.int/,55915,51571,4344,
South Sudan,2021-07-19,Oxford/AstraZeneca,https://covid19.who.int/,56989,52226,4763,
