location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Sudan,2021-03-10,Oxford/AstraZeneca,https://www.voanews.com/covid-19-pandemic/sudan-launches-covid-vaccination-campaign,0,0,0
Sudan,2021-04-05,Oxford/AstraZeneca,https://www.facebook.com/FMOH.SUDAN/posts/2867912120148414,43122,43122,0
Sudan,2021-04-06,Oxford/AstraZeneca,https://www.facebook.com/FMOH.SUDAN/posts/2868714333401526,63837,63837,0
Sudan,2021-04-10,Oxford/AstraZeneca,https://www.facebook.com/FMOH.SUDAN/posts/2871606859778940,100010,100010,0
Sudan,2021-04-23,Oxford/AstraZeneca,https://www.facebook.com/FMOH.SUDAN/posts/2880648948874731,140227,140227,0
Sudan,2021-05-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,358236,320305,37931
Sudan,2021-06-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,402114,360721,41393
Sudan,2021-06-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,465197,404397,60800
Sudan,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,483520,417209,66311
Sudan,2021-06-14,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,539843,453690,86153
Sudan,2021-06-20,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,629692,520928,108764
Sudan,2021-06-28,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,671423,550291,121132
Sudan,2021-06-29,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,677957,554095,123862
