location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Zambia,2021-04-14,Oxford/AstraZeneca,http://www.china.org.cn/world/Off_the_Wire/2021-04/15/content_77410184.htm,0,0,0
Zambia,2021-04-15,Oxford/AstraZeneca,http://www.china.org.cn/world/Off_the_Wire/2021-04/15/content_77410184.htm,106,106,0
Zambia,2021-04-18,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1887629464745035/,1316,1316,0
Zambia,2021-04-19,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1889197721254876/,2114,2114,0
Zambia,2021-04-20,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1890855324422449/,3391,3391,0
Zambia,2021-04-21,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1892039820970666,9006,9006,0
Zambia,2021-04-22,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1892601637581151/,12543,12543,0
Zambia,2021-04-25,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1893399114168070/,14012,14012,0
Zambia,2021-04-28,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1895948947246420/,21919,21919,0
Zambia,2021-04-29,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1896610343846947,26580,26580,0
Zambia,2021-04-30,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/1897572233750758,32034,32034,0
Zambia,2021-05-02,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1898990003608981,43147,43147,0
Zambia,2021-05-03,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1899365200238128,45740,45740,0
Zambia,2021-05-04,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1900093580165290,51784,51784,0
Zambia,2021-05-05,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.133656870142312/1901392276702087,58982,58982,0
Zambia,2021-05-06,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1901472640027384/,64011,64011,0
Zambia,2021-05-08,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1903112073196774,77348,77348,0
Zambia,2021-05-10,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1904668873041094/,81459,81459,0
Zambia,2021-05-12,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1906336672874314/,90916,90916,0
Zambia,2021-05-14,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1907934516047863,100373,100373,0
Zambia,2021-05-15,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1908831159291532,107790,107790,0
Zambia,2021-05-17,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1910381975803117,114767,114767,0
Zambia,2021-05-19,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1912432108931437,120209,120209,0
Zambia,2021-05-20,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1913146328860015,126291,126291,0
Zambia,2021-05-21,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1913889952118986,129941,128834,1107
Zambia,2021-05-22,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1914754358699212,134832,131633,3199
Zambia,2021-05-23,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1915861658588482/,138201,133134,5067
Zambia,2021-05-25,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1917188885122426,144085,138799,5286
Zambia,2021-05-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohzambia/photos/a.773733439467982/1918127061695275/,145198,139912,5286
Zambia,2021-05-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohzambia/posts/1918859614955353,146129,140843,5286
Zambia,2021-05-28,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohzambia/posts/1919633931544588,146645,141359,5286
Zambia,2021-05-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohzambia/posts/1920606808113967,147033,141747,5286
Zambia,2021-06-02,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohzambia/posts/1923567667817881,147115,141829,5286
