location,iso_code,vaccines,last_observation_date,source_name,source_website
Afghanistan,AFG,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2021-07-14,World Health Organization,https://covid19.who.int/
Albania,ALB,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-07-15,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1052108-vaksinime/
Algeria,DZA,"Oxford/AstraZeneca, Sputnik V",2021-06-06,Ministry of Health,https://english.aawsat.com/home/article/3013471/muslim-brotherhood-parties-hope-sweep-algeria-elections
Andorra,AND,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-28,Government of Andorra,https://www.govern.ad/covid19_newsletter/
Angola,AGO,Oxford/AstraZeneca,2021-07-12,World Health Organization,https://covid19.who.int/
Anguilla,AIA,Oxford/AstraZeneca,2021-07-09,World Health Organization,https://covid19.who.int/
Antigua and Barbuda,ATG,Oxford/AstraZeneca,2021-07-13,Ministry of Health,https://covid19.gov.ag
Argentina,ARG,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-07-15,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Armenia,ARM,"Oxford/AstraZeneca, Sinovac, Sputnik V",2021-07-11,World Health Organization,https://covid19.who.int/
Aruba,ABW,Pfizer/BioNTech,2021-07-15,Government of Aruba,https://www.government.aw
Australia,AUS,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Austria,AUT,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,"Oxford/AstraZeneca, Sinovac, Sputnik V",2021-07-15,Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,Oxford/AstraZeneca,2021-07-10,Pan American Health Organization,https://www.facebook.com/opmbs/posts/845751822813463
Bahrain,BHR,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-07-15,Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2021-07-13,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,BRB,Oxford/AstraZeneca,2021-07-12,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4374351889263514/
Belarus,BLR,"Sinopharm/Beijing, Sputnik V",2021-06-13,World Health Organization,https://covid19.who.int/
Belgium,BEL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-13,Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2725411461090585/
Benin,BEN,"Oxford/AstraZeneca, Sinovac",2021-07-12,Ministry of Health,https://covid19.who.int/
Bermuda,BMU,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-03,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bhutan,BTN,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-12,World Health Organization,https://covid19.who.int/
Bolivia,BOL,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-07-12,Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
Bonaire Sint Eustatius and Saba,BES,"Moderna, Pfizer/BioNTech",2021-04-09,World Health Organization,https://covid19.who.int/
Bosnia and Herzegovina,BIH,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-07-05,Public Health Institute,https://www.fokus.ba/vijesti/bih/otkrivamo-koliko-je-osoba-u-bih-vakcinisano/2101438/
Botswana,BWA,Oxford/AstraZeneca,2021-07-10,Ministry of Health and Wellness,https://twitter.com/BWGovernment/status/1415710043761266690
Brazil,BRA,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-15,Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
British Virgin Islands,VGB,Oxford/AstraZeneca,2021-07-09,World Health Organization,https://covid19.who.int/
Brunei,BRN,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-13,Ministry of Health,https://www.facebook.com/MOHBrunei/photos/a.1164129587048739/3958351637626506/
Bulgaria,BGR,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Ministry of Health,https://coronavirus.bg/bg/statistika
Burkina Faso,BFA,Oxford/AstraZeneca,2021-07-12,World Health Organization,https://covid19.who.int/
Cambodia,KHM,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",2021-07-14,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/photos/a.930887636950343/4203512176354523/
Cameroon,CMR,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-12,World Health Organization,https://covid19.who.int/
Canada,CAN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,CPV,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-13,World Health Organization,https://covid19.who.int/
Cayman Islands,CYM,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-14,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics
Central African Republic,CAF,"Covaxin, Oxford/AstraZeneca",2021-06-30,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Chad,TCD,Sinopharm/Beijing,2021-07-15,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Chile,CHL,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-12,"Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",https://www.gob.cl/yomevacuno/
China,CHN,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",2021-07-15,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/6fb6e12e27e04dd1815c5742fc5b8dfb.shtml
Colombia,COL,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-14,Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
Comoros,COM,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-05,World Health Organization,https://covid19.who.int/
Congo,COG,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-07-15,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Cook Islands,COK,Oxford/AstraZeneca,2021-06-29,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Costa Rica,CRI,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-13,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Cote d'Ivoire,CIV,Oxford/AstraZeneca,2021-07-13,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/photos/a.270240923141609/1950691868429831
Croatia,HRV,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-14,Ministry of Health,https://www.koronavirus.hr
Cuba,CUB,"Abdala, Soberana02",2021-07-13,Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
Curacao,CUW,"Moderna, Pfizer/BioNTech",2021-07-14,Government of Curacao,https://bakuna.cw/
Cyprus,CYP,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
Czechia,CZE,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Democratic Republic of Congo,COD,Oxford/AstraZeneca,2021-07-12,World Health Organization,https://covid19.who.int/
Denmark,DNK,"Johnson&Johnson, Moderna, Pfizer/BioNTech",2021-07-14,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Djibouti,DJI,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2021-06-23,World Health Organization,https://covid19.who.int/
Dominica,DMA,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-09,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Dominican Republic,DOM,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2021-07-14,Ministry of Public Health,https://vacunate.gob.do/
Ecuador,ECU,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-14,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
Egypt,EGY,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2021-07-12,World Health Organization,https://covid19.who.int/
El Salvador,SLV,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-14,Ministry of Health,https://covid19.gob.sv/
England,OWID_ENG,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-14,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Equatorial Guinea,GNQ,Sinopharm/Beijing,2021-07-13,Ministry of Health,https://guineasalud.org/estadisticas/
Estonia,EST,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,National Health Board,https://opendata.digilugu.ee
Eswatini,SWZ,Oxford/AstraZeneca,2021-07-14,Government of Eswatini,https://www.facebook.com/EswatiniGov/photos/a.127808818712626/375758647250974/
Ethiopia,ETH,Oxford/AstraZeneca,2021-07-15,Ministry of Health,https://twitter.com/FMoHealth/status/1415746785495162882
Faeroe Islands,FRO,"Moderna, Pfizer/BioNTech",2021-07-15,Government of the Faeroe Islands,https://corona.fo/api
Falkland Islands,FLK,Oxford/AstraZeneca,2021-04-14,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
Fiji,FJI,Oxford/AstraZeneca,2021-07-13,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Finland,FIN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-14,Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-14,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
French Polynesia,PYF,Oxford/AstraZeneca,2021-07-13,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Gabon,GAB,Sinopharm/Beijing,2021-07-12,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Gambia,GMB,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-15,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Georgia,GEO,Oxford/AstraZeneca,2021-07-09,National Center for Disease Control and Public Health,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/4151374531617112/
Germany,DEU,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Robert Koch Institut,https://impfdashboard.de/
Ghana,GHA,"Oxford/AstraZeneca, Sputnik V",2021-07-12,World Health Organization,https://covid19.who.int/
Gibraltar,GIB,Pfizer/BioNTech,2021-07-13,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1414908234503270404
Greece,GRC,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,Moderna,2021-07-14,Government of Greenland,https://corona.nun.gl/emner/statistik/antal_vaccinerede
Grenada,GRD,Oxford/AstraZeneca,2021-07-09,World Health Organization,https://covid19.who.int/
Guatemala,GTM,"Moderna, Oxford/AstraZeneca",2021-07-14,Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea,GIN,Sputnik V,2021-07-12,National Health Security Agency,https://twitter.com/anss_guinee/status/1415213293745098756
Guinea-Bissau,GNB,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-12,World Health Organization,https://covid19.who.int/
Guyana,GUY,"Oxford/AstraZeneca, Sputnik V",2021-07-14,Ministry of Health,https://www.facebook.com/mohguyana/posts/2644756582494538
Honduras,HND,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2021-07-12,World Health Organization,http://www.salud.gob.hn/site/index.php/component/edocman/informacion-avances-vacunacion-1207
Hong Kong,HKG,"Pfizer/BioNTech, Sinovac",2021-07-15,Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
Hungary,HUN,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-07-15,Government of Hungary,https://koronavirus.gov.hu//cikkek/5-millio-559-ezer-beoltott-64-az-uj-fertozott-elhunyt-2-beteg
