Country,Year,0-17,18-24,18-29,25-34,25-49,30-39,35-44,40-49,45-54,50-54,50-59,55-59,55-64,60-64,60-69,65-69,65-74,70-74,70-79,75+,75-79,80+
Austria,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02
Austria,18,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.07,0.0,0.0,0.3
Austria,25,0.0,0.11,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.24,0.0,0.0,0.97
Austria,32,0.0,0.5,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.14,0.0,0.0,4.75
Austria,39,0.0,0.98,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,1.67,0.0,0.0,0.0,1.98,0.0,0.0,9.68
Austria,46,0.0,1.22,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.0,0.0,1.94,0.0,0.0,0.0,2.39,0.0,0.0,12.63
Austria,53,0.0,1.37,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,2.17,0.0,0.0,0.0,2.58,0.0,0.0,13.24
Austria,60,0.0,1.45,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,2.3,0.0,0.0,0.0,2.76,0.0,0.0,14.08
Austria,67,0.0,1.51,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,2.47,0.0,0.0,0.0,3.15,0.0,0.0,17.98
Austria,74,0.0,1.56,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,2.71,0.0,0.0,0.0,3.7,0.0,0.0,25.23
Austria,81,0.0,1.64,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,3.2,0.0,0.0,0.0,4.71,0.0,0.0,40.01
Austria,88,0.0,1.77,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,3.83,0.0,0.0,0.0,6.88,0.0,0.0,49.69
Austria,95,0.0,2.51,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,6.11,0.0,0.0,0.0,5.62,0.0,0.0,0.0,11.05,0.0,0.0,57.39
Austria,102,0.0,2.89,0.0,0.0,4.73,0.0,0.0,0.0,0.0,0.0,6.99,0.0,0.0,0.0,7.26,0.0,0.0,0.0,15.32,0.0,0.0,60.61
Austria,109,0.0,3.06,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,7.38,0.0,0.0,0.0,7.94,0.0,0.0,0.0,17.88,0.0,0.0,64.29
Austria,116,0.0,3.35,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,7.85,0.0,0.0,0.0,9.03,0.0,0.0,0.0,22.42,0.0,0.0,64.98
Austria,123,0.0,4.01,0.0,0.0,6.04,0.0,0.0,0.0,0.0,0.0,8.86,0.0,0.0,0.0,11.29,0.0,0.0,0.0,29.09,0.0,0.0,66.17
Austria,130,0.0,4.83,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,10.14,0.0,0.0,0.0,13.58,0.0,0.0,0.0,32.99,0.0,0.0,66.95
Austria,137,0.0,6.08,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,12.43,0.0,0.0,0.0,17.85,0.0,0.0,0.0,38.25,0.0,0.0,70.36
Austria,144,0.0,7.56,0.0,0.0,10.78,0.0,0.0,0.0,0.0,0.0,15.93,0.0,0.0,0.0,23.21,0.0,0.0,0.0,44.81,0.0,0.0,71.54
