Country,Year,0-17_fully,12-17_fully,18-24_fully,18-29_fully,25-34_fully,25-49_fully,30-39_fully,35-44_fully,40-49_fully,45-54_fully,50-54_fully,50-59_fully,55-59_fully,55-64_fully,60-64_fully,60-69_fully,65-69_fully,65-74_fully,70-74_fully,70-79_fully,75+_fully,75-79_fully,80+_fully,0-17_start,12-17_start,18-24_start,18-29_start,25-34_start,25-49_start,30-39_start,35-44_start,40-49_start,45-54_start,50-54_start,50-59_start,55-59_start,55-64_start,60-64_start,60-69_start,65-69_start,65-74_start,70-74_start,70-79_start,75+_start,75-79_start,80+_start,0-17_partly,12-17_partly,18-24_partly,18-29_partly,25-34_partly,25-49_partly,30-39_partly,35-44_partly,40-49_partly,45-54_partly,50-54_partly,50-59_partly,55-59_partly,55-64_partly,60-64_partly,60-69_partly,65-69_partly,65-74_partly,70-74_partly,70-79_partly,75+_partly,75-79_partly,80+_partly
Austria,7,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.12,,,0.38,,,,,,0.54,,,,0.32,,,,0.27,,,1.22,,,0.12,,,0.38,,,,,,0.54,,,,0.32,,,,0.27,,,1.22
Austria,14,,,0.0,,,0.0,,,,,,0.01,,,,0.0,,,,0.01,,,0.02,,,0.44,,,1.18,,,,,,1.81,,,,1.3,,,,1.28,,,6.03,,,0.44,,,1.18,,,,,,1.8,,,,1.3,,,,1.27,,,6.01
Austria,21,,,0.01,,,0.04,,,,,,0.07,,,,0.05,,,,0.07,,,0.31,,,0.87,,,2.16,,,,,,3.14,,,,2.11,,,,2.15,,,11.73,,,0.86,,,2.12,,,,,,3.07,,,,2.06,,,,2.08,,,11.42
Austria,28,,,0.1,,,0.24,,,,,,0.36,,,,0.25,,,,0.23,,,1.03,,,1.03,,,2.46,,,,,,3.54,,,,2.38,,,,2.36,,,14.09,,,0.93,,,2.22,,,,,,3.18,,,,2.13,,,,2.13,,,13.06
Austria,35,,,0.4,,,1.06,,,,,,1.6,,,,1.13,,,,1.08,,,5.06,,,1.15,,,2.67,,,,,,3.85,,,,2.56,,,,2.51,,,14.89,,,0.75,,,1.61,,,,,,2.25,,,,1.43,,,,1.43,,,9.83
Austria,42,,,0.79,,,2.0,,,,,,2.89,,,,1.93,,,,1.86,,,10.24,,,1.52,,,3.04,,,,,,4.3,,,,2.83,,,,2.72,,,15.82,,,0.73,,,1.04,,,,,,1.41,,,,0.9,,,,0.86,,,5.58
Austria,49,,,0.99,,,2.35,,,,,,3.38,,,,2.24,,,,2.23,,,13.32,,,2.0,,,3.7,,,,,,5.14,,,,3.33,,,,3.04,,,20.13,,,1.01,,,1.35,,,,,,1.76,,,,1.09,,,,0.81,,,6.81
Austria,56,,,1.12,,,2.6,,,,,,3.75,,,,2.51,,,,2.41,,,13.98,,,2.95,,,4.79,,,,,,6.44,,,,4.2,,,,3.52,,,27.74,,,1.83,,,2.19,,,,,,2.69,,,,1.69,,,,1.11,,,13.76
Austria,63,,,1.2,,,2.75,,,,,,3.96,,,,2.66,,,,2.56,,,14.91,,,3.72,,,5.86,,,,,,7.9,,,,5.32,,,,4.57,,,43.78,,,2.52,,,3.11,,,,,,3.94,,,,2.66,,,,2.01,,,28.87
Austria,70,,,1.24,,,2.87,,,,,,4.15,,,,2.84,,,,2.84,,,19.06,,,5.11,,,7.9,,,,,,10.4,,,,8.1,,,,8.13,,,57.38,,,3.87,,,5.03,,,,,,6.25,,,,5.26,,,,5.29,,,38.32
Austria,77,,,1.29,,,2.98,,,,,,4.32,,,,3.09,,,,3.24,,,26.62,,,5.81,,,9.24,,,,,,12.38,,,,10.97,,,,13.79,,,66.72,,,4.52,,,6.26,,,,,,8.06,,,,7.88,,,,10.55,,,40.1
Austria,84,,,1.36,,,3.11,,,,,,4.62,,,,3.58,,,,4.01,,,42.01,,,6.44,,,10.44,,,,,,14.2,,,,13.35,,,,18.97,,,71.76,,,5.08,,,7.33,,,,,,9.58,,,,9.77,,,,14.96,,,29.75
Austria,91,,,1.48,,,3.28,,,,,,4.92,,,,4.2,,,,5.5,,,53.01,,,6.8,,,11.01,,,,,,15.21,,,,14.99,,,,26.89,,,78.27,,,5.32,,,7.73,,,,,,10.29,,,,10.79,,,,21.39,,,25.26
Austria,98,,,2.2,,,4.14,,,,,,6.09,,,,5.99,,,,9.03,,,62.26,,,7.13,,,11.58,,,,,,16.32,,,,19.72,,,,40.38,,,84.02,,,4.93,,,7.44,,,,,,10.23,,,,13.73,,,,31.35,,,21.76
