Country,Year,people_vaccinated_per_hundred,uncertain_covid_vaccinate_this_week_pct_pop,unwillingness_covid_vaccinate_this_week_pct_pop,willingness_covid_vaccinate_this_week_pct_pop
Australia,404,0.13,19.03,27.93,52.91
Australia,496,14.68,19.78,29.76,35.78
Australia,526,24.09,17.95,26.99,30.97
Australia,557,32.84,14.5,23.61,29.05
Canada,345,0.26,19.74,31.27,48.73
Canada,376,2.24,15.56,27.94,54.26
Canada,404,3.61,15.65,27.18,53.56
Canada,435,13.26,12.21,22.57,51.96
Canada,465,32.67,10.09,21.12,36.12
Canada,496,57.72,7.18,17.66,17.44
Denmark,345,0.58,16.29,30.29,52.84
Denmark,376,3.11,15.1,18.15,63.64
Denmark,404,7.28,10.07,15.92,66.73
Denmark,435,12.7,11.11,19.72,56.47
Denmark,465,23.08,9.03,16.54,51.35
Denmark,496,37.34,10.1,16.31,36.25
Denmark,526,57.7,8.54,12.09,21.67
Finland,376,2.61,16.5,24.67,56.22
France,345,0.0,15.4,64.7,19.9
France,376,2.44,17.13,45.68,34.75
France,404,4.59,14.53,42.03,38.85
France,435,12.97,14.5,37.65,34.88
France,465,23.52,13.56,33.39,29.53
France,496,38.69,11.29,29.43,20.59
France,526,50.58,9.04,32.15,8.23
France,557,61.68,7.26,24.36,6.7
Germany,345,0.24,21.08,37.76,40.92
Germany,376,2.29,16.47,30.42,50.82
Germany,404,4.91,13.14,25.45,56.5
Germany,435,11.82,12.76,24.0,51.42
Germany,465,27.62,11.41,19.01,41.96
Germany,496,43.0,9.78,17.42,29.8
Germany,526,55.09,7.84,20.23,16.84
Germany,557,61.16,7.83,22.12,8.89
Italy,345,0.07,23.79,36.73,39.41
Italy,376,2.29,17.58,26.12,54.01
Italy,404,4.93,15.36,21.96,57.75
Italy,435,11.92,12.71,23.83,51.54
Italy,465,23.58,11.1,21.56,43.76
Italy,496,39.23,9.32,17.15,34.3
Italy,526,56.76,8.15,15.65,19.44
Japan,404,0.02,28.45,21.73,49.8
Japan,435,0.69,24.95,21.33,53.03
Japan,465,2.6,23.64,19.18,54.58
Japan,496,9.93,20.52,14.87,54.68
Japan,526,26.12,16.75,12.63,44.5
Japan,557,39.62,14.52,12.57,33.29
Netherlands,376,2.05,17.71,19.77,60.47
Netherlands,404,6.49,16.37,19.99,57.15
Norway,345,0.04,21.79,32.49,45.68
Norway,376,2.04,17.7,25.97,54.29
Norway,404,6.28,13.66,24.32,55.74
Norway,435,13.0,12.36,24.72,49.92
Norway,465,25.85,10.16,20.65,43.34
Norway,496,30.67,12.05,19.73,37.55
Norway,526,49.11,7.93,17.58,25.38
Singapore,376,2.65,33.99,27.97,35.39
Singapore,435,16.12,23.36,18.36,42.16
Singapore,496,38.99,16.42,14.72,29.87
Singapore,526,55.92,10.74,10.0,23.34
South Korea,404,0.04,25.98,23.28,50.7
South Korea,435,1.72,27.36,22.82,48.1
South Korea,465,6.56,25.72,22.05,45.67
South Korea,496,11.31,27.35,21.93,39.41
South Korea,526,29.92,19.05,14.62,36.41
South Korea,557,37.93,16.99,12.69,32.39
Spain,376,2.68,20.71,25.28,51.33
Spain,404,5.49,18.58,23.89,52.04
Spain,435,11.37,17.44,23.52,47.67
Spain,465,25.16,15.89,18.77,40.18
Spain,496,38.88,12.45,17.09,31.58
Spain,526,54.81,10.27,13.45,21.47
Spain,557,68.12,7.15,11.42,13.31
Sweden,345,0.02,21.8,35.19,42.99
Sweden,376,2.97,16.88,25.94,54.21
Sweden,404,5.57,11.95,24.11,58.37
Sweden,435,11.31,10.83,22.96,54.9
Sweden,465,23.77,11.18,21.7,43.35
Sweden,496,37.99,9.04,19.86,33.11
Sweden,526,48.66,7.4,19.43,24.51
United Kingdom,345,1.48,10.76,17.55,70.21
United Kingdom,376,13.69,7.24,11.67,67.4
United Kingdom,404,29.87,6.16,10.44,53.53
United Kingdom,435,45.88,5.6,12.0,36.52
United Kingdom,465,50.62,3.99,12.18,33.21
United Kingdom,496,58.15,4.1,11.81,25.94
United States,404,14.88,12.86,32.1,40.16
United States,435,29.18,12.82,27.68,30.32
United States,465,43.32,8.92,28.19,19.57
United States,496,50.15,10.64,27.74,11.47
United States,526,54.02,7.26,31.09,7.63
