location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Croatia,2021-01-01,18,24,0.0,0.0
Croatia,2021-01-01,25,49,0.03,0.0
Croatia,2021-01-01,50,59,0.04,0.0
Croatia,2021-01-01,60,69,0.03,0.0
Croatia,2021-01-01,70,79,0.09,0.0
Croatia,2021-01-01,80,,0.39,0.0
Croatia,2021-01-08,18,24,0.17,0.0
Croatia,2021-01-08,25,49,0.73,0.0
Croatia,2021-01-08,50,59,1.05,0.0
Croatia,2021-01-08,60,69,0.73,0.0
Croatia,2021-01-08,70,79,0.96,0.0
Croatia,2021-01-08,80,,3.23,0.0
Croatia,2021-01-15,18,24,0.28,0.0
Croatia,2021-01-15,25,49,1.19,0.0
Croatia,2021-01-15,50,59,1.8,0.0
Croatia,2021-01-15,60,69,1.26,0.0
Croatia,2021-01-15,70,79,1.51,0.02
Croatia,2021-01-15,80,,4.26,0.09
Croatia,2021-01-22,18,24,0.35,0.04
Croatia,2021-01-22,25,49,1.5,0.21
Croatia,2021-01-22,50,59,2.29,0.31
Croatia,2021-01-22,60,69,1.66,0.22
Croatia,2021-01-22,70,79,1.95,0.41
Croatia,2021-01-22,80,,5.04,1.73
Croatia,2021-01-29,18,24,0.36,0.12
Croatia,2021-01-29,25,49,1.53,0.6
Croatia,2021-01-29,50,59,2.34,0.88
Croatia,2021-01-29,60,69,1.72,0.61
Croatia,2021-01-29,70,79,2.02,0.8
Croatia,2021-01-29,80,,5.17,2.82
Croatia,2021-02-05,18,24,0.37,0.23
Croatia,2021-02-05,25,49,1.58,0.99
Croatia,2021-02-05,50,59,2.43,1.49
Croatia,2021-02-05,60,69,1.8,1.05
Croatia,2021-02-05,70,79,2.14,1.21
Croatia,2021-02-05,80,,5.31,3.67
Croatia,2021-02-12,18,24,0.43,0.31
Croatia,2021-02-12,25,49,1.77,1.38
Croatia,2021-02-12,50,59,2.79,2.1
Croatia,2021-02-12,60,69,2.36,1.51
Croatia,2021-02-12,70,79,3.04,1.68
Croatia,2021-02-12,80,,6.36,4.52
Croatia,2021-02-19,18,24,0.55,0.34
Croatia,2021-02-19,25,49,2.16,1.49
Croatia,2021-02-19,50,59,3.53,2.28
Croatia,2021-02-19,60,69,3.49,1.67
Croatia,2021-02-19,70,79,5.39,1.91
Croatia,2021-02-19,80,,11.3,4.86
Croatia,2021-02-26,18,24,0.65,0.35
Croatia,2021-02-26,25,49,2.49,1.52
Croatia,2021-02-26,50,59,4.23,2.34
Croatia,2021-02-26,60,69,5.24,1.75
Croatia,2021-02-26,70,79,10.46,2.02
Croatia,2021-02-26,80,,21.45,5.0
Croatia,2021-03-05,18,24,0.73,0.37
Croatia,2021-03-05,25,49,2.74,1.6
Croatia,2021-03-05,50,59,4.84,2.47
Croatia,2021-03-05,60,69,7.11,1.88
Croatia,2021-03-05,70,79,16.28,2.21
Croatia,2021-03-05,80,,27.58,5.31
Croatia,2021-03-12,18,24,0.94,0.44
Croatia,2021-03-12,25,49,3.03,1.8
Croatia,2021-03-12,50,59,5.55,2.79
Croatia,2021-03-12,60,69,9.33,2.22
Croatia,2021-03-12,70,79,22.18,2.75
Croatia,2021-03-12,80,,31.79,6.47
Croatia,2021-03-19,18,24,1.03,0.5
Croatia,2021-03-19,25,49,3.35,1.99
Croatia,2021-03-19,50,59,6.4,3.11
Croatia,2021-03-19,60,69,12.08,2.71
Croatia,2021-03-19,70,79,27.99,3.76
Croatia,2021-03-19,80,,34.42,8.17
Croatia,2021-03-26,18,24,1.16,0.52
Croatia,2021-03-26,25,49,3.7,2.07
Croatia,2021-03-26,50,59,7.36,3.28
Croatia,2021-03-26,60,69,15.16,3.03
Croatia,2021-03-26,70,79,33.32,4.46
Croatia,2021-03-26,80,,36.69,9.26
Croatia,2021-04-02,18,24,1.33,0.56
Croatia,2021-04-02,25,49,4.06,2.18
Croatia,2021-04-02,50,59,8.39,3.49
Croatia,2021-04-02,60,69,18.63,3.45
Croatia,2021-04-02,70,79,38.39,5.6
Croatia,2021-04-02,80,,38.77,10.92
Croatia,2021-04-09,18,24,1.45,0.6
Croatia,2021-04-09,25,49,4.54,2.3
Croatia,2021-04-09,50,59,9.83,3.7
Croatia,2021-04-09,60,69,22.51,3.97
Croatia,2021-04-09,70,79,42.22,7.07
Croatia,2021-04-09,80,,40.17,12.5
Croatia,2021-04-16,18,24,1.74,0.67
Croatia,2021-04-16,25,49,5.46,2.52
Croatia,2021-04-16,50,59,12.16,4.21
Croatia,2021-04-16,60,69,27.95,5.35
Croatia,2021-04-16,70,79,46.4,10.62
Croatia,2021-04-16,80,,41.9,16.1
Croatia,2021-04-23,18,24,2.31,0.74
Croatia,2021-04-23,25,49,6.39,2.72
Croatia,2021-04-23,50,59,14.33,4.71
Croatia,2021-04-23,60,69,32.43,6.89
Croatia,2021-04-23,70,79,50.59,13.87
Croatia,2021-04-23,80,,43.68,18.57
Croatia,2021-04-30,18,24,2.74,0.83
Croatia,2021-04-30,25,49,8.02,3.0
Croatia,2021-04-30,50,59,17.6,5.37
Croatia,2021-04-30,60,69,36.97,8.87
Croatia,2021-04-30,70,79,53.98,17.59
Croatia,2021-04-30,80,,45.29,21.36
Croatia,2021-05-07,18,24,4.03,1.09
