location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Cyprus,2021-01-01,18,24,0.01,0.0
Cyprus,2021-01-01,25,49,0.02,0.0
Cyprus,2021-01-01,50,59,0.02,0.0
Cyprus,2021-01-01,60,69,0.04,0.0
Cyprus,2021-01-01,70,79,0.04,0.0
Cyprus,2021-01-01,80,,0.65,0.0
Cyprus,2021-01-08,18,24,0.07,0.0
Cyprus,2021-01-08,25,49,0.59,0.0
Cyprus,2021-01-08,50,59,0.85,0.0
Cyprus,2021-01-08,60,69,0.79,0.0
Cyprus,2021-01-08,70,79,0.73,0.0
Cyprus,2021-01-08,80,,5.74,0.0
Cyprus,2021-01-15,18,24,0.09,0.0
Cyprus,2021-01-15,25,49,0.8,0.02
Cyprus,2021-01-15,50,59,1.16,0.01
Cyprus,2021-01-15,60,69,1.1,0.03
Cyprus,2021-01-15,70,79,0.92,0.04
Cyprus,2021-01-15,80,,14.6,0.59
Cyprus,2021-01-22,18,24,0.13,0.03
Cyprus,2021-01-22,25,49,0.89,0.24
Cyprus,2021-01-22,50,59,1.34,0.34
Cyprus,2021-01-22,60,69,1.26,0.39
Cyprus,2021-01-22,70,79,1.12,0.42
Cyprus,2021-01-22,80,,26.7,2.59
Cyprus,2021-01-29,18,24,0.15,0.06
Cyprus,2021-01-29,25,49,0.94,0.55
Cyprus,2021-01-29,50,59,1.41,0.77
Cyprus,2021-01-29,60,69,1.33,0.72
Cyprus,2021-01-29,70,79,1.27,0.66
Cyprus,2021-01-29,80,,38.69,5.18
Cyprus,2021-02-05,18,24,0.16,0.08
Cyprus,2021-02-05,25,49,1.01,0.74
Cyprus,2021-02-05,50,59,1.53,1.08
Cyprus,2021-02-05,60,69,1.44,1.02
Cyprus,2021-02-05,70,79,1.55,0.84
Cyprus,2021-02-05,80,,46.98,13.9
Cyprus,2021-02-12,18,24,0.19,0.12
Cyprus,2021-02-12,25,49,1.17,0.84
Cyprus,2021-02-12,50,59,1.81,1.24
Cyprus,2021-02-12,60,69,1.75,1.18
Cyprus,2021-02-12,70,79,2.64,1.03
Cyprus,2021-02-12,80,,61.21,25.28
Cyprus,2021-02-19,18,24,0.36,0.13
Cyprus,2021-02-19,25,49,1.41,0.88
Cyprus,2021-02-19,50,59,2.12,1.32
Cyprus,2021-02-19,60,69,2.11,1.26
Cyprus,2021-02-19,70,79,9.83,1.18
Cyprus,2021-02-19,80,,71.2,37.12
Cyprus,2021-02-26,18,24,0.46,0.15
Cyprus,2021-02-26,25,49,1.53,0.97
Cyprus,2021-02-26,50,59,2.28,1.45
Cyprus,2021-02-26,60,69,2.32,1.37
Cyprus,2021-02-26,70,79,31.13,1.47
Cyprus,2021-02-26,80,,74.96,45.9
Cyprus,2021-03-05,18,24,0.52,0.17
Cyprus,2021-03-05,25,49,1.73,1.04
Cyprus,2021-03-05,50,59,2.52,1.59
Cyprus,2021-03-05,60,69,3.27,1.55
Cyprus,2021-03-05,70,79,49.35,2.51
Cyprus,2021-03-05,80,,77.58,59.92
Cyprus,2021-03-12,18,24,0.63,0.17
Cyprus,2021-03-12,25,49,1.89,1.06
Cyprus,2021-03-12,50,59,2.75,1.65
Cyprus,2021-03-12,60,69,9.31,1.61
Cyprus,2021-03-12,70,79,68.6,4.27
Cyprus,2021-03-12,80,,81.03,68.04
Cyprus,2021-03-19,18,24,0.64,0.18
Cyprus,2021-03-19,25,49,1.92,1.07
Cyprus,2021-03-19,50,59,2.81,1.67
Cyprus,2021-03-19,60,69,11.22,1.63
Cyprus,2021-03-19,70,79,70.59,10.16
Cyprus,2021-03-19,80,,81.58,69.19
Cyprus,2021-03-26,18,24,0.66,0.18
Cyprus,2021-03-26,25,49,2.02,1.08
Cyprus,2021-03-26,50,59,2.96,1.68
Cyprus,2021-03-26,60,69,19.04,1.71
Cyprus,2021-03-26,70,79,76.1,15.59
Cyprus,2021-03-26,80,,83.49,69.74
Cyprus,2021-04-02,18,24,0.8,0.18
Cyprus,2021-04-02,25,49,2.51,1.09
Cyprus,2021-04-02,50,59,4.36,1.7
Cyprus,2021-04-02,60,69,23.13,3.64
Cyprus,2021-04-02,70,79,77.2,21.04
Cyprus,2021-04-02,80,,84.2,70.63
Cyprus,2021-04-09,18,24,0.95,0.18
Cyprus,2021-04-09,25,49,2.98,1.1
Cyprus,2021-04-09,50,59,5.8,1.71
Cyprus,2021-04-09,60,69,36.53,5.36
Cyprus,2021-04-09,70,79,80.04,26.32
Cyprus,2021-04-09,80,,85.84,71.42
Cyprus,2021-04-16,18,24,1.0,0.19
Cyprus,2021-04-16,25,49,3.16,1.12
Cyprus,2021-04-16,50,59,15.47,1.74
Cyprus,2021-04-16,60,69,44.93,9.17
Cyprus,2021-04-16,70,79,80.61,28.94
Cyprus,2021-04-16,80,,86.27,72.23
Cyprus,2021-04-23,18,24,1.07,0.22
Cyprus,2021-04-23,25,49,4.33,1.27
Cyprus,2021-04-23,50,59,31.37,2.23
Cyprus,2021-04-23,60,69,52.84,10.36
Cyprus,2021-04-23,70,79,80.83,29.29
Cyprus,2021-04-23,80,,86.51,72.39
Cyprus,2021-04-30,18,24,1.18,0.36
Cyprus,2021-04-30,25,49,13.61,2.08
Cyprus,2021-04-30,50,59,40.22,3.64
Cyprus,2021-04-30,60,69,55.85,15.66
Cyprus,2021-04-30,70,79,80.96,30.51
Cyprus,2021-04-30,80,,86.67,72.93
Cyprus,2021-05-07,18,24,1.29,0.43
Cyprus,2021-05-07,25,49,22.76,2.53
Cyprus,2021-05-07,50,59,48.66,9.77
Cyprus,2021-05-07,60,69,64.29,23.16
Cyprus,2021-05-07,70,79,82.75,31.82
Cyprus,2021-05-07,80,,86.96,73.44
Cyprus,2021-05-14,18,24,1.82,0.66
Cyprus,2021-05-14,25,49,35.92,4.26
Cyprus,2021-05-14,50,59,53.0,20.4
Cyprus,2021-05-14,60,69,68.83,29.81
Cyprus,2021-05-14,70,79,83.84,37.54
Cyprus,2021-05-14,80,,87.78,75.26
Cyprus,2021-05-21,18,24,8.93,0.8
Cyprus,2021-05-21,25,49,40.26,11.75
Cyprus,2021-05-21,50,59,58.29,27.89
Cyprus,2021-05-21,60,69,72.55,34.98
Cyprus,2021-05-21,70,79,84.48,57.25
Cyprus,2021-05-21,80,,88.23,79.19
Cyprus,2021-05-28,18,24,17.32,0.97
Cyprus,2021-05-28,25,49,42.15,18.3
Cyprus,2021-05-28,50,59,63.48,35.15
Cyprus,2021-05-28,60,69,76.06,44.11
Cyprus,2021-05-28,70,79,84.74,71.64
Cyprus,2021-05-28,80,,88.38,81.7
Cyprus,2021-06-04,18,24,20.31,1.08
Cyprus,2021-06-04,25,49,45.23,25.62
Cyprus,2021-06-04,50,59,64.21,37.49
Cyprus,2021-06-04,60,69,76.38,49.19
Cyprus,2021-06-04,70,79,87.65,77.94
Cyprus,2021-06-04,80,,89.99,83.21
Cyprus,2021-06-11,18,24,21.71,6.48
Cyprus,2021-06-11,25,49,50.92,29.15
Cyprus,2021-06-11,50,59,64.8,41.92
Cyprus,2021-06-11,60,69,76.98,58.07
Cyprus,2021-06-11,70,79,90.15,78.95
Cyprus,2021-06-11,80,,91.49,83.79
Cyprus,2021-06-18,18,24,28.37,17.35
Cyprus,2021-06-18,25,49,54.45,32.02
Cyprus,2021-06-18,50,59,70.48,53.73
Cyprus,2021-06-18,60,69,80.72,63.21
Cyprus,2021-06-18,70,79,91.25,80.32
