location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Czechia,2021-01-01,18,24,0.01,0.0
Czechia,2021-01-01,25,49,0.02,0.0
Czechia,2021-01-01,50,59,0.02,0.0
Czechia,2021-01-01,60,69,0.01,0.0
Czechia,2021-01-01,70,79,0.01,0.0
Czechia,2021-01-01,80,,0.01,0.0
Czechia,2021-01-08,18,24,0.22,0.0
Czechia,2021-01-08,25,49,0.67,0.0
Czechia,2021-01-08,50,59,0.81,0.0
Czechia,2021-01-08,60,69,0.49,0.0
Czechia,2021-01-08,70,79,0.25,0.0
Czechia,2021-01-08,80,,0.55,0.0
Czechia,2021-01-15,18,24,0.53,0.0
Czechia,2021-01-15,25,49,1.42,0.01
Czechia,2021-01-15,50,59,1.85,0.01
Czechia,2021-01-15,60,69,1.17,0.01
Czechia,2021-01-15,70,79,0.82,0.0
Czechia,2021-01-15,80,,3.21,0.0
Czechia,2021-01-22,18,24,0.69,0.06
Czechia,2021-01-22,25,49,1.81,0.17
Czechia,2021-01-22,50,59,2.51,0.19
Czechia,2021-01-22,60,69,1.65,0.12
Czechia,2021-01-22,70,79,1.3,0.06
Czechia,2021-01-22,80,,11.83,0.14
Czechia,2021-01-29,18,24,0.79,0.17
Czechia,2021-01-29,25,49,1.99,0.55
Czechia,2021-01-29,50,59,2.8,0.67
Czechia,2021-01-29,60,69,1.87,0.39
Czechia,2021-01-29,70,79,1.51,0.17
Czechia,2021-01-29,80,,18.04,0.36
Czechia,2021-02-05,18,24,0.83,0.43
Czechia,2021-02-05,25,49,2.08,1.19
Czechia,2021-02-05,50,59,2.94,1.54
Czechia,2021-02-05,60,69,1.99,0.95
Czechia,2021-02-05,70,79,1.65,0.57
Czechia,2021-02-05,80,,21.6,2.07
Czechia,2021-02-12,18,24,0.9,0.61
Czechia,2021-02-12,25,49,2.22,1.63
Czechia,2021-02-12,50,59,3.15,2.22
Czechia,2021-02-12,60,69,2.14,1.46
Czechia,2021-02-12,70,79,1.86,1.06
Czechia,2021-02-12,80,,25.55,9.4
Czechia,2021-02-19,18,24,1.01,0.72
Czechia,2021-02-19,25,49,2.43,1.84
Czechia,2021-02-19,50,59,3.47,2.57
Czechia,2021-02-19,60,69,2.39,1.71
Czechia,2021-02-19,70,79,2.19,1.34
Czechia,2021-02-19,80,,32.82,14.94
Czechia,2021-02-26,18,24,1.19,0.78
Czechia,2021-02-26,25,49,2.78,1.97
Czechia,2021-02-26,50,59,3.99,2.78
Czechia,2021-02-26,60,69,2.8,1.87
Czechia,2021-02-26,70,79,2.77,1.5
Czechia,2021-02-26,80,,42.52,19.24
Czechia,2021-03-05,18,24,1.44,0.83
Czechia,2021-03-05,25,49,3.52,2.07
Czechia,2021-03-05,50,59,5.65,2.92
Czechia,2021-03-05,60,69,4.28,1.98
Czechia,2021-03-05,70,79,7.68,1.64
Czechia,2021-03-05,80,,51.71,22.43
Czechia,2021-03-12,18,24,1.83,0.91
Czechia,2021-03-12,25,49,4.33,2.24
Czechia,2021-03-12,50,59,7.27,3.19
Czechia,2021-03-12,60,69,5.51,2.19
Czechia,2021-03-12,70,79,19.27,1.88
Czechia,2021-03-12,80,,58.44,27.21
Czechia,2021-03-19,18,24,2.21,1.06
Czechia,2021-03-19,25,49,5.04,2.49
Czechia,2021-03-19,50,59,8.68,3.55
Czechia,2021-03-19,60,69,6.57,2.48
Czechia,2021-03-19,70,79,30.95,2.25
