location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Estonia,2021-01-01,18,24,0.01,0.0
Estonia,2021-01-01,25,49,0.02,0.0
Estonia,2021-01-01,50,59,0.03,0.0
Estonia,2021-01-01,60,69,0.02,0.0
Estonia,2021-01-01,70,79,0.0,0.0
Estonia,2021-01-01,80,,0.0,0.0
Estonia,2021-01-08,18,24,0.6,0.0
Estonia,2021-01-08,25,49,1.08,0.0
Estonia,2021-01-08,50,59,1.51,0.0
Estonia,2021-01-08,60,69,1.27,0.0
Estonia,2021-01-08,70,79,0.53,0.0
Estonia,2021-01-08,80,,0.22,0.0
Estonia,2021-01-15,18,24,0.93,0.01
Estonia,2021-01-15,25,49,1.57,0.01
Estonia,2021-01-15,50,59,2.34,0.02
Estonia,2021-01-15,60,69,2.12,0.01
Estonia,2021-01-15,70,79,1.15,0.0
Estonia,2021-01-15,80,,1.59,0.04
Estonia,2021-01-22,18,24,1.08,0.11
Estonia,2021-01-22,25,49,1.84,0.26
Estonia,2021-01-22,50,59,2.87,0.36
Estonia,2021-01-22,60,69,2.69,0.29
Estonia,2021-01-22,70,79,1.78,0.11
Estonia,2021-01-22,80,,3.57,0.12
Estonia,2021-01-29,18,24,1.26,0.56
Estonia,2021-01-29,25,49,2.13,1.03
Estonia,2021-01-29,50,59,3.41,1.47
Estonia,2021-01-29,60,69,3.17,1.25
Estonia,2021-01-29,70,79,2.27,0.53
Estonia,2021-01-29,80,,4.68,0.29
Estonia,2021-02-05,18,24,1.52,0.9
Estonia,2021-02-05,25,49,2.54,1.54
Estonia,2021-02-05,50,59,4.09,2.34
Estonia,2021-02-05,60,69,3.79,2.15
Estonia,2021-02-05,70,79,3.31,1.17
Estonia,2021-02-05,80,,7.48,1.64
Estonia,2021-02-12,18,24,1.9,1.04
Estonia,2021-02-12,25,49,2.8,1.79
Estonia,2021-02-12,50,59,4.54,2.82
Estonia,2021-02-12,60,69,4.28,2.66
Estonia,2021-02-12,70,79,4.91,1.73
Estonia,2021-02-12,80,,14.44,3.32
Estonia,2021-02-19,18,24,2.22,1.22
Estonia,2021-02-19,25,49,3.64,2.09
Estonia,2021-02-19,50,59,6.19,3.34
Estonia,2021-02-19,60,69,5.88,3.1
Estonia,2021-02-19,70,79,7.15,2.13
Estonia,2021-02-19,80,,19.82,4.3
Estonia,2021-02-26,18,24,2.88,1.49
Estonia,2021-02-26,25,49,4.92,2.56
Estonia,2021-02-26,50,59,8.15,4.11
Estonia,2021-02-26,60,69,7.67,3.8
Estonia,2021-02-26,70,79,8.03,3.11
Estonia,2021-02-26,80,,23.16,7.03
Estonia,2021-03-05,18,24,3.93,1.92
Estonia,2021-03-05,25,49,6.42,2.86
Estonia,2021-03-05,50,59,11.07,4.62
Estonia,2021-03-05,60,69,11.32,4.36
Estonia,2021-03-05,70,79,9.57,4.63
Estonia,2021-03-05,80,,27.11,13.7
Estonia,2021-03-12,18,24,4.7,2.03
Estonia,2021-03-12,25,49,7.93,3.06
Estonia,2021-03-12,50,59,14.14,4.98
Estonia,2021-03-12,60,69,18.04,4.93
Estonia,2021-03-12,70,79,16.91,6.96
Estonia,2021-03-12,80,,32.31,19.32
Estonia,2021-03-19,18,24,5.73,2.15
Estonia,2021-03-19,25,49,9.34,3.18
Estonia,2021-03-19,50,59,16.66,5.17
Estonia,2021-03-19,60,69,21.59,5.17
Estonia,2021-03-19,70,79,24.2,7.99
Estonia,2021-03-19,80,,36.46,22.71
Estonia,2021-03-26,18,24,6.16,2.23
Estonia,2021-03-26,25,49,10.18,3.3
Estonia,2021-03-26,50,59,18.39,5.36
Estonia,2021-03-26,60,69,25.04,5.45
Estonia,2021-03-26,70,79,33.02,8.9
Estonia,2021-03-26,80,,41.82,25.3
Estonia,2021-04-02,18,24,6.66,2.31
Estonia,2021-04-02,25,49,11.23,3.43
Estonia,2021-04-02,50,59,21.39,5.65
Estonia,2021-04-02,60,69,31.17,6.1
Estonia,2021-04-02,70,79,40.99,11.94
Estonia,2021-04-02,80,,45.73,29.5
Estonia,2021-04-09,18,24,7.02,2.41
Estonia,2021-04-09,25,49,12.07,3.62
Estonia,2021-04-09,50,59,23.72,6.05
Estonia,2021-04-09,60,69,36.66,6.69
Estonia,2021-04-09,70,79,51.32,14.26
Estonia,2021-04-09,80,,50.76,31.65
Estonia,2021-04-16,18,24,7.39,2.63
Estonia,2021-04-16,25,49,12.99,4.36
Estonia,2021-04-16,50,59,26.31,7.59
Estonia,2021-04-16,60,69,42.09,8.44
Estonia,2021-04-16,70,79,59.08,15.8
Estonia,2021-04-16,80,,53.86,32.57
Estonia,2021-04-23,18,24,7.91,3.04
Estonia,2021-04-23,25,49,14.08,5.4
Estonia,2021-04-23,50,59,29.21,9.38
Estonia,2021-04-23,60,69,46.65,10.46
Estonia,2021-04-23,70,79,62.82,18.49
Estonia,2021-04-23,80,,55.58,33.86
Estonia,2021-04-30,18,24,8.85,4.15
Estonia,2021-04-30,25,49,15.79,7.0
Estonia,2021-04-30,50,59,33.75,12.39
Estonia,2021-04-30,60,69,50.91,14.49
Estonia,2021-04-30,70,79,65.61,22.48
Estonia,2021-04-30,80,,57.27,37.23
Estonia,2021-05-07,18,24,10.02,4.99
Estonia,2021-05-07,25,49,18.01,8.51
Estonia,2021-05-07,50,59,41.61,15.95
Estonia,2021-05-07,60,69,54.63,20.6
Estonia,2021-05-07,70,79,67.33,30.31
Estonia,2021-05-07,80,,58.38,42.13
Estonia,2021-05-14,18,24,11.19,5.47
Estonia,2021-05-14,25,49,20.7,9.49
Estonia,2021-05-14,50,59,46.77,17.87
Estonia,2021-05-14,60,69,56.87,23.68
Estonia,2021-05-14,70,79,68.29,35.3
Estonia,2021-05-14,80,,59.35,45.4
Estonia,2021-05-21,18,24,12.98,6.42
Estonia,2021-05-21,25,49,26.63,11.32
Estonia,2021-05-21,50,59,49.17,20.33
Estonia,2021-05-21,60,69,58.0,27.52
Estonia,2021-05-21,70,79,68.88,42.93
Estonia,2021-05-21,80,,60.04,50.19
Estonia,2021-05-28,18,24,19.96,8.6
Estonia,2021-05-28,25,49,31.1,13.41
Estonia,2021-05-28,50,59,50.58,23.64
Estonia,2021-05-28,60,69,58.83,32.77
Estonia,2021-05-28,70,79,69.44,50.25
Estonia,2021-05-28,80,,60.69,53.46
Estonia,2021-06-04,18,24,25.53,10.4
Estonia,2021-06-04,25,49,35.14,15.6
Estonia,2021-06-04,50,59,52.03,27.59
Estonia,2021-06-04,60,69,59.72,38.75
Estonia,2021-06-04,70,79,69.95,54.92
Estonia,2021-06-04,80,,61.19,55.37
Estonia,2021-06-11,18,24,29.95,12.83
Estonia,2021-06-11,25,49,38.13,18.71
Estonia,2021-06-11,50,59,53.34,34.95
Estonia,2021-06-11,60,69,60.55,45.65
Estonia,2021-06-11,70,79,70.4,59.65
Estonia,2021-06-11,80,,61.62,57.52
Estonia,2021-06-18,18,24,33.34,15.26
Estonia,2021-06-18,25,49,40.6,22.97
Estonia,2021-06-18,50,59,54.71,44.18
Estonia,2021-06-18,60,69,61.37,51.87
Estonia,2021-06-18,70,79,70.81,63.93
Estonia,2021-06-18,80,,61.97,59.1
Estonia,2021-06-25,18,24,34.67,16.96
Estonia,2021-06-25,25,49,41.6,25.05
Estonia,2021-06-25,50,59,55.27,47.4
Estonia,2021-06-25,60,69,61.68,54.81
Estonia,2021-06-25,70,79,70.94,66.04
Estonia,2021-06-25,80,,62.09,59.7
Estonia,2021-07-02,18,24,36.41,19.29
Estonia,2021-07-02,25,49,42.99,30.4
Estonia,2021-07-02,50,59,56.25,50.22
Estonia,2021-07-02,60,69,62.36,57.83
Estonia,2021-07-02,70,79,71.27,68.43
Estonia,2021-07-02,80,,62.35,60.51
Estonia,2021-07-09,18,24,38.31,24.46
Estonia,2021-07-09,25,49,44.61,34.29
Estonia,2021-07-09,50,59,57.47,51.77
Estonia,2021-07-09,60,69,63.19,59.01
Estonia,2021-07-09,70,79,71.68,69.22
Estonia,2021-07-09,80,,62.65,61.01
Estonia,2021-07-16,18,24,40.25,29.05
Estonia,2021-07-16,25,49,46.19,37.72
Estonia,2021-07-16,50,59,58.71,53.29
Estonia,2021-07-16,60,69,63.94,59.96
Estonia,2021-07-16,70,79,72.05,69.71
Estonia,2021-07-16,80,,62.93,61.37
Estonia,2021-07-23,18,24,43.63,33.67
Estonia,2021-07-23,25,49,48.24,41.0
Estonia,2021-07-23,50,59,60.28,54.98
Estonia,2021-07-23,60,69,65.07,61.08
Estonia,2021-07-23,70,79,72.69,70.26
Estonia,2021-07-23,80,,63.34,61.81
Estonia,2021-07-30,18,24,46.16,36.56
Estonia,2021-07-30,25,49,50.09,43.09
Estonia,2021-07-30,50,59,61.72,56.3
Estonia,2021-07-30,60,69,66.07,61.97
Estonia,2021-07-30,70,79,73.19,70.7
Estonia,2021-07-30,80,,63.68,62.07
Estonia,2021-08-06,18,24,47.87,37.68
Estonia,2021-08-06,25,49,51.35,44.01
Estonia,2021-08-06,50,59,62.61,56.94
Estonia,2021-08-06,60,69,66.63,62.37
Estonia,2021-08-06,70,79,73.51,70.89
Estonia,2021-08-06,80,,63.95,62.25
