location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Ireland,2021-01-08,18,24,0.66,0.0
Ireland,2021-01-08,25,49,1.78,0.0
Ireland,2021-01-08,50,59,1.82,0.0
Ireland,2021-01-08,60,69,0.88,0.0
Ireland,2021-01-08,70,79,0.12,0.0
Ireland,2021-01-08,80,,0.47,0.0
Ireland,2021-01-15,18,24,1.23,0.0
Ireland,2021-01-15,25,49,3.07,0.0
Ireland,2021-01-15,50,59,3.51,0.0
Ireland,2021-01-15,60,69,2.02,0.0
Ireland,2021-01-15,70,79,0.8,0.0
Ireland,2021-01-15,80,,3.84,0.0
Ireland,2021-01-22,18,24,1.73,0.04
Ireland,2021-01-22,25,49,4.03,0.14
Ireland,2021-01-22,50,59,4.8,0.13
Ireland,2021-01-22,60,69,3.06,0.05
Ireland,2021-01-22,70,79,1.93,0.0
Ireland,2021-01-22,80,,10.02,0.01
Ireland,2021-01-29,18,24,1.82,0.66
Ireland,2021-01-29,25,49,4.23,1.76
Ireland,2021-01-29,50,59,5.02,1.81
Ireland,2021-01-29,60,69,3.33,0.89
Ireland,2021-01-29,70,79,2.21,0.12
Ireland,2021-01-29,80,,10.21,0.41
Ireland,2021-02-05,18,24,1.97,1.19
Ireland,2021-02-05,25,49,4.51,2.95
Ireland,2021-02-05,50,59,5.33,3.35
Ireland,2021-02-05,60,69,3.52,1.9
Ireland,2021-02-05,70,79,2.27,0.7
Ireland,2021-02-05,80,,10.41,3.37
Ireland,2021-02-12,18,24,2.32,1.22
Ireland,2021-02-12,25,49,5.27,3.12
Ireland,2021-02-12,50,59,6.37,3.54
Ireland,2021-02-12,60,69,4.25,2.01
Ireland,2021-02-12,70,79,2.74,0.74
Ireland,2021-02-12,80,,11.62,3.42
Ireland,2021-02-19,18,24,2.91,1.72
Ireland,2021-02-19,25,49,6.04,4.05
Ireland,2021-02-19,50,59,7.32,4.78
Ireland,2021-02-19,60,69,4.88,3.0
Ireland,2021-02-19,70,79,3.01,1.76
Ireland,2021-02-19,80,,21.0,8.97
Ireland,2021-02-26,18,24,3.71,1.83
Ireland,2021-02-26,25,49,7.18,4.28
Ireland,2021-02-26,50,59,8.77,5.06
Ireland,2021-02-26,60,69,5.9,3.33
Ireland,2021-02-26,70,79,4.27,2.07
Ireland,2021-02-26,80,,42.93,9.37
Ireland,2021-03-05,18,24,4.31,1.95
Ireland,2021-03-05,25,49,8.07,4.5
Ireland,2021-03-05,50,59,9.89,5.34
Ireland,2021-03-05,60,69,6.85,3.5
Ireland,2021-03-05,70,79,7.27,2.17
Ireland,2021-03-05,80,,65.54,9.71
Ireland,2021-03-12,18,24,5.05,2.05
Ireland,2021-03-12,25,49,9.09,4.73
Ireland,2021-03-12,50,59,11.22,5.67
Ireland,2021-03-12,60,69,8.0,3.82
Ireland,2021-03-12,70,79,10.32,2.64
Ireland,2021-03-12,80,,84.72,11.09
Ireland,2021-03-19,18,24,5.17,2.11
Ireland,2021-03-19,25,49,9.2,4.84
Ireland,2021-03-19,50,59,11.4,5.84
Ireland,2021-03-19,60,69,8.31,3.99
Ireland,2021-03-19,70,79,16.33,2.92
Ireland,2021-03-19,80,,97.0,20.27
Ireland,2021-03-26,18,24,5.98,2.16
Ireland,2021-03-26,25,49,10.23,4.92
Ireland,2021-03-26,50,59,12.94,5.97
Ireland,2021-03-26,60,69,10.1,4.21
Ireland,2021-03-26,70,79,29.19,4.12
Ireland,2021-03-26,80,,100.25,41.64
Ireland,2021-04-02,18,24,6.81,2.19
Ireland,2021-04-02,25,49,11.16,4.98
Ireland,2021-04-02,50,59,14.34,6.04
Ireland,2021-04-02,60,69,12.08,4.42
Ireland,2021-04-02,70,79,43.25,7.12
Ireland,2021-04-02,80,,102.23,63.97
Ireland,2021-04-09,18,24,7.46,2.21
Ireland,2021-04-09,25,49,11.92,5.01
Ireland,2021-04-09,50,59,15.75,6.1
Ireland,2021-04-09,60,69,14.34,4.54
Ireland,2021-04-09,70,79,58.82,9.96
Ireland,2021-04-09,80,,103.03,82.29
Ireland,2021-04-16,18,24,7.61,2.24
Ireland,2021-04-16,25,49,12.25,5.04
Ireland,2021-04-16,50,59,16.58,6.15
