location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Latvia,2021-01-08,18,24,0.31,0.0
Latvia,2021-01-08,25,49,0.54,0.0
Latvia,2021-01-08,50,59,0.66,0.0
Latvia,2021-01-08,60,69,0.49,0.0
Latvia,2021-01-08,70,79,0.12,0.0
Latvia,2021-01-08,80,,0.02,0.0
Latvia,2021-01-15,18,24,0.7,0.0
Latvia,2021-01-15,25,49,1.16,0.0
Latvia,2021-01-15,50,59,1.54,0.0
Latvia,2021-01-15,60,69,1.24,0.0
Latvia,2021-01-15,70,79,0.35,0.0
Latvia,2021-01-15,80,,0.08,0.0
Latvia,2021-01-22,18,24,0.75,0.1
Latvia,2021-01-22,25,49,1.23,0.19
Latvia,2021-01-22,50,59,1.63,0.19
Latvia,2021-01-22,60,69,1.3,0.11
Latvia,2021-01-22,70,79,0.38,0.04
Latvia,2021-01-22,80,,0.08,0.0
Latvia,2021-01-29,18,24,0.76,0.29
Latvia,2021-01-29,25,49,1.25,0.52
Latvia,2021-01-29,50,59,1.65,0.64
Latvia,2021-01-29,60,69,1.31,0.47
Latvia,2021-01-29,70,79,0.38,0.11
Latvia,2021-01-29,80,,0.08,0.02
Latvia,2021-02-05,18,24,0.77,0.62
Latvia,2021-02-05,25,49,1.29,1.04
Latvia,2021-02-05,50,59,1.74,1.42
Latvia,2021-02-05,60,69,1.39,1.13
Latvia,2021-02-05,70,79,0.41,0.31
Latvia,2021-02-05,80,,0.09,0.06
Latvia,2021-02-12,18,24,0.98,0.7
Latvia,2021-02-12,25,49,1.49,1.19
Latvia,2021-02-12,50,59,2.01,1.57
Latvia,2021-02-12,60,69,1.66,1.26
Latvia,2021-02-12,70,79,0.55,0.36
Latvia,2021-02-12,80,,0.26,0.08
Latvia,2021-02-19,18,24,1.16,0.73
Latvia,2021-02-19,25,49,1.82,1.23
Latvia,2021-02-19,50,59,2.59,1.62
Latvia,2021-02-19,60,69,2.28,1.3
Latvia,2021-02-19,70,79,1.45,0.38
Latvia,2021-02-19,80,,1.43,0.08
Latvia,2021-02-26,18,24,1.5,0.74
Latvia,2021-02-26,25,49,2.09,1.25
Latvia,2021-02-26,50,59,3.01,1.64
Latvia,2021-02-26,60,69,2.88,1.31
Latvia,2021-02-26,70,79,6.07,0.39
Latvia,2021-02-26,80,,5.09,0.09
Latvia,2021-03-05,18,24,1.63,0.78
Latvia,2021-03-05,25,49,2.26,1.31
Latvia,2021-03-05,50,59,3.35,1.74
Latvia,2021-03-05,60,69,3.48,1.41
Latvia,2021-03-05,70,79,11.77,0.42
Latvia,2021-03-05,80,,10.0,0.09
Latvia,2021-03-12,18,24,1.74,0.78
Latvia,2021-03-12,25,49,2.39,1.32
Latvia,2021-03-12,50,59,3.6,1.76
Latvia,2021-03-12,60,69,4.12,1.42
Latvia,2021-03-12,70,79,16.26,0.42
Latvia,2021-03-12,80,,13.81,0.09
Latvia,2021-03-19,18,24,1.77,0.82
Latvia,2021-03-19,25,49,2.43,1.36
Latvia,2021-03-19,50,59,3.67,1.82
Latvia,2021-03-19,60,69,4.32,1.47
Latvia,2021-03-19,70,79,17.74,0.52
Latvia,2021-03-19,80,,14.95,0.17
Latvia,2021-03-26,18,24,1.9,0.9
Latvia,2021-03-26,25,49,2.7,1.44
Latvia,2021-03-26,50,59,4.4,1.93
Latvia,2021-03-26,60,69,6.25,1.57
Latvia,2021-03-26,70,79,22.77,1.26
Latvia,2021-03-26,80,,18.85,0.73
Latvia,2021-04-02,18,24,2.14,0.97
Latvia,2021-04-02,25,49,3.19,1.5
Latvia,2021-04-02,50,59,5.59,2.04
Latvia,2021-04-02,60,69,8.68,1.71
Latvia,2021-04-02,70,79,25.57,2.04
Latvia,2021-04-02,80,,20.92,1.34
Latvia,2021-04-09,18,24,2.67,0.99
Latvia,2021-04-09,25,49,4.01,1.54
Latvia,2021-04-09,50,59,7.2,2.08
Latvia,2021-04-09,60,69,13.86,1.78
Latvia,2021-04-09,70,79,28.3,2.43
Latvia,2021-04-09,80,,23.14,1.66
Latvia,2021-04-16,18,24,4.18,1.05
Latvia,2021-04-16,25,49,5.88,1.63
Latvia,2021-04-16,50,59,9.56,2.22
Latvia,2021-04-16,60,69,17.47,1.92
Latvia,2021-04-16,70,79,29.89,2.62
Latvia,2021-04-16,80,,24.42,1.84
Latvia,2021-04-23,18,24,5.01,1.21
Latvia,2021-04-23,25,49,7.97,1.93
Latvia,2021-04-23,50,59,12.56,2.8
Latvia,2021-04-23,60,69,22.02,2.92
Latvia,2021-04-23,70,79,32.07,4.46
Latvia,2021-04-23,80,,26.01,3.3
Latvia,2021-04-30,18,24,6.47,1.54
Latvia,2021-04-30,25,49,10.86,2.28
Latvia,2021-04-30,50,59,16.03,3.42
Latvia,2021-04-30,60,69,26.23,3.92
Latvia,2021-04-30,70,79,34.44,7.91
Latvia,2021-04-30,80,,27.79,6.24
Latvia,2021-05-07,18,24,10.82,1.97
Latvia,2021-05-07,25,49,15.7,3.13
Latvia,2021-05-07,50,59,19.64,4.94
Latvia,2021-05-07,60,69,29.07,6.5
Latvia,2021-05-07,70,79,36.09,12.13
Latvia,2021-05-07,80,,29.06,9.96
Latvia,2021-05-14,18,24,16.22,2.8
Latvia,2021-05-14,25,49,21.72,4.88
Latvia,2021-05-14,50,59,24.64,7.41
Latvia,2021-05-14,60,69,32.28,10.12
Latvia,2021-05-14,70,79,38.23,17.37
Latvia,2021-05-14,80,,30.86,14.46
Latvia,2021-05-21,18,24,20.05,4.52
Latvia,2021-05-21,25,49,25.66,8.18
Latvia,2021-05-21,50,59,28.05,11.54
Latvia,2021-05-21,60,69,34.9,15.56
Latvia,2021-05-21,70,79,39.96,23.05
Latvia,2021-05-21,80,,32.23,19.13
Latvia,2021-05-28,18,24,24.42,9.2
Latvia,2021-05-28,25,49,28.94,13.58
Latvia,2021-05-28,50,59,30.9,16.27
Latvia,2021-05-28,60,69,37.08,20.54
Latvia,2021-05-28,70,79,41.49,28.63
Latvia,2021-05-28,80,,33.39,23.61
Latvia,2021-06-04,18,24,28.22,15.45
Latvia,2021-06-04,25,49,31.22,20.23
Latvia,2021-06-04,50,59,32.9,22.04
Latvia,2021-06-04,60,69,38.75,25.16
Latvia,2021-06-04,70,79,42.74,33.17
Latvia,2021-06-04,80,,34.43,27.21
Latvia,2021-06-11,18,24,31.72,19.69
Latvia,2021-06-11,25,49,33.42,24.68
Latvia,2021-06-11,50,59,34.89,26.42
Latvia,2021-06-11,60,69,40.43,30.11
Latvia,2021-06-11,70,79,43.99,37.03
Latvia,2021-06-11,80,,35.39,30.31
Latvia,2021-06-18,18,24,34.33,24.39
Latvia,2021-06-18,25,49,35.27,28.66
Latvia,2021-06-18,50,59,36.66,30.34
Latvia,2021-06-18,60,69,41.91,34.38
Latvia,2021-06-18,70,79,45.11,40.14
Latvia,2021-06-18,80,,36.25,32.78
Latvia,2021-06-25,18,24,35.17,26.6
Latvia,2021-06-25,25,49,35.9,30.28
Latvia,2021-06-25,50,59,37.22,31.95
Latvia,2021-06-25,60,69,42.4,36.26
Latvia,2021-06-25,70,79,45.46,41.29
Latvia,2021-06-25,80,,36.46,33.65
Latvia,2021-07-02,18,24,37.52,32.1
Latvia,2021-07-02,25,49,37.59,34.17
Latvia,2021-07-02,50,59,38.99,35.66
Latvia,2021-07-02,60,69,43.99,40.56
Latvia,2021-07-02,70,79,46.55,43.71
Latvia,2021-07-02,80,,37.29,35.55
Latvia,2021-07-09,18,24,39.84,35.84
Latvia,2021-07-09,25,49,39.37,36.9
Latvia,2021-07-09,50,59,40.84,38.21
Latvia,2021-07-09,60,69,45.63,42.75
Latvia,2021-07-09,70,79,47.63,45.22
Latvia,2021-07-09,80,,38.02,36.75
Latvia,2021-07-16,18,24,42.01,37.58
Latvia,2021-07-16,25,49,41.0,38.29
Latvia,2021-07-16,50,59,42.54,39.61
Latvia,2021-07-16,60,69,47.03,43.94
Latvia,2021-07-16,70,79,48.45,45.98
Latvia,2021-07-16,80,,38.61,37.4
Latvia,2021-07-23,18,24,43.84,39.53
Latvia,2021-07-23,25,49,42.38,39.63
Latvia,2021-07-23,50,59,44.0,40.96
Latvia,2021-07-23,60,69,48.23,45.19
Latvia,2021-07-23,70,79,49.25,46.82
Latvia,2021-07-23,80,,39.15,38.04
Latvia,2021-07-30,18,24,45.5,41.14
Latvia,2021-07-30,25,49,43.63,40.8
Latvia,2021-07-30,50,59,45.24,42.1
Latvia,2021-07-30,60,69,49.31,46.31
Latvia,2021-07-30,70,79,49.95,47.59
Latvia,2021-07-30,80,,39.66,38.55
