location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Lithuania,2021-01-01,18,24,0.04,0.0
Lithuania,2021-01-01,25,49,0.14,0.0
Lithuania,2021-01-01,50,59,0.17,0.0
Lithuania,2021-01-01,60,69,0.1,0.0
Lithuania,2021-01-01,70,79,0.01,0.0
Lithuania,2021-01-08,18,24,0.35,0.0
Lithuania,2021-01-08,25,49,1.06,0.0
Lithuania,2021-01-08,50,59,1.78,0.0
Lithuania,2021-01-08,60,69,1.38,0.0
Lithuania,2021-01-08,70,79,0.25,0.0
Lithuania,2021-01-08,80,,0.12,0.0
Lithuania,2021-01-15,18,24,0.72,0.03
Lithuania,2021-01-15,25,49,2.06,0.08
Lithuania,2021-01-15,50,59,3.58,0.06
Lithuania,2021-01-15,60,69,3.02,0.03
Lithuania,2021-01-15,70,79,1.1,0.0
Lithuania,2021-01-15,80,,1.6,0.0
Lithuania,2021-01-22,18,24,0.82,0.14
Lithuania,2021-01-22,25,49,2.32,0.47
Lithuania,2021-01-22,50,59,4.01,0.69
Lithuania,2021-01-22,60,69,3.47,0.46
Lithuania,2021-01-22,70,79,1.37,0.06
Lithuania,2021-01-22,80,,2.48,0.0
Lithuania,2021-01-29,18,24,1.18,0.32
Lithuania,2021-01-29,25,49,2.98,1.01
Lithuania,2021-01-29,50,59,4.74,1.68
Lithuania,2021-01-29,60,69,4.04,1.3
Lithuania,2021-01-29,70,79,1.54,0.25
Lithuania,2021-01-29,80,,2.94,0.08
Lithuania,2021-02-05,18,24,1.29,0.63
Lithuania,2021-02-05,25,49,3.26,1.9
Lithuania,2021-02-05,50,59,5.19,3.31
Lithuania,2021-02-05,60,69,4.44,2.79
Lithuania,2021-02-05,70,79,1.65,1.0
Lithuania,2021-02-05,80,,3.26,1.39
Lithuania,2021-02-12,18,24,1.58,0.74
Lithuania,2021-02-12,25,49,4.11,2.18
Lithuania,2021-02-12,50,59,6.73,3.77
Lithuania,2021-02-12,60,69,5.65,3.23
Lithuania,2021-02-12,70,79,1.9,1.24
Lithuania,2021-02-12,80,,3.64,2.19
Lithuania,2021-02-19,18,24,1.72,1.09
Lithuania,2021-02-19,25,49,4.57,2.82
Lithuania,2021-02-19,50,59,7.71,4.51
Lithuania,2021-02-19,60,69,6.59,3.84
Lithuania,2021-02-19,70,79,2.96,1.45
Lithuania,2021-02-19,80,,9.0,2.68
Lithuania,2021-02-26,18,24,1.8,1.19
Lithuania,2021-02-26,25,49,4.76,3.05
Lithuania,2021-02-26,50,59,8.14,4.87
Lithuania,2021-02-26,60,69,7.7,4.17
Lithuania,2021-02-26,70,79,8.13,1.52
Lithuania,2021-02-26,80,,23.28,2.95
Lithuania,2021-03-05,18,24,1.89,1.36
Lithuania,2021-03-05,25,49,4.91,3.39
Lithuania,2021-03-05,50,59,8.44,5.9
Lithuania,2021-03-05,60,69,9.09,5.35
Lithuania,2021-03-05,70,79,18.14,1.75
Lithuania,2021-03-05,80,,32.15,3.33
Lithuania,2021-03-12,18,24,1.99,1.44
Lithuania,2021-03-12,25,49,5.04,3.53
Lithuania,2021-03-12,50,59,8.67,6.43
Lithuania,2021-03-12,60,69,11.91,6.05
Lithuania,2021-03-12,70,79,29.0,2.49
Lithuania,2021-03-12,80,,35.68,6.75
Lithuania,2021-03-19,18,24,2.04,1.5
Lithuania,2021-03-19,25,49,5.12,3.69
Lithuania,2021-03-19,50,59,8.89,6.82
Lithuania,2021-03-19,60,69,14.0,6.83
Lithuania,2021-03-19,70,79,33.42,4.81
Lithuania,2021-03-19,80,,36.84,15.43
Lithuania,2021-03-26,18,24,2.42,1.57
Lithuania,2021-03-26,25,49,5.73,3.82
Lithuania,2021-03-26,50,59,9.99,7.07
Lithuania,2021-03-26,60,69,18.89,7.42
Lithuania,2021-03-26,70,79,40.57,9.67
Lithuania,2021-03-26,80,,39.41,21.64
Lithuania,2021-04-02,18,24,4.34,1.66
Lithuania,2021-04-02,25,49,7.15,3.91
Lithuania,2021-04-02,50,59,12.03,7.24
Lithuania,2021-04-02,60,69,24.3,8.48
