location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Slovenia,2021-01-01,18,24,0.01,0.0
Slovenia,2021-01-01,25,49,0.07,0.0
Slovenia,2021-01-01,50,59,0.17,0.0
Slovenia,2021-01-01,60,69,0.2,0.0
Slovenia,2021-01-01,70,79,0.57,0.0
Slovenia,2021-01-01,80,,3.13,0.0
Slovenia,2021-01-08,18,24,0.44,0.0
Slovenia,2021-01-08,25,49,1.65,0.0
Slovenia,2021-01-08,50,59,2.33,0.0
Slovenia,2021-01-08,60,69,1.17,0.0
Slovenia,2021-01-08,70,79,1.27,0.0
Slovenia,2021-01-08,80,,4.77,0.0
Slovenia,2021-01-15,18,24,0.68,0.0
Slovenia,2021-01-15,25,49,2.08,0.01
Slovenia,2021-01-15,50,59,2.88,0.01
Slovenia,2021-01-15,60,69,1.48,0.01
Slovenia,2021-01-15,70,79,1.91,0.0
Slovenia,2021-01-15,80,,15.12,0.0
Slovenia,2021-01-22,18,24,0.75,0.07
Slovenia,2021-01-22,25,49,2.25,0.35
Slovenia,2021-01-22,50,59,3.1,0.63
Slovenia,2021-01-22,60,69,1.56,0.39
Slovenia,2021-01-22,70,79,2.05,0.7
Slovenia,2021-01-22,80,,16.87,3.41
Slovenia,2021-01-29,18,24,0.81,0.38
Slovenia,2021-01-29,25,49,2.32,1.5
Slovenia,2021-01-29,50,59,3.18,2.15
Slovenia,2021-01-29,60,69,1.6,1.07
Slovenia,2021-01-29,70,79,2.1,1.11
Slovenia,2021-01-29,80,,17.19,3.95
Slovenia,2021-02-05,18,24,0.84,0.6
Slovenia,2021-02-05,25,49,2.36,1.94
Slovenia,2021-02-05,50,59,3.22,2.73
Slovenia,2021-02-05,60,69,1.62,1.4
Slovenia,2021-02-05,70,79,2.12,1.7
Slovenia,2021-02-05,80,,17.83,13.79
Slovenia,2021-02-12,18,24,1.32,0.7
Slovenia,2021-02-12,25,49,2.63,2.13
Slovenia,2021-02-12,50,59,3.51,2.95
Slovenia,2021-02-12,60,69,1.76,1.48
Slovenia,2021-02-12,70,79,2.44,1.85
Slovenia,2021-02-12,80,,29.16,15.47
Slovenia,2021-02-19,18,24,1.73,0.76
Slovenia,2021-02-19,25,49,2.84,2.22
Slovenia,2021-02-19,50,59,3.87,3.06
Slovenia,2021-02-19,60,69,2.17,1.53
Slovenia,2021-02-19,70,79,4.46,1.9
Slovenia,2021-02-19,80,,42.31,16.12
Slovenia,2021-02-26,18,24,1.85,0.79
Slovenia,2021-02-26,25,49,3.06,2.27
Slovenia,2021-02-26,50,59,4.56,3.11
Slovenia,2021-02-26,60,69,3.28,1.55
Slovenia,2021-02-26,70,79,11.51,1.93
Slovenia,2021-02-26,80,,49.56,16.38
Slovenia,2021-03-05,18,24,2.06,0.86
Slovenia,2021-03-05,25,49,3.35,2.39
Slovenia,2021-03-05,50,59,5.66,3.24
Slovenia,2021-03-05,60,69,4.94,1.61
Slovenia,2021-03-05,70,79,16.87,2.13
Slovenia,2021-03-05,80,,51.88,25.09
Slovenia,2021-03-12,18,24,2.32,0.9
Slovenia,2021-03-12,25,49,4.57,2.46
Slovenia,2021-03-12,50,59,8.55,3.34
Slovenia,2021-03-12,60,69,8.17,1.68
Slovenia,2021-03-12,70,79,18.3,4.03
Slovenia,2021-03-12,80,,53.14,39.65
Slovenia,2021-03-19,18,24,2.35,0.92
Slovenia,2021-03-19,25,49,4.77,2.49
Slovenia,2021-03-19,50,59,8.95,3.37
Slovenia,2021-03-19,60,69,8.45,1.72
Slovenia,2021-03-19,70,79,21.54,10.48
Slovenia,2021-03-19,80,,54.55,46.7
Slovenia,2021-03-26,18,24,2.73,0.94
Slovenia,2021-03-26,25,49,5.98,2.52
Slovenia,2021-03-26,50,59,11.33,3.4
Slovenia,2021-03-26,60,69,10.96,1.81
Slovenia,2021-03-26,70,79,32.99,13.76
Slovenia,2021-03-26,80,,56.64,48.42
Slovenia,2021-04-02,18,24,2.89,0.94
Slovenia,2021-04-02,25,49,6.74,2.53
Slovenia,2021-04-02,50,59,12.62,3.42
Slovenia,2021-04-02,60,69,15.24,1.85
Slovenia,2021-04-02,70,79,50.34,16.34
Slovenia,2021-04-02,80,,57.91,49.86
Slovenia,2021-04-09,18,24,2.94,0.96
Slovenia,2021-04-09,25,49,6.84,2.54
Slovenia,2021-04-09,50,59,12.99,3.45
Slovenia,2021-04-09,60,69,28.74,1.9
Slovenia,2021-04-09,70,79,56.98,17.29
Slovenia,2021-04-09,80,,58.88,50.64
Slovenia,2021-04-16,18,24,3.01,0.97
Slovenia,2021-04-16,25,49,7.03,2.57
Slovenia,2021-04-16,50,59,13.56,3.5
Slovenia,2021-04-16,60,69,37.28,2.24
Slovenia,2021-04-16,70,79,60.46,28.7
Slovenia,2021-04-16,80,,59.66,53.06
Slovenia,2021-04-23,18,24,5.74,1.01
Slovenia,2021-04-23,25,49,7.95,2.61
Slovenia,2021-04-23,50,59,16.52,3.64
Slovenia,2021-04-23,60,69,42.0,3.99
Slovenia,2021-04-23,70,79,62.43,41.83
Slovenia,2021-04-23,80,,60.39,54.11
Slovenia,2021-04-30,18,24,5.95,1.2
Slovenia,2021-04-30,25,49,8.23,2.71
Slovenia,2021-04-30,50,59,17.94,3.88
Slovenia,2021-04-30,60,69,45.14,12.13
Slovenia,2021-04-30,70,79,63.7,50.91
Slovenia,2021-04-30,80,,60.97,54.97
Slovenia,2021-05-07,18,24,6.3,1.54
Slovenia,2021-05-07,25,49,9.44,3.11
Slovenia,2021-05-07,50,59,28.86,4.58
Slovenia,2021-05-07,60,69,49.09,20.03
Slovenia,2021-05-07,70,79,65.74,57.21
Slovenia,2021-05-07,80,,62.01,55.89
Slovenia,2021-05-14,18,24,7.85,2.38
Slovenia,2021-05-14,25,49,14.03,4.39
Slovenia,2021-05-14,50,59,35.76,5.84
Slovenia,2021-05-14,60,69,52.4,25.55
Slovenia,2021-05-14,70,79,67.63,59.63
Slovenia,2021-05-14,80,,63.18,56.72
Slovenia,2021-05-21,18,24,11.93,3.15
Slovenia,2021-05-21,25,49,19.73,5.88
Slovenia,2021-05-21,50,59,40.05,9.24
Slovenia,2021-05-21,60,69,54.96,32.35
