location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31020
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,90
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,115720
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,304
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,213121
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4189
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,257804
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5875
Austria,2021-02-05,Oxford/AstraZeneca,2
Austria,2021-02-05,Pfizer/BioNTech,353295
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,9952
Austria,2021-02-12,Oxford/AstraZeneca,10775
Austria,2021-02-12,Pfizer/BioNTech,454710
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14072
Austria,2021-02-19,Oxford/AstraZeneca,43528
Austria,2021-02-19,Pfizer/BioNTech,520334
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22382
Austria,2021-02-26,Oxford/AstraZeneca,101281
Austria,2021-02-26,Pfizer/BioNTech,581401
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31671
Austria,2021-03-05,Oxford/AstraZeneca,156081
Austria,2021-03-05,Pfizer/BioNTech,685697
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,47002
Austria,2021-03-12,Oxford/AstraZeneca,234642
Austria,2021-03-12,Pfizer/BioNTech,848275
Austria,2021-03-19,Johnson&Johnson,14
Austria,2021-03-19,Moderna,78741
Austria,2021-03-19,Oxford/AstraZeneca,307821
Austria,2021-03-19,Pfizer/BioNTech,980601
Austria,2021-03-26,Johnson&Johnson,26
Austria,2021-03-26,Moderna,104096
Austria,2021-03-26,Oxford/AstraZeneca,383050
Austria,2021-03-26,Pfizer/BioNTech,1126463
Austria,2021-04-02,Johnson&Johnson,42
Austria,2021-04-02,Moderna,140370
Austria,2021-04-02,Oxford/AstraZeneca,421573
Austria,2021-04-02,Pfizer/BioNTech,1274184
Austria,2021-04-09,Johnson&Johnson,79
Austria,2021-04-09,Moderna,179824
Austria,2021-04-09,Oxford/AstraZeneca,511858
Austria,2021-04-09,Pfizer/BioNTech,1494847
Austria,2021-04-16,Johnson&Johnson,84
Austria,2021-04-16,Moderna,222234
Austria,2021-04-16,Oxford/AstraZeneca,607671
Austria,2021-04-16,Pfizer/BioNTech,1727972
Austria,2021-04-23,Johnson&Johnson,89
Austria,2021-04-23,Moderna,259493
Austria,2021-04-23,Oxford/AstraZeneca,656557
Austria,2021-04-23,Pfizer/BioNTech,1990890
Austria,2021-04-30,Johnson&Johnson,346
Austria,2021-04-30,Moderna,298361
Austria,2021-04-30,Oxford/AstraZeneca,698960
Austria,2021-04-30,Pfizer/BioNTech,2263729
Austria,2021-05-07,Johnson&Johnson,6461
Austria,2021-05-07,Moderna,347501
Austria,2021-05-07,Oxford/AstraZeneca,761875
Austria,2021-05-07,Pfizer/BioNTech,2593380
Austria,2021-05-14,Johnson&Johnson,13432
Austria,2021-05-14,Moderna,397245
Austria,2021-05-14,Oxford/AstraZeneca,825948
Austria,2021-05-14,Pfizer/BioNTech,2892081
Austria,2021-05-21,Johnson&Johnson,25667
Austria,2021-05-21,Moderna,465047
Austria,2021-05-21,Oxford/AstraZeneca,903436
Austria,2021-05-21,Pfizer/BioNTech,3268797
Austria,2021-05-28,Johnson&Johnson,37798
Austria,2021-05-28,Moderna,518477
Austria,2021-05-28,Oxford/AstraZeneca,986129
Austria,2021-05-28,Pfizer/BioNTech,3602927
Austria,2021-06-04,Johnson&Johnson,57767
Austria,2021-06-04,Moderna,573649
Austria,2021-06-04,Oxford/AstraZeneca,1054569
Austria,2021-06-04,Pfizer/BioNTech,4026980
Austria,2021-06-11,Johnson&Johnson,79304
Austria,2021-06-11,Moderna,636375
Austria,2021-06-11,Oxford/AstraZeneca,1149651
Austria,2021-06-11,Pfizer/BioNTech,4464035
Austria,2021-06-18,Johnson&Johnson,94172
Austria,2021-06-18,Moderna,685815
Austria,2021-06-18,Oxford/AstraZeneca,1201911
Austria,2021-06-18,Pfizer/BioNTech,4917065
Austria,2021-06-25,Johnson&Johnson,102665
Austria,2021-06-25,Moderna,741330
Austria,2021-06-25,Oxford/AstraZeneca,1275662
Austria,2021-06-25,Pfizer/BioNTech,5360031
Austria,2021-07-02,Johnson&Johnson,127930
Austria,2021-07-02,Moderna,801130
Austria,2021-07-02,Oxford/AstraZeneca,1383239
Austria,2021-07-02,Pfizer/BioNTech,5749165
Austria,2021-07-09,Johnson&Johnson,151803
Austria,2021-07-09,Moderna,851207
Austria,2021-07-09,Oxford/AstraZeneca,1450807
Austria,2021-07-09,Pfizer/BioNTech,6074180
Austria,2021-07-16,Johnson&Johnson,170910
Austria,2021-07-16,Moderna,895377
Austria,2021-07-16,Oxford/AstraZeneca,1502211
Austria,2021-07-16,Pfizer/BioNTech,6343836
Austria,2021-07-23,Johnson&Johnson,187135
Austria,2021-07-23,Moderna,941503
Austria,2021-07-23,Oxford/AstraZeneca,1531812
Austria,2021-07-23,Pfizer/BioNTech,6589140
Austria,2021-07-30,Johnson&Johnson,198852
Austria,2021-07-30,Moderna,959997
Austria,2021-07-30,Oxford/AstraZeneca,1558114
Austria,2021-07-30,Pfizer/BioNTech,6795733
Austria,2021-08-06,Johnson&Johnson,212690
Austria,2021-08-06,Moderna,977203
Austria,2021-08-06,Oxford/AstraZeneca,1572657
Austria,2021-08-06,Pfizer/BioNTech,6964055
