location,date,vaccine,total_vaccinations
Belgium,2021-01-08,Pfizer/BioNTech,27903
Belgium,2021-01-15,Moderna,25
Belgium,2021-01-15,Pfizer/BioNTech,126532
Belgium,2021-01-22,Moderna,4475
Belgium,2021-01-22,Pfizer/BioNTech,244087
Belgium,2021-01-29,Moderna,6160
Belgium,2021-01-29,Pfizer/BioNTech,333554
Belgium,2021-02-05,Moderna,15859
Belgium,2021-02-05,Oxford/AstraZeneca,0
Belgium,2021-02-05,Pfizer/BioNTech,462250
Belgium,2021-02-12,Moderna,25386
Belgium,2021-02-12,Oxford/AstraZeneca,339
Belgium,2021-02-12,Pfizer/BioNTech,597424
Belgium,2021-02-19,Moderna,30162
Belgium,2021-02-19,Oxford/AstraZeneca,10667
Belgium,2021-02-19,Pfizer/BioNTech,697824
Belgium,2021-02-26,Moderna,32600
Belgium,2021-02-26,Oxford/AstraZeneca,45105
Belgium,2021-02-26,Pfizer/BioNTech,786124
Belgium,2021-03-05,Moderna,51345
Belgium,2021-03-05,Oxford/AstraZeneca,109703
Belgium,2021-03-05,Pfizer/BioNTech,874776
Belgium,2021-03-12,Moderna,67187
Belgium,2021-03-12,Oxford/AstraZeneca,190626
Belgium,2021-03-12,Pfizer/BioNTech,970877
Belgium,2021-03-19,Moderna,89603
Belgium,2021-03-19,Oxford/AstraZeneca,350221
Belgium,2021-03-19,Pfizer/BioNTech,1080943
Belgium,2021-03-26,Moderna,99857
Belgium,2021-03-26,Oxford/AstraZeneca,460678
Belgium,2021-03-26,Pfizer/BioNTech,1277086
Belgium,2021-04-02,Moderna,127575
Belgium,2021-04-02,Oxford/AstraZeneca,520523
Belgium,2021-04-02,Pfizer/BioNTech,1535330
Belgium,2021-04-09,Moderna,174670
Belgium,2021-04-09,Oxford/AstraZeneca,599975
Belgium,2021-04-09,Pfizer/BioNTech,1853148
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-16,Moderna,209135
Belgium,2021-04-16,Oxford/AstraZeneca,780718
Belgium,2021-04-16,Pfizer/BioNTech,2130117
Belgium,2021-04-23,Moderna,260363
Belgium,2021-04-23,Oxford/AstraZeneca,837531
Belgium,2021-04-23,Pfizer/BioNTech,2446753
Belgium,2021-04-30,Johnson&Johnson,2955
Belgium,2021-04-30,Moderna,287320
Belgium,2021-04-30,Oxford/AstraZeneca,902870
Belgium,2021-04-30,Pfizer/BioNTech,2802180
Belgium,2021-05-07,Johnson&Johnson,23768
Belgium,2021-05-07,Moderna,345016
Belgium,2021-05-07,Oxford/AstraZeneca,1005430
Belgium,2021-05-07,Pfizer/BioNTech,3353747
Belgium,2021-05-14,Johnson&Johnson,29428
Belgium,2021-05-14,Moderna,399387
Belgium,2021-05-14,Oxford/AstraZeneca,1098272
Belgium,2021-05-14,Pfizer/BioNTech,3804819
Belgium,2021-05-21,Johnson&Johnson,49756
Belgium,2021-05-21,Moderna,501063
Belgium,2021-05-21,Oxford/AstraZeneca,1364943
Belgium,2021-05-21,Pfizer/BioNTech,4173366
Belgium,2021-05-28,Johnson&Johnson,73410
Belgium,2021-05-28,Moderna,575338
Belgium,2021-05-28,Oxford/AstraZeneca,1464638
Belgium,2021-05-28,Pfizer/BioNTech,4614812
Belgium,2021-06-04,Johnson&Johnson,97143
Belgium,2021-06-04,Moderna,651494
Belgium,2021-06-04,Oxford/AstraZeneca,1567798
Belgium,2021-06-04,Pfizer/BioNTech,5312914
Belgium,2021-06-11,Johnson&Johnson,143126
Belgium,2021-06-11,Moderna,737718
Belgium,2021-06-11,Oxford/AstraZeneca,1754592
Belgium,2021-06-11,Pfizer/BioNTech,6065716
Belgium,2021-06-18,Johnson&Johnson,212415
Belgium,2021-06-18,Moderna,843917
Belgium,2021-06-18,Oxford/AstraZeneca,1889326
Belgium,2021-06-18,Pfizer/BioNTech,6777819
Belgium,2021-06-25,Johnson&Johnson,243259
Belgium,2021-06-25,Moderna,956383
Belgium,2021-06-25,Oxford/AstraZeneca,1958277
Belgium,2021-06-25,Pfizer/BioNTech,7436879
Belgium,2021-07-02,Johnson&Johnson,266618
Belgium,2021-07-02,Moderna,1039818
Belgium,2021-07-02,Oxford/AstraZeneca,2057971
Belgium,2021-07-02,Pfizer/BioNTech,7904507
Belgium,2021-07-09,Johnson&Johnson,281559
Belgium,2021-07-09,Moderna,1101258
Belgium,2021-07-09,Oxford/AstraZeneca,2284868
Belgium,2021-07-09,Pfizer/BioNTech,8437392
Belgium,2021-07-16,Johnson&Johnson,299335
Belgium,2021-07-16,Moderna,1155845
Belgium,2021-07-16,Oxford/AstraZeneca,2439131
Belgium,2021-07-16,Pfizer/BioNTech,8943322
Belgium,2021-07-23,Johnson&Johnson,309712
Belgium,2021-07-23,Moderna,1209269
Belgium,2021-07-23,Oxford/AstraZeneca,2545252
Belgium,2021-07-23,Pfizer/BioNTech,9494364
Belgium,2021-07-30,Johnson&Johnson,318542
Belgium,2021-07-30,Moderna,1240072
Belgium,2021-07-30,Oxford/AstraZeneca,2636486
Belgium,2021-07-30,Pfizer/BioNTech,10001907
Belgium,2021-08-06,Johnson&Johnson,326520
Belgium,2021-08-06,Moderna,1263395
Belgium,2021-08-06,Oxford/AstraZeneca,2696312
Belgium,2021-08-06,Pfizer/BioNTech,10358708
Belgium,2021-08-13,Johnson&Johnson,329817
Belgium,2021-08-13,Moderna,1273296
Belgium,2021-08-13,Oxford/AstraZeneca,2776844
Belgium,2021-08-13,Pfizer/BioNTech,10414884
