location,date,vaccine,total_vaccinations
Croatia,2021-01-01,Pfizer/BioNTech,1960
Croatia,2021-01-08,Johnson&Johnson,1
Croatia,2021-01-08,Moderna,7
Croatia,2021-01-08,Pfizer/BioNTech,30910
Croatia,2021-01-15,Moderna,1497
Croatia,2021-01-15,Oxford/AstraZeneca,2
Croatia,2021-01-15,Pfizer/BioNTech,47993
Croatia,2021-01-22,Moderna,2645
Croatia,2021-01-22,Pfizer/BioNTech,70498
Croatia,2021-01-29,Moderna,2729
Croatia,2021-01-29,Pfizer/BioNTech,86898
Croatia,2021-02-05,Johnson&Johnson,2
Croatia,2021-02-05,Moderna,3206
Croatia,2021-02-05,Oxford/AstraZeneca,7
Croatia,2021-02-05,Pfizer/BioNTech,103848
Croatia,2021-02-12,Moderna,8243
Croatia,2021-02-12,Oxford/AstraZeneca,3180
Croatia,2021-02-12,Pfizer/BioNTech,124500
Croatia,2021-02-19,Johnson&Johnson,3
Croatia,2021-02-19,Moderna,13322
Croatia,2021-02-19,Oxford/AstraZeneca,18944
Croatia,2021-02-19,Pfizer/BioNTech,144358
Croatia,2021-02-26,Moderna,14470
Croatia,2021-02-26,Oxford/AstraZeneca,59733
Croatia,2021-02-26,Pfizer/BioNTech,164238
Croatia,2021-03-05,Moderna,22921
Croatia,2021-03-05,Oxford/AstraZeneca,84063
Croatia,2021-03-05,Pfizer/BioNTech,188147
Croatia,2021-03-12,Johnson&Johnson,6
Croatia,2021-03-12,Moderna,29621
Croatia,2021-03-12,Oxford/AstraZeneca,117175
Croatia,2021-03-12,Pfizer/BioNTech,211486
Croatia,2021-03-19,Johnson&Johnson,12
Croatia,2021-03-19,Moderna,44877
Croatia,2021-03-19,Oxford/AstraZeneca,137717
Croatia,2021-03-19,Pfizer/BioNTech,242438
Croatia,2021-03-26,Johnson&Johnson,15
Croatia,2021-03-26,Moderna,52732
Croatia,2021-03-26,Oxford/AstraZeneca,158130
Croatia,2021-03-26,Pfizer/BioNTech,275851
Croatia,2021-04-02,Johnson&Johnson,17
Croatia,2021-04-02,Moderna,71936
Croatia,2021-04-02,Oxford/AstraZeneca,173797
Croatia,2021-04-02,Pfizer/BioNTech,308069
Croatia,2021-04-09,Johnson&Johnson,42
Croatia,2021-04-09,Moderna,84102
Croatia,2021-04-09,Oxford/AstraZeneca,202455
Croatia,2021-04-09,Pfizer/BioNTech,335764
Croatia,2021-04-16,Johnson&Johnson,46
Croatia,2021-04-16,Moderna,104299
Croatia,2021-04-16,Oxford/AstraZeneca,233643
Croatia,2021-04-16,Pfizer/BioNTech,395588
Croatia,2021-04-23,Johnson&Johnson,46
Croatia,2021-04-23,Moderna,115184
Croatia,2021-04-23,Oxford/AstraZeneca,248319
Croatia,2021-04-23,Pfizer/BioNTech,472981
Croatia,2021-04-30,Johnson&Johnson,789
Croatia,2021-04-30,Moderna,129968
Croatia,2021-04-30,Oxford/AstraZeneca,268197
Croatia,2021-04-30,Pfizer/BioNTech,559081
Croatia,2021-05-07,Johnson&Johnson,3584
Croatia,2021-05-07,Moderna,147184
Croatia,2021-05-07,Oxford/AstraZeneca,308700
Croatia,2021-05-07,Pfizer/BioNTech,732902
Croatia,2021-05-14,Johnson&Johnson,6129
Croatia,2021-05-14,Moderna,172324
Croatia,2021-05-14,Oxford/AstraZeneca,347879
