date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,1265,Czechia
2020-12-28,Pfizer/BioNTech,3564,Czechia
2020-12-29,Pfizer/BioNTech,7020,Czechia
2020-12-30,Pfizer/BioNTech,10512,Czechia
2020-12-31,Pfizer/BioNTech,11817,Czechia
2021-01-01,Moderna,1,Czechia
2021-01-01,Pfizer/BioNTech,12079,Czechia
2021-01-02,Pfizer/BioNTech,13351,Czechia
2021-01-03,Pfizer/BioNTech,14269,Czechia
2021-01-04,Moderna,4,Czechia
2021-01-04,Pfizer/BioNTech,17859,Czechia
2021-01-05,Pfizer/BioNTech,22359,Czechia
2021-01-05,Moderna,5,Czechia
2021-01-06,Pfizer/BioNTech,28194,Czechia
2021-01-07,Pfizer/BioNTech,36152,Czechia
2021-01-08,Pfizer/BioNTech,46121,Czechia
2021-01-09,Pfizer/BioNTech,48140,Czechia
2021-01-10,Pfizer/BioNTech,49898,Czechia
2021-01-11,Pfizer/BioNTech,59712,Czechia
2021-01-12,Pfizer/BioNTech,73109,Czechia
2021-01-13,Pfizer/BioNTech,86602,Czechia
2021-01-14,Moderna,1238,Czechia
2021-01-14,Pfizer/BioNTech,100558,Czechia
2021-01-15,Pfizer/BioNTech,113755,Czechia
2021-01-15,Moderna,1998,Czechia
2021-01-16,Moderna,2324,Czechia
2021-01-16,Pfizer/BioNTech,116807,Czechia
2021-01-17,Moderna,2413,Czechia
2021-01-17,Pfizer/BioNTech,119957,Czechia
2021-01-18,Moderna,2590,Czechia
2021-01-18,Pfizer/BioNTech,134065,Czechia
2021-01-19,Moderna,3366,Czechia
2021-01-19,Pfizer/BioNTech,148550,Czechia
2021-01-20,Moderna,4948,Czechia
2021-01-20,Pfizer/BioNTech,163238,Czechia
2021-01-21,Pfizer/BioNTech,179604,Czechia
2021-01-21,Moderna,5907,Czechia
2021-01-22,Moderna,6103,Czechia
2021-01-22,Pfizer/BioNTech,195261,Czechia
2021-01-23,Moderna,6144,Czechia
2021-01-23,Pfizer/BioNTech,199384,Czechia
2021-01-24,Moderna,6268,Czechia
2021-01-24,Pfizer/BioNTech,202371,Czechia
2021-01-25,Moderna,6468,Czechia
2021-01-25,Pfizer/BioNTech,214752,Czechia
2021-01-26,Pfizer/BioNTech,228955,Czechia
2021-01-26,Moderna,6742,Czechia
2021-01-27,Pfizer/BioNTech,242163,Czechia
2021-01-27,Moderna,7045,Czechia
2021-01-28,Moderna,7166,Czechia
2021-01-28,Pfizer/BioNTech,255200,Czechia
2021-01-29,Moderna,7318,Czechia
2021-01-29,Pfizer/BioNTech,269099,Czechia
2021-01-30,Moderna,7321,Czechia
2021-01-30,Pfizer/BioNTech,270908,Czechia
2021-01-31,Moderna,7322,Czechia
2021-01-31,Pfizer/BioNTech,272787,Czechia
2021-02-01,Moderna,7580,Czechia
2021-02-01,Pfizer/BioNTech,284390,Czechia
2021-02-02,Pfizer/BioNTech,298389,Czechia
2021-02-02,Moderna,7908,Czechia
2021-02-03,Moderna,8641,Czechia
2021-02-03,Pfizer/BioNTech,313024,Czechia
2021-02-04,Moderna,9779,Czechia
2021-02-04,Pfizer/BioNTech,329721,Czechia
2021-02-05,Moderna,10970,Czechia
2021-02-05,Pfizer/BioNTech,344609,Czechia
2021-02-06,Moderna,11228,Czechia
2021-02-06,Pfizer/BioNTech,347532,Czechia
2021-02-07,Pfizer/BioNTech,350595,Czechia
2021-02-07,Moderna,11491,Czechia
2021-02-08,Pfizer/BioNTech,365100,Czechia
2021-02-08,Moderna,12398,Czechia
2021-02-08,Oxford/AstraZeneca,2,Czechia
2021-02-09,Moderna,14055,Czechia
2021-02-09,Oxford/AstraZeneca,3,Czechia
2021-02-09,Pfizer/BioNTech,380419,Czechia
2021-02-10,Moderna,15802,Czechia
2021-02-10,Pfizer/BioNTech,397340,Czechia
2021-02-11,Moderna,19181,Czechia
2021-02-11,Oxford/AstraZeneca,235,Czechia
2021-02-11,Pfizer/BioNTech,416176,Czechia
2021-02-12,Oxford/AstraZeneca,637,Czechia
2021-02-12,Pfizer/BioNTech,434925,Czechia
2021-02-12,Moderna,21422,Czechia
2021-02-13,Moderna,21908,Czechia
2021-02-13,Oxford/AstraZeneca,1076,Czechia
2021-02-13,Pfizer/BioNTech,438561,Czechia
2021-02-14,Moderna,22156,Czechia
2021-02-14,Oxford/AstraZeneca,1279,Czechia
2021-02-14,Pfizer/BioNTech,440475,Czechia
2021-02-15,Oxford/AstraZeneca,2032,Czechia
2021-02-15,Pfizer/BioNTech,454012,Czechia
2021-02-15,Moderna,23574,Czechia
2021-02-16,Pfizer/BioNTech,468096,Czechia
2021-02-16,Moderna,26051,Czechia
2021-02-16,Oxford/AstraZeneca,3205,Czechia
2021-02-17,Moderna,28788,Czechia
2021-02-17,Oxford/AstraZeneca,5251,Czechia
2021-02-17,Pfizer/BioNTech,481251,Czechia
2021-02-18,Moderna,31141,Czechia
2021-02-18,Oxford/AstraZeneca,7246,Czechia
2021-02-18,Pfizer/BioNTech,497202,Czechia
2021-02-19,Moderna,32537,Czechia
2021-02-19,Oxford/AstraZeneca,8985,Czechia
2021-02-19,Pfizer/BioNTech,513197,Czechia
2021-02-20,Pfizer/BioNTech,515660,Czechia
2021-02-20,Oxford/AstraZeneca,9655,Czechia
2021-02-20,Moderna,32541,Czechia
2021-02-21,Moderna,32643,Czechia
2021-02-21,Oxford/AstraZeneca,9863,Czechia
2021-02-21,Pfizer/BioNTech,517467,Czechia
2021-02-22,Moderna,33644,Czechia
2021-02-22,Oxford/AstraZeneca,11474,Czechia
2021-02-22,Pfizer/BioNTech,530950,Czechia
2021-02-23,Moderna,34426,Czechia
2021-02-23,Oxford/AstraZeneca,14210,Czechia
2021-02-23,Pfizer/BioNTech,547267,Czechia
2021-02-24,Pfizer/BioNTech,562837,Czechia
2021-02-24,Oxford/AstraZeneca,17146,Czechia
2021-02-24,Moderna,35757,Czechia
2021-02-25,Moderna,36940,Czechia
2021-02-25,Oxford/AstraZeneca,21501,Czechia
2021-02-25,Pfizer/BioNTech,580766,Czechia
2021-02-26,Moderna,37781,Czechia
2021-02-26,Oxford/AstraZeneca,24851,Czechia
2021-02-26,Pfizer/BioNTech,598023,Czechia
2021-02-27,Moderna,37952,Czechia
2021-02-27,Oxford/AstraZeneca,25471,Czechia
2021-02-27,Pfizer/BioNTech,600780,Czechia
2021-02-28,Pfizer/BioNTech,603002,Czechia
2021-02-28,Oxford/AstraZeneca,25941,Czechia
2021-02-28,Moderna,38145,Czechia
2021-03-01,Moderna,39743,Czechia
2021-03-01,Oxford/AstraZeneca,29969,Czechia
2021-03-01,Pfizer/BioNTech,620283,Czechia
2021-03-02,Moderna,41616,Czechia
2021-03-02,Oxford/AstraZeneca,39365,Czechia
2021-03-02,Pfizer/BioNTech,639706,Czechia
2021-03-03,Moderna,45323,Czechia
2021-03-03,Oxford/AstraZeneca,49107,Czechia
2021-03-03,Pfizer/BioNTech,661504,Czechia
2021-03-04,Pfizer/BioNTech,685178,Czechia
2021-03-04,Moderna,50075,Czechia
2021-03-04,Oxford/AstraZeneca,58482,Czechia
2021-03-05,Johnson&Johnson,1,Czechia
2021-03-05,Moderna,53689,Czechia
2021-03-05,Oxford/AstraZeneca,66876,Czechia
2021-03-05,Pfizer/BioNTech,707270,Czechia
2021-03-06,Johnson&Johnson,3,Czechia
2021-03-06,Moderna,55088,Czechia
2021-03-06,Oxford/AstraZeneca,71360,Czechia
2021-03-06,Pfizer/BioNTech,714322,Czechia
2021-03-07,Pfizer/BioNTech,721095,Czechia
2021-03-07,Oxford/AstraZeneca,75497,Czechia
2021-03-07,Moderna,56399,Czechia
2021-03-07,Johnson&Johnson,5,Czechia
2021-03-08,Johnson&Johnson,6,Czechia
2021-03-08,Moderna,59481,Czechia
2021-03-08,Oxford/AstraZeneca,83380,Czechia
2021-03-08,Pfizer/BioNTech,744547,Czechia
2021-03-09,Moderna,64803,Czechia
2021-03-09,Oxford/AstraZeneca,94592,Czechia
2021-03-09,Pfizer/BioNTech,770539,Czechia
2021-03-10,Pfizer/BioNTech,802691,Czechia
2021-03-10,Oxford/AstraZeneca,105505,Czechia
2021-03-10,Moderna,69801,Czechia
2021-03-11,Moderna,74089,Czechia
2021-03-11,Oxford/AstraZeneca,117303,Czechia
2021-03-11,Pfizer/BioNTech,839606,Czechia
2021-03-12,Moderna,79519,Czechia
2021-03-12,Oxford/AstraZeneca,129562,Czechia
2021-03-12,Pfizer/BioNTech,868983,Czechia
2021-03-13,Oxford/AstraZeneca,132561,Czechia
2021-03-13,Moderna,80815,Czechia
2021-03-13,Pfizer/BioNTech,883004,Czechia
2021-03-14,Moderna,81950,Czechia
2021-03-14,Oxford/AstraZeneca,133474,Czechia
2021-03-14,Pfizer/BioNTech,894157,Czechia
2021-03-15,Oxford/AstraZeneca,141517,Czechia
2021-03-15,Pfizer/BioNTech,916353,Czechia
2021-03-15,Moderna,88753,Czechia
2021-03-16,Oxford/AstraZeneca,150263,Czechia
2021-03-16,Pfizer/BioNTech,947695,Czechia
2021-03-16,Johnson&Johnson,8,Czechia
2021-03-16,Moderna,97955,Czechia
2021-03-17,Oxford/AstraZeneca,159285,Czechia
2021-03-17,Pfizer/BioNTech,978790,Czechia
2021-03-17,Moderna,105699,Czechia
2021-03-18,Oxford/AstraZeneca,168627,Czechia
2021-03-18,Pfizer/BioNTech,1012514,Czechia
2021-03-18,Johnson&Johnson,11,Czechia
2021-03-18,Moderna,112847,Czechia
2021-03-19,Moderna,118917,Czechia
2021-03-19,Oxford/AstraZeneca,177430,Czechia
2021-03-19,Pfizer/BioNTech,1045542,Czechia
2021-03-20,Moderna,120059,Czechia
2021-03-20,Oxford/AstraZeneca,179858,Czechia
2021-03-20,Pfizer/BioNTech,1059066,Czechia
2021-03-21,Oxford/AstraZeneca,180334,Czechia
2021-03-21,Pfizer/BioNTech,1067190,Czechia
2021-03-21,Johnson&Johnson,12,Czechia
2021-03-21,Moderna,120379,Czechia
2021-03-22,Johnson&Johnson,13,Czechia
2021-03-22,Moderna,124676,Czechia
2021-03-22,Oxford/AstraZeneca,187203,Czechia
2021-03-22,Pfizer/BioNTech,1092850,Czechia
2021-03-23,Johnson&Johnson,14,Czechia
2021-03-23,Moderna,128525,Czechia
2021-03-23,Oxford/AstraZeneca,194837,Czechia
2021-03-23,Pfizer/BioNTech,1121175,Czechia
2021-03-24,Pfizer/BioNTech,1151695,Czechia
