location,date,vaccine,total_vaccinations
Denmark,2021-01-08,Pfizer/BioNTech,113007
Denmark,2021-01-15,Moderna,1127
Denmark,2021-01-15,Pfizer/BioNTech,167441
Denmark,2021-01-22,Moderna,2750
Denmark,2021-01-22,Pfizer/BioNTech,206271
Denmark,2021-01-29,Moderna,2809
Denmark,2021-01-29,Pfizer/BioNTech,272592
Denmark,2021-02-05,Moderna,6240
Denmark,2021-02-05,Pfizer/BioNTech,332568
Denmark,2021-02-12,Moderna,13006
Denmark,2021-02-12,Oxford/AstraZeneca,16341
Denmark,2021-02-12,Pfizer/BioNTech,377845
Denmark,2021-02-19,Moderna,15085
Denmark,2021-02-19,Oxford/AstraZeneca,40644
Denmark,2021-02-19,Pfizer/BioNTech,443755
Denmark,2021-02-26,Moderna,16773
Denmark,2021-02-26,Oxford/AstraZeneca,85485
Denmark,2021-02-26,Pfizer/BioNTech,517488
Denmark,2021-03-05,Moderna,26363
Denmark,2021-03-05,Oxford/AstraZeneca,133406
Denmark,2021-03-05,Pfizer/BioNTech,590442
Denmark,2021-03-12,Moderna,37314
Denmark,2021-03-12,Oxford/AstraZeneca,151680
Denmark,2021-03-12,Pfizer/BioNTech,663845
Denmark,2021-03-19,Moderna,49858
Denmark,2021-03-19,Oxford/AstraZeneca,151795
Denmark,2021-03-19,Pfizer/BioNTech,760373
Denmark,2021-03-26,Moderna,58298
Denmark,2021-03-26,Oxford/AstraZeneca,151927
Denmark,2021-03-26,Pfizer/BioNTech,858990
Denmark,2021-04-02,Moderna,78493
Denmark,2021-04-02,Oxford/AstraZeneca,152006
Denmark,2021-04-02,Pfizer/BioNTech,965693
Denmark,2021-04-09,Moderna,97253
Denmark,2021-04-09,Oxford/AstraZeneca,152103
Denmark,2021-04-09,Pfizer/BioNTech,1097206
Denmark,2021-04-16,Moderna,117988
Denmark,2021-04-16,Oxford/AstraZeneca,152195
Denmark,2021-04-16,Pfizer/BioNTech,1322158
Denmark,2021-04-23,Moderna,130006
Denmark,2021-04-23,Oxford/AstraZeneca,152313
Denmark,2021-04-23,Pfizer/BioNTech,1535019
Denmark,2021-04-30,Moderna,155668
Denmark,2021-04-30,Oxford/AstraZeneca,152485
Denmark,2021-04-30,Pfizer/BioNTech,1747338
Denmark,2021-05-07,Moderna,191122
Denmark,2021-05-07,Oxford/AstraZeneca,152664
Denmark,2021-05-07,Pfizer/BioNTech,2049191
Denmark,2021-05-14,Moderna,227193
Denmark,2021-05-14,Oxford/AstraZeneca,152850
Denmark,2021-05-14,Pfizer/BioNTech,2346147
Denmark,2021-05-21,Johnson&Johnson,116
Denmark,2021-05-21,Moderna,273094
Denmark,2021-05-21,Oxford/AstraZeneca,153056
Denmark,2021-05-21,Pfizer/BioNTech,2653603
Denmark,2021-05-28,Johnson&Johnson,1089
Denmark,2021-05-28,Moderna,305613
Denmark,2021-05-28,Oxford/AstraZeneca,153271
Denmark,2021-05-28,Pfizer/BioNTech,2947527
Denmark,2021-06-04,Johnson&Johnson,11165
Denmark,2021-06-04,Moderna,339969
Denmark,2021-06-04,Oxford/AstraZeneca,153421
Denmark,2021-06-04,Pfizer/BioNTech,3259548
Denmark,2021-06-11,Johnson&Johnson,30902
Denmark,2021-06-11,Moderna,366299
Denmark,2021-06-11,Oxford/AstraZeneca,153769
Denmark,2021-06-11,Pfizer/BioNTech,3636846
Denmark,2021-06-18,Johnson&Johnson,41068
Denmark,2021-06-18,Moderna,405492
Denmark,2021-06-18,Oxford/AstraZeneca,153993
Denmark,2021-06-18,Pfizer/BioNTech,4005792
Denmark,2021-06-25,Johnson&Johnson,44861
Denmark,2021-06-25,Moderna,445900
Denmark,2021-06-25,Oxford/AstraZeneca,154110
Denmark,2021-06-25,Pfizer/BioNTech,4371830
Denmark,2021-07-02,Johnson&Johnson,46666
Denmark,2021-07-02,Moderna,489893
Denmark,2021-07-02,Oxford/AstraZeneca,154243
Denmark,2021-07-02,Pfizer/BioNTech,4743486
Denmark,2021-07-09,Johnson&Johnson,47257
Denmark,2021-07-09,Moderna,569495
Denmark,2021-07-09,Oxford/AstraZeneca,154296
Denmark,2021-07-09,Pfizer/BioNTech,5159155
Denmark,2021-07-16,Johnson&Johnson,47520
Denmark,2021-07-16,Moderna,681619
Denmark,2021-07-16,Oxford/AstraZeneca,154411
Denmark,2021-07-16,Pfizer/BioNTech,5541916
Denmark,2021-07-23,Johnson&Johnson,47693
Denmark,2021-07-23,Moderna,761949
Denmark,2021-07-23,Oxford/AstraZeneca,154496
Denmark,2021-07-23,Pfizer/BioNTech,5887274
Denmark,2021-07-30,Johnson&Johnson,47792
Denmark,2021-07-30,Moderna,809070
Denmark,2021-07-30,Oxford/AstraZeneca,154550
Denmark,2021-07-30,Pfizer/BioNTech,6146042
Denmark,2021-08-06,Johnson&Johnson,47879
Denmark,2021-08-06,Moderna,872439
Denmark,2021-08-06,Oxford/AstraZeneca,154560
Denmark,2021-08-06,Pfizer/BioNTech,6375040
Denmark,2021-08-13,Johnson&Johnson,47950
Denmark,2021-08-13,Moderna,983359
Denmark,2021-08-13,Oxford/AstraZeneca,154581
Denmark,2021-08-13,Pfizer/BioNTech,6595140
