location,date,vaccine,total_vaccinations
Estonia,2021-01-01,Pfizer/BioNTech,191
Estonia,2021-01-08,Pfizer/BioNTech,10923
Estonia,2021-01-15,Moderna,0
Estonia,2021-01-15,Pfizer/BioNTech,18184
Estonia,2021-01-22,Moderna,417
Estonia,2021-01-22,Pfizer/BioNTech,25625
Estonia,2021-01-29,Moderna,783
Estonia,2021-01-29,Pfizer/BioNTech,37920
Estonia,2021-02-05,Moderna,1308
Estonia,2021-02-05,Pfizer/BioNTech,52380
Estonia,2021-02-12,Moderna,2058
Estonia,2021-02-12,Oxford/AstraZeneca,0
Estonia,2021-02-12,Pfizer/BioNTech,66719
Estonia,2021-02-19,Moderna,2540
Estonia,2021-02-19,Oxford/AstraZeneca,7954
Estonia,2021-02-19,Pfizer/BioNTech,78883
Estonia,2021-02-26,Moderna,3294
Estonia,2021-02-26,Oxford/AstraZeneca,20239
Estonia,2021-02-26,Pfizer/BioNTech,90211
Estonia,2021-03-05,Moderna,5698
Estonia,2021-03-05,Oxford/AstraZeneca,38302
Estonia,2021-03-05,Pfizer/BioNTech,103764
Estonia,2021-03-12,Moderna,9208
Estonia,2021-03-12,Oxford/AstraZeneca,62913
Estonia,2021-03-12,Pfizer/BioNTech,121136
Estonia,2021-03-19,Moderna,11763
Estonia,2021-03-19,Oxford/AstraZeneca,78969
Estonia,2021-03-19,Pfizer/BioNTech,136530
Estonia,2021-03-26,Moderna,13998
Estonia,2021-03-26,Oxford/AstraZeneca,88224
Estonia,2021-03-26,Pfizer/BioNTech,156268
Estonia,2021-04-02,Moderna,17336
Estonia,2021-04-02,Oxford/AstraZeneca,106808
Estonia,2021-04-02,Pfizer/BioNTech,175467
Estonia,2021-04-09,Moderna,22385
Estonia,2021-04-09,Oxford/AstraZeneca,116790
Estonia,2021-04-09,Pfizer/BioNTech,199891
Estonia,2021-04-16,Johnson&Johnson,0
Estonia,2021-04-16,Moderna,26118
Estonia,2021-04-16,Oxford/AstraZeneca,126273
Estonia,2021-04-16,Pfizer/BioNTech,227084
Estonia,2021-04-23,Johnson&Johnson,0
Estonia,2021-04-23,Moderna,30863
Estonia,2021-04-23,Oxford/AstraZeneca,136514
Estonia,2021-04-23,Pfizer/BioNTech,250977
Estonia,2021-04-30,Johnson&Johnson,35
Estonia,2021-04-30,Moderna,35838
Estonia,2021-04-30,Oxford/AstraZeneca,152427
Estonia,2021-04-30,Pfizer/BioNTech,284995
Estonia,2021-05-07,Johnson&Johnson,346
Estonia,2021-05-07,Moderna,40585
Estonia,2021-05-07,Oxford/AstraZeneca,169950
Estonia,2021-05-07,Pfizer/BioNTech,331935
Estonia,2021-05-14,Johnson&Johnson,1077
Estonia,2021-05-14,Moderna,46209
Estonia,2021-05-14,Oxford/AstraZeneca,176738
Estonia,2021-05-14,Pfizer/BioNTech,367074
Estonia,2021-05-21,Johnson&Johnson,5774
Estonia,2021-05-21,Moderna,56923
Estonia,2021-05-21,Oxford/AstraZeneca,179645
Estonia,2021-05-21,Pfizer/BioNTech,412020
Estonia,2021-05-28,Johnson&Johnson,11196
Estonia,2021-05-28,Moderna,65282
Estonia,2021-05-28,Oxford/AstraZeneca,181775
Estonia,2021-05-28,Pfizer/BioNTech,458720
Estonia,2021-06-04,Johnson&Johnson,15042
Estonia,2021-06-04,Moderna,70702
Estonia,2021-06-04,Oxford/AstraZeneca,189225
Estonia,2021-06-04,Pfizer/BioNTech,501402
Estonia,2021-06-11,Johnson&Johnson,16322
Estonia,2021-06-11,Moderna,77795
Estonia,2021-06-11,Oxford/AstraZeneca,207063
Estonia,2021-06-11,Pfizer/BioNTech,543259
Estonia,2021-06-18,Johnson&Johnson,18881
Estonia,2021-06-18,Moderna,86070
Estonia,2021-06-18,Oxford/AstraZeneca,218249
Estonia,2021-06-18,Pfizer/BioNTech,591185
Estonia,2021-06-25,Johnson&Johnson,20360
Estonia,2021-06-25,Moderna,89888
Estonia,2021-06-25,Oxford/AstraZeneca,225369
Estonia,2021-06-25,Pfizer/BioNTech,608926
Estonia,2021-07-02,Johnson&Johnson,23550
Estonia,2021-07-02,Moderna,94427
Estonia,2021-07-02,Oxford/AstraZeneca,232908
Estonia,2021-07-02,Pfizer/BioNTech,641492
Estonia,2021-07-09,Johnson&Johnson,25699
Estonia,2021-07-09,Moderna,97941
Estonia,2021-07-09,Oxford/AstraZeneca,234582
Estonia,2021-07-09,Pfizer/BioNTech,673512
Estonia,2021-07-16,Johnson&Johnson,29528
Estonia,2021-07-16,Moderna,100181
Estonia,2021-07-16,Oxford/AstraZeneca,235087
Estonia,2021-07-16,Pfizer/BioNTech,700870
Estonia,2021-07-23,Johnson&Johnson,33698
Estonia,2021-07-23,Moderna,102301
Estonia,2021-07-23,Oxford/AstraZeneca,235401
Estonia,2021-07-23,Pfizer/BioNTech,732894
Estonia,2021-07-30,Johnson&Johnson,36539
Estonia,2021-07-30,Moderna,105227
Estonia,2021-07-30,Oxford/AstraZeneca,235779
Estonia,2021-07-30,Pfizer/BioNTech,756246
Estonia,2021-08-06,Johnson&Johnson,40194
Estonia,2021-08-06,Moderna,107983
Estonia,2021-08-06,Oxford/AstraZeneca,236069
Estonia,2021-08-06,Pfizer/BioNTech,781216
Estonia,2021-08-13,Johnson&Johnson,43308
Estonia,2021-08-13,Moderna,112019
Estonia,2021-08-13,Oxford/AstraZeneca,236297
Estonia,2021-08-13,Pfizer/BioNTech,805913
