location,date,vaccine,total_vaccinations
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,42
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-01,Pfizer/BioNTech,25
Finland,2021-01-08,Johnson&Johnson,0
Finland,2021-01-08,Moderna,191
Finland,2021-01-08,Oxford/AstraZeneca,140
Finland,2021-01-08,Pfizer/BioNTech,21003
Finland,2021-01-15,Johnson&Johnson,0
Finland,2021-01-15,Moderna,236
Finland,2021-01-15,Oxford/AstraZeneca,203
Finland,2021-01-15,Pfizer/BioNTech,61402
Finland,2021-01-22,Johnson&Johnson,0
Finland,2021-01-22,Moderna,1161
Finland,2021-01-22,Oxford/AstraZeneca,277
Finland,2021-01-22,Pfizer/BioNTech,117954
Finland,2021-01-29,Johnson&Johnson,0
Finland,2021-01-29,Moderna,3792
Finland,2021-01-29,Oxford/AstraZeneca,285
Finland,2021-01-29,Pfizer/BioNTech,171494
Finland,2021-02-05,Johnson&Johnson,0
Finland,2021-02-05,Moderna,4673
Finland,2021-02-05,Oxford/AstraZeneca,290
Finland,2021-02-05,Pfizer/BioNTech,226016
Finland,2021-02-12,Johnson&Johnson,0
Finland,2021-02-12,Moderna,5941
Finland,2021-02-12,Oxford/AstraZeneca,4205
Finland,2021-02-12,Pfizer/BioNTech,276699
Finland,2021-02-19,Johnson&Johnson,0
Finland,2021-02-19,Moderna,10522
Finland,2021-02-19,Oxford/AstraZeneca,24256
Finland,2021-02-19,Pfizer/BioNTech,336490
Finland,2021-02-26,Johnson&Johnson,0
Finland,2021-02-26,Moderna,19063
Finland,2021-02-26,Oxford/AstraZeneca,55869
Finland,2021-02-26,Pfizer/BioNTech,398966
Finland,2021-03-05,Johnson&Johnson,0
Finland,2021-03-05,Moderna,26966
Finland,2021-03-05,Oxford/AstraZeneca,95967
Finland,2021-03-05,Pfizer/BioNTech,464761
Finland,2021-03-12,Johnson&Johnson,0
Finland,2021-03-12,Moderna,38598
Finland,2021-03-12,Oxford/AstraZeneca,140304
Finland,2021-03-12,Pfizer/BioNTech,532824
Finland,2021-03-19,Johnson&Johnson,0
Finland,2021-03-19,Moderna,42398
Finland,2021-03-19,Oxford/AstraZeneca,184799
Finland,2021-03-19,Pfizer/BioNTech,611947
Finland,2021-03-26,Johnson&Johnson,0
Finland,2021-03-26,Moderna,52390
Finland,2021-03-26,Oxford/AstraZeneca,184867
Finland,2021-03-26,Pfizer/BioNTech,712275
Finland,2021-04-02,Johnson&Johnson,0
Finland,2021-04-02,Moderna,69169
Finland,2021-04-02,Oxford/AstraZeneca,202157
Finland,2021-04-02,Pfizer/BioNTech,811662
Finland,2021-04-09,Johnson&Johnson,0
Finland,2021-04-09,Moderna,81148
Finland,2021-04-09,Oxford/AstraZeneca,243022
Finland,2021-04-09,Pfizer/BioNTech,932366
Finland,2021-04-16,Johnson&Johnson,0
Finland,2021-04-16,Moderna,103170
Finland,2021-04-16,Oxford/AstraZeneca,298713
Finland,2021-04-16,Pfizer/BioNTech,1089019
Finland,2021-04-23,Johnson&Johnson,0
Finland,2021-04-23,Moderna,117814
Finland,2021-04-23,Oxford/AstraZeneca,335875
Finland,2021-04-23,Pfizer/BioNTech,1258318
Finland,2021-04-30,Johnson&Johnson,0
Finland,2021-04-30,Moderna,137306
Finland,2021-04-30,Oxford/AstraZeneca,353409
Finland,2021-04-30,Pfizer/BioNTech,1434921
Finland,2021-05-07,Johnson&Johnson,0
Finland,2021-05-07,Moderna,161689
Finland,2021-05-07,Oxford/AstraZeneca,359287
Finland,2021-05-07,Pfizer/BioNTech,1648306
Finland,2021-05-14,Johnson&Johnson,0
Finland,2021-05-14,Moderna,187742
Finland,2021-05-14,Oxford/AstraZeneca,367050
Finland,2021-05-14,Pfizer/BioNTech,1850339
Finland,2021-05-21,Johnson&Johnson,0
Finland,2021-05-21,Moderna,221534
Finland,2021-05-21,Oxford/AstraZeneca,380118
Finland,2021-05-21,Pfizer/BioNTech,2079374
Finland,2021-05-28,Johnson&Johnson,0
Finland,2021-05-28,Moderna,258033
Finland,2021-05-28,Oxford/AstraZeneca,391828
Finland,2021-05-28,Pfizer/BioNTech,2304268
Finland,2021-06-04,Johnson&Johnson,0
Finland,2021-06-04,Moderna,296200
Finland,2021-06-04,Oxford/AstraZeneca,404469
Finland,2021-06-04,Pfizer/BioNTech,2551951
Finland,2021-06-11,Johnson&Johnson,0
Finland,2021-06-11,Moderna,325162
Finland,2021-06-11,Oxford/AstraZeneca,421559
Finland,2021-06-11,Pfizer/BioNTech,2847972
Finland,2021-06-18,Johnson&Johnson,0
Finland,2021-06-18,Moderna,358018
Finland,2021-06-18,Oxford/AstraZeneca,425584
Finland,2021-06-18,Pfizer/BioNTech,3150444
Finland,2021-06-25,Johnson&Johnson,0
Finland,2021-06-25,Moderna,383244
Finland,2021-06-25,Oxford/AstraZeneca,438437
Finland,2021-06-25,Pfizer/BioNTech,3367800
Finland,2021-07-02,Johnson&Johnson,0
Finland,2021-07-02,Moderna,409197
Finland,2021-07-02,Oxford/AstraZeneca,470831
Finland,2021-07-02,Pfizer/BioNTech,3621544
Finland,2021-07-09,Johnson&Johnson,0
Finland,2021-07-09,Moderna,441056
Finland,2021-07-09,Oxford/AstraZeneca,507398
Finland,2021-07-09,Pfizer/BioNTech,3850912
Finland,2021-07-16,Johnson&Johnson,0
Finland,2021-07-16,Moderna,466984
Finland,2021-07-16,Oxford/AstraZeneca,535490
Finland,2021-07-16,Pfizer/BioNTech,4054394
Finland,2021-07-23,Johnson&Johnson,0
Finland,2021-07-23,Moderna,498738
Finland,2021-07-23,Oxford/AstraZeneca,548743
Finland,2021-07-23,Pfizer/BioNTech,4271795
Finland,2021-07-30,Johnson&Johnson,0
Finland,2021-07-30,Moderna,535350
Finland,2021-07-30,Oxford/AstraZeneca,551558
Finland,2021-07-30,Pfizer/BioNTech,4497159
Finland,2021-08-06,Johnson&Johnson,0
Finland,2021-08-06,Moderna,579308
Finland,2021-08-06,Oxford/AstraZeneca,552276
Finland,2021-08-06,Pfizer/BioNTech,4706861
Finland,2021-08-13,Johnson&Johnson,0
Finland,2021-08-13,Moderna,595713
Finland,2021-08-13,Oxford/AstraZeneca,552395
Finland,2021-08-13,Pfizer/BioNTech,4797314
