date,total_vaccinations,vaccine,location
2020-12-27,207,Pfizer/BioNTech,France
2020-12-28,431,Pfizer/BioNTech,France
2020-12-29,602,Pfizer/BioNTech,France
2020-12-30,793,Pfizer/BioNTech,France
2020-12-31,952,Pfizer/BioNTech,France
2021-01-01,1125,Pfizer/BioNTech,France
2021-01-02,1274,Pfizer/BioNTech,France
2021-01-03,1454,Pfizer/BioNTech,France
2021-01-04,3069,Pfizer/BioNTech,France
2021-01-05,8648,Pfizer/BioNTech,France
2021-01-06,20115,Pfizer/BioNTech,France
2021-01-07,49013,Pfizer/BioNTech,France
2021-01-08,85581,Pfizer/BioNTech,France
2021-01-09,96606,Pfizer/BioNTech,France
2021-01-10,102321,Pfizer/BioNTech,France
2021-01-11,141748,Pfizer/BioNTech,France
2021-01-12,203126,Pfizer/BioNTech,France
2021-01-13,267502,Pfizer/BioNTech,France
2021-01-14,348029,Pfizer/BioNTech,France
2021-01-15,415979,Pfizer/BioNTech,France
2021-01-16,435746,Pfizer/BioNTech,France
2021-01-17,446379,Pfizer/BioNTech,France
2021-01-18,528614,Pfizer/BioNTech,France
2021-01-19,653687,Pfizer/BioNTech,France
2021-01-20,785175,Pfizer/BioNTech,France
2021-01-21,936833,Pfizer/BioNTech,France
2021-01-22,1051871,Pfizer/BioNTech,France
2021-01-23,1088227,Pfizer/BioNTech,France
2021-01-24,1097614,Pfizer/BioNTech,France
2021-01-25,1172537,Pfizer/BioNTech,France
2021-01-26,1271410,Pfizer/BioNTech,France
2021-01-27,1379920,Pfizer/BioNTech,France
2021-01-28,1514060,Pfizer/BioNTech,France
2021-01-29,1619612,Pfizer/BioNTech,France
2021-01-30,1651591,Pfizer/BioNTech,France
2021-01-31,1658250,Pfizer/BioNTech,France
2021-02-01,1728057,Pfizer/BioNTech,France
2021-02-02,1829582,Pfizer/BioNTech,France
2021-02-03,1932958,Pfizer/BioNTech,France
2021-02-04,2059375,Pfizer/BioNTech,France
2021-02-05,2167575,Pfizer/BioNTech,France
2021-02-06,2197135,Pfizer/BioNTech,France
2021-02-07,2205682,Pfizer/BioNTech,France
2021-02-08,2287727,Pfizer/BioNTech,France
2021-02-09,2410446,Pfizer/BioNTech,France
2021-02-10,2538384,Pfizer/BioNTech,France
2021-02-11,2700165,Pfizer/BioNTech,France
2021-02-12,2829406,Pfizer/BioNTech,France
2021-02-13,2863917,Pfizer/BioNTech,France
2021-02-14,2874611,Pfizer/BioNTech,France
2021-02-15,2971807,Pfizer/BioNTech,France
2021-02-16,3100973,Pfizer/BioNTech,France
2021-02-17,3234175,Pfizer/BioNTech,France
2021-02-18,3396376,Pfizer/BioNTech,France
2021-02-19,3527675,Pfizer/BioNTech,France
2021-02-20,3567761,Pfizer/BioNTech,France
2021-02-21,3576265,Pfizer/BioNTech,France
2021-02-22,3669952,Pfizer/BioNTech,France
2021-02-23,3787275,Pfizer/BioNTech,France
2021-02-24,3904898,Pfizer/BioNTech,France
2021-02-25,4042385,Pfizer/BioNTech,France
2021-02-26,4156841,Pfizer/BioNTech,France
2021-02-27,4193155,Pfizer/BioNTech,France
2021-02-28,4200862,Pfizer/BioNTech,France
2021-03-01,4289042,Pfizer/BioNTech,France
2021-03-02,4405733,Pfizer/BioNTech,France
2021-03-03,4526525,Pfizer/BioNTech,France
2021-03-04,4663451,Pfizer/BioNTech,France
2021-03-05,4796498,Pfizer/BioNTech,France
2021-03-06,4894436,Pfizer/BioNTech,France
2021-03-07,4963108,Pfizer/BioNTech,France
2021-03-08,5064916,Pfizer/BioNTech,France
2021-03-09,5198331,Pfizer/BioNTech,France
2021-03-10,5336131,Pfizer/BioNTech,France
2021-03-11,5493912,Pfizer/BioNTech,France
2021-03-12,5642259,Pfizer/BioNTech,France
2021-03-13,5743289,Pfizer/BioNTech,France
2021-03-14,5790299,Pfizer/BioNTech,France
2021-03-15,5913916,Pfizer/BioNTech,France
2021-03-16,6071482,Pfizer/BioNTech,France
2021-03-17,6234722,Pfizer/BioNTech,France
2021-03-18,6416295,Pfizer/BioNTech,France
2021-03-19,6584442,Pfizer/BioNTech,France
2021-03-20,6670059,Pfizer/BioNTech,France
2021-03-21,6698591,Pfizer/BioNTech,France
2021-03-22,6843517,Pfizer/BioNTech,France
2021-03-23,7023625,Pfizer/BioNTech,France
2021-03-24,7203257,Pfizer/BioNTech,France
2021-03-25,7406800,Pfizer/BioNTech,France
2021-03-26,7609732,Pfizer/BioNTech,France
2021-03-27,7735303,Pfizer/BioNTech,France
2021-03-28,7780875,Pfizer/BioNTech,France
2021-03-29,7959906,Pfizer/BioNTech,France
2021-03-30,8190084,Pfizer/BioNTech,France
2021-03-31,8426814,Pfizer/BioNTech,France
2021-04-01,8698621,Pfizer/BioNTech,France
2021-04-02,8946246,Pfizer/BioNTech,France
2021-04-03,9091915,Pfizer/BioNTech,France
2021-04-04,9142218,Pfizer/BioNTech,France
2021-04-05,9195252,Pfizer/BioNTech,France
2021-04-06,9454959,Pfizer/BioNTech,France
2021-04-07,9758490,Pfizer/BioNTech,France
2021-04-08,10090954,Pfizer/BioNTech,France
2021-04-09,10411253,Pfizer/BioNTech,France
2021-04-10,10601063,Pfizer/BioNTech,France
2021-04-11,10671657,Pfizer/BioNTech,France
2021-04-12,10942644,Pfizer/BioNTech,France
2021-04-13,11273083,Pfizer/BioNTech,France
2021-04-14,11602429,Pfizer/BioNTech,France
2021-04-15,11948517,Pfizer/BioNTech,France
2021-04-16,12278358,Pfizer/BioNTech,France
2021-04-17,12467202,Pfizer/BioNTech,France
2021-04-18,12523651,Pfizer/BioNTech,France
2021-04-19,12808073,Pfizer/BioNTech,France
2021-04-20,13144644,Pfizer/BioNTech,France
2021-04-21,13483764,Pfizer/BioNTech,France
2021-04-22,13853795,Pfizer/BioNTech,France
2021-04-23,14208327,Pfizer/BioNTech,France
2021-04-24,14429248,Pfizer/BioNTech,France
2021-04-25,14512472,Pfizer/BioNTech,France
2021-04-26,14830697,Pfizer/BioNTech,France
2021-04-27,15212542,Pfizer/BioNTech,France
2021-04-28,15604457,Pfizer/BioNTech,France
2021-04-29,16033018,Pfizer/BioNTech,France
2021-04-30,16451400,Pfizer/BioNTech,France
2021-05-01,16630953,Pfizer/BioNTech,France
2021-05-02,16739844,Pfizer/BioNTech,France
2021-05-03,17134451,Pfizer/BioNTech,France
2021-05-04,17584665,Pfizer/BioNTech,France
2021-05-05,18049570,Pfizer/BioNTech,France
2021-05-06,18539463,Pfizer/BioNTech,France
