date,location,vaccine,total_vaccinations
2020-12-27,Germany,Pfizer/BioNTech,24091
2020-12-28,Germany,Pfizer/BioNTech,42088
2020-12-29,Germany,Pfizer/BioNTech,92104
2020-12-30,Germany,Pfizer/BioNTech,155598
2020-12-31,Germany,Pfizer/BioNTech,205288
2021-01-01,Germany,Pfizer/BioNTech,230634
2021-01-02,Germany,Pfizer/BioNTech,278583
2021-01-03,Germany,Pfizer/BioNTech,300994
2021-01-04,Germany,Pfizer/BioNTech,346819
2021-01-05,Germany,Pfizer/BioNTech,398786
2021-01-06,Germany,Pfizer/BioNTech,461234
2021-01-07,Germany,Pfizer/BioNTech,515191
2021-01-08,Germany,Pfizer/BioNTech,576793
2021-01-09,Germany,Pfizer/BioNTech,636758
2021-01-10,Germany,Pfizer/BioNTech,672003
2021-01-11,Germany,Pfizer/BioNTech,739485
2021-01-12,Germany,Pfizer/BioNTech,817913
2021-01-13,Germany,Pfizer/BioNTech,927805
2021-01-14,Germany,Pfizer/BioNTech,1006085
2021-01-15,Germany,Pfizer/BioNTech,1091560
2021-01-16,Germany,Pfizer/BioNTech,1147237
2021-01-17,Germany,Pfizer/BioNTech,1193597
2021-01-18,Germany,Pfizer/BioNTech,1271361
2021-01-19,Germany,Pfizer/BioNTech,1386488
2021-01-20,Germany,Pfizer/BioNTech,1516144
2021-01-21,Germany,Pfizer/BioNTech,1618387
2021-01-22,Germany,Pfizer/BioNTech,1717817
2021-01-23,Germany,Pfizer/BioNTech,1804040
2021-01-24,Germany,Pfizer/BioNTech,1851136
2021-01-25,Germany,Pfizer/BioNTech,1940757
2021-01-26,Germany,Pfizer/BioNTech,2036852
2021-01-27,Germany,Pfizer/BioNTech,2144412
2021-01-28,Germany,Pfizer/BioNTech,2235229
2021-01-29,Germany,Pfizer/BioNTech,2341503
2021-01-30,Germany,Pfizer/BioNTech,2428625
2021-01-31,Germany,Pfizer/BioNTech,2485108
2021-02-01,Germany,Pfizer/BioNTech,2602373
2021-02-02,Germany,Pfizer/BioNTech,2731472
2021-02-03,Germany,Pfizer/BioNTech,2887048
2021-02-04,Germany,Pfizer/BioNTech,3015093
2021-02-05,Germany,Pfizer/BioNTech,3155455
2021-02-06,Germany,Pfizer/BioNTech,3246601
2021-02-07,Germany,Pfizer/BioNTech,3297583
2021-02-08,Germany,Pfizer/BioNTech,3402672
2021-02-09,Germany,Pfizer/BioNTech,3533143
2021-02-10,Germany,Pfizer/BioNTech,3674990
2021-02-11,Germany,Pfizer/BioNTech,3795160
2021-02-12,Germany,Pfizer/BioNTech,3926739
2021-02-13,Germany,Pfizer/BioNTech,4017514
2021-02-14,Germany,Pfizer/BioNTech,4073001
2021-02-15,Germany,Pfizer/BioNTech,4177596
2021-02-16,Germany,Pfizer/BioNTech,4286020
2021-02-17,Germany,Pfizer/BioNTech,4408029
2021-02-18,Germany,Pfizer/BioNTech,4520224
2021-02-19,Germany,Pfizer/BioNTech,4641212
2021-02-20,Germany,Pfizer/BioNTech,4727597
2021-02-21,Germany,Pfizer/BioNTech,4794105
2021-02-22,Germany,Pfizer/BioNTech,4916819
2021-02-23,Germany,Pfizer/BioNTech,5050414
2021-02-24,Germany,Pfizer/BioNTech,5181827
2021-02-25,Germany,Pfizer/BioNTech,5312950
2021-02-26,Germany,Pfizer/BioNTech,5453773
2021-02-27,Germany,Pfizer/BioNTech,5546428
2021-02-28,Germany,Pfizer/BioNTech,5607705
2021-03-01,Germany,Pfizer/BioNTech,5737987
2021-03-02,Germany,Pfizer/BioNTech,5877979
2021-03-03,Germany,Pfizer/BioNTech,6035001
2021-03-04,Germany,Pfizer/BioNTech,6176089
2021-03-05,Germany,Pfizer/BioNTech,6325579
2021-03-06,Germany,Pfizer/BioNTech,6434803
2021-03-07,Germany,Pfizer/BioNTech,6514542
2021-03-08,Germany,Pfizer/BioNTech,6648448
2021-03-09,Germany,Pfizer/BioNTech,6788499
2021-03-10,Germany,Pfizer/BioNTech,6947582
2021-03-11,Germany,Pfizer/BioNTech,7095213
2021-03-12,Germany,Pfizer/BioNTech,7246798
2021-03-13,Germany,Pfizer/BioNTech,7362809
2021-03-14,Germany,Pfizer/BioNTech,7450873
2021-03-15,Germany,Pfizer/BioNTech,7603635
2021-03-16,Germany,Pfizer/BioNTech,7770274
2021-03-17,Germany,Pfizer/BioNTech,7956491
2021-03-18,Germany,Pfizer/BioNTech,8130717
2021-03-19,Germany,Pfizer/BioNTech,8316198
2021-03-20,Germany,Pfizer/BioNTech,8451587
