location,date,vaccine,total_vaccinations
Hungary,2021-01-01,Pfizer/BioNTech,1095
Hungary,2021-01-08,Pfizer/BioNTech,71815
Hungary,2021-01-15,Moderna,3045
Hungary,2021-01-15,Pfizer/BioNTech,120515
Hungary,2021-01-22,Moderna,3110
Hungary,2021-01-22,Pfizer/BioNTech,153055
Hungary,2021-01-29,Moderna,3289
Hungary,2021-01-29,Pfizer/BioNTech,299730
Hungary,2021-02-05,Moderna,14413
Hungary,2021-02-05,Oxford/AstraZeneca,0
Hungary,2021-02-05,Pfizer/BioNTech,382360
Hungary,2021-02-05,Sputnik V,0
Hungary,2021-02-12,Moderna,17526
Hungary,2021-02-12,Oxford/AstraZeneca,20101
Hungary,2021-02-12,Pfizer/BioNTech,439830
Hungary,2021-02-12,Sputnik V,2385
Hungary,2021-02-19,Moderna,21249
Hungary,2021-02-19,Oxford/AstraZeneca,43574
Hungary,2021-02-19,Pfizer/BioNTech,577726
Hungary,2021-02-19,Sinopharm/Beijing,0
Hungary,2021-02-19,Sputnik V,18484
Hungary,2021-02-26,Moderna,22501
Hungary,2021-02-26,Oxford/AstraZeneca,85258
Hungary,2021-02-26,Pfizer/BioNTech,665513
Hungary,2021-02-26,Sinopharm/Beijing,162077
Hungary,2021-02-26,Sputnik V,19321
Hungary,2021-03-05,Moderna,59086
Hungary,2021-03-05,Oxford/AstraZeneca,96390
Hungary,2021-03-05,Pfizer/BioNTech,772330
Hungary,2021-03-05,Sinopharm/Beijing,368592
Hungary,2021-03-05,Sputnik V,22756
Hungary,2021-03-12,Moderna,74445
Hungary,2021-03-12,Oxford/AstraZeneca,233625
Hungary,2021-03-12,Pfizer/BioNTech,891614
Hungary,2021-03-12,Sinopharm/Beijing,492383
Hungary,2021-03-12,Sputnik V,54724
Hungary,2021-03-19,Moderna,79115
Hungary,2021-03-19,Oxford/AstraZeneca,293047
Hungary,2021-03-19,Pfizer/BioNTech,1054896
Hungary,2021-03-19,Sinopharm/Beijing,505062
Hungary,2021-03-19,Sputnik V,143314
Hungary,2021-03-26,Moderna,84172
Hungary,2021-03-26,Oxford/AstraZeneca,392696
Hungary,2021-03-26,Pfizer/BioNTech,1211790
Hungary,2021-03-26,Sinopharm/Beijing,687323
Hungary,2021-03-26,Sputnik V,233879
Hungary,2021-04-02,Moderna,149942
Hungary,2021-04-02,Oxford/AstraZeneca,422374
Hungary,2021-04-02,Pfizer/BioNTech,1428960
Hungary,2021-04-02,Sinopharm/Beijing,885907
Hungary,2021-04-02,Sputnik V,388391
Hungary,2021-04-09,Moderna,203839
Hungary,2021-04-09,Oxford/AstraZeneca,585205
Hungary,2021-04-09,Pfizer/BioNTech,1633326
Hungary,2021-04-09,Sinopharm/Beijing,1013005
Hungary,2021-04-09,Sputnik V,676266
Hungary,2021-04-16,Johnson&Johnson,0
Hungary,2021-04-16,Moderna,206499
Hungary,2021-04-16,Oxford/AstraZeneca,631955
Hungary,2021-04-16,Pfizer/BioNTech,1849226
Hungary,2021-04-16,Sinopharm/Beijing,1030350
Hungary,2021-04-16,Sputnik V,924750
Hungary,2021-04-23,Johnson&Johnson,0
Hungary,2021-04-23,Moderna,269215
Hungary,2021-04-23,Oxford/AstraZeneca,658012
Hungary,2021-04-23,Pfizer/BioNTech,2169616
Hungary,2021-04-23,Sinopharm/Beijing,1051731
Hungary,2021-04-23,Sputnik V,1097161
Hungary,2021-04-30,Johnson&Johnson,0
Hungary,2021-04-30,Moderna,314650
Hungary,2021-04-30,Oxford/AstraZeneca,663857
Hungary,2021-04-30,Pfizer/BioNTech,2445274
Hungary,2021-04-30,Sinopharm/Beijing,1391195
Hungary,2021-04-30,Sputnik V,1302893
Hungary,2021-05-07,Johnson&Johnson,3022
Hungary,2021-05-07,Moderna,358591
Hungary,2021-05-07,Oxford/AstraZeneca,713011
Hungary,2021-05-07,Pfizer/BioNTech,2693362
Hungary,2021-05-07,Sinopharm/Beijing,1464478
Hungary,2021-05-07,Sputnik V,1520581
Hungary,2021-05-14,Johnson&Johnson,20224
Hungary,2021-05-14,Moderna,400402
Hungary,2021-05-14,Oxford/AstraZeneca,750606
Hungary,2021-05-14,Pfizer/BioNTech,2909481
Hungary,2021-05-14,Sinopharm/Beijing,1515513
Hungary,2021-05-14,Sputnik V,1609566
Hungary,2021-05-21,Johnson&Johnson,48840
Hungary,2021-05-21,Moderna,487077
Hungary,2021-05-21,Oxford/AstraZeneca,775144
Hungary,2021-05-21,Pfizer/BioNTech,3309053
Hungary,2021-05-21,Sinopharm/Beijing,1556829
Hungary,2021-05-21,Sputnik V,1632758
Hungary,2021-05-28,Johnson&Johnson,61253
Hungary,2021-05-28,Moderna,522677
Hungary,2021-05-28,Oxford/AstraZeneca,804257
Hungary,2021-05-28,Pfizer/BioNTech,3562970
Hungary,2021-05-28,Sinopharm/Beijing,1852676
Hungary,2021-05-28,Sputnik V,1694187
Hungary,2021-06-04,Johnson&Johnson,74656
Hungary,2021-06-04,Moderna,543091
Hungary,2021-06-04,Oxford/AstraZeneca,918156
Hungary,2021-06-04,Pfizer/BioNTech,3749177
Hungary,2021-06-04,Sinopharm/Beijing,1932634
Hungary,2021-06-04,Sputnik V,1746818
Hungary,2021-06-11,Johnson&Johnson,84534
Hungary,2021-06-11,Moderna,588126
Hungary,2021-06-11,Oxford/AstraZeneca,969198
Hungary,2021-06-11,Pfizer/BioNTech,3838246
Hungary,2021-06-11,Sinopharm/Beijing,1988148
Hungary,2021-06-11,Sputnik V,1768262
Hungary,2021-06-18,Johnson&Johnson,91904
Hungary,2021-06-18,Moderna,619992
Hungary,2021-06-18,Oxford/AstraZeneca,1022220
Hungary,2021-06-18,Pfizer/BioNTech,3957616
Hungary,2021-06-18,Sinopharm/Beijing,2018784
Hungary,2021-06-18,Sputnik V,1778061
Hungary,2021-06-25,Johnson&Johnson,96881
Hungary,2021-06-25,Moderna,650048
Hungary,2021-06-25,Oxford/AstraZeneca,1061318
Hungary,2021-06-25,Pfizer/BioNTech,4214281
Hungary,2021-06-25,Sinopharm/Beijing,2035373
Hungary,2021-06-25,Sputnik V,1783131
Hungary,2021-07-02,Johnson&Johnson,99609
Hungary,2021-07-02,Moderna,663308
Hungary,2021-07-02,Oxford/AstraZeneca,1158542
Hungary,2021-07-02,Pfizer/BioNTech,4286386
Hungary,2021-07-02,Sinopharm/Beijing,2046334
Hungary,2021-07-02,Sputnik V,1786904
Hungary,2021-07-09,Johnson&Johnson,104340
Hungary,2021-07-09,Moderna,671489
Hungary,2021-07-09,Oxford/AstraZeneca,1188574
Hungary,2021-07-09,Pfizer/BioNTech,4368674
Hungary,2021-07-09,Sinopharm/Beijing,2055481
Hungary,2021-07-09,Sputnik V,1789960
Hungary,2021-07-16,Johnson&Johnson,110168
Hungary,2021-07-16,Moderna,675312
Hungary,2021-07-16,Oxford/AstraZeneca,1203799
Hungary,2021-07-16,Pfizer/BioNTech,4441576
Hungary,2021-07-16,Sinopharm/Beijing,2061652
Hungary,2021-07-16,Sputnik V,1791816
Hungary,2021-07-23,Johnson&Johnson,116247
Hungary,2021-07-23,Moderna,676977
Hungary,2021-07-23,Oxford/AstraZeneca,1208115
Hungary,2021-07-23,Pfizer/BioNTech,4489027
Hungary,2021-07-23,Sinopharm/Beijing,2066542
Hungary,2021-07-23,Sputnik V,1793345
Hungary,2021-07-30,Johnson&Johnson,122677
Hungary,2021-07-30,Moderna,677801
Hungary,2021-07-30,Oxford/AstraZeneca,1232562
Hungary,2021-07-30,Pfizer/BioNTech,4516819
Hungary,2021-07-30,Sinopharm/Beijing,2070374
Hungary,2021-07-30,Sputnik V,1794745
Hungary,2021-08-06,Johnson&Johnson,126106
Hungary,2021-08-06,Moderna,678515
Hungary,2021-08-06,Oxford/AstraZeneca,1235467
Hungary,2021-08-06,Pfizer/BioNTech,4541253
Hungary,2021-08-06,Sinopharm/Beijing,2073838
Hungary,2021-08-06,Sputnik V,1795935
Hungary,2021-08-13,Johnson&Johnson,130148
Hungary,2021-08-13,Moderna,679811
Hungary,2021-08-13,Oxford/AstraZeneca,1237162
Hungary,2021-08-13,Pfizer/BioNTech,4567749
Hungary,2021-08-13,Sinopharm/Beijing,2077807
Hungary,2021-08-13,Sputnik V,1797284
