location,date,vaccine,total_vaccinations
Ireland,2021-01-01,Pfizer/BioNTech,0
Ireland,2021-01-08,Johnson&Johnson,0
Ireland,2021-01-08,Moderna,0
Ireland,2021-01-08,Pfizer/BioNTech,50393
Ireland,2021-01-15,Moderna,1911
Ireland,2021-01-15,Oxford/AstraZeneca,0
Ireland,2021-01-15,Pfizer/BioNTech,97147
Ireland,2021-01-22,Moderna,1924
Ireland,2021-01-22,Oxford/AstraZeneca,0
Ireland,2021-01-22,Pfizer/BioNTech,146972
Ireland,2021-01-29,Moderna,1927
Ireland,2021-01-29,Oxford/AstraZeneca,0
Ireland,2021-01-29,Pfizer/BioNTech,200815
Ireland,2021-02-05,Moderna,1933
Ireland,2021-02-05,Oxford/AstraZeneca,18
Ireland,2021-02-05,Pfizer/BioNTech,253857
Ireland,2021-02-12,Moderna,4216
Ireland,2021-02-12,Oxford/AstraZeneca,17627
Ireland,2021-02-12,Pfizer/BioNTech,267394
Ireland,2021-02-19,Johnson&Johnson,0
Ireland,2021-02-19,Moderna,5419
Ireland,2021-02-19,Oxford/AstraZeneca,38213
Ireland,2021-02-19,Pfizer/BioNTech,330714
Ireland,2021-02-26,Moderna,9668
Ireland,2021-02-26,Oxford/AstraZeneca,71866
Ireland,2021-02-26,Pfizer/BioNTech,380714
Ireland,2021-03-05,Moderna,16519
Ireland,2021-03-05,Oxford/AstraZeneca,99417
Ireland,2021-03-05,Pfizer/BioNTech,431664
Ireland,2021-03-12,Moderna,20312
Ireland,2021-03-12,Oxford/AstraZeneca,132360
Ireland,2021-03-12,Pfizer/BioNTech,483878
Ireland,2021-03-19,Moderna,22096
Ireland,2021-03-19,Oxford/AstraZeneca,135676
Ireland,2021-03-19,Pfizer/BioNTech,544413
Ireland,2021-03-26,Johnson&Johnson,0
Ireland,2021-03-26,Moderna,29636
Ireland,2021-03-26,Oxford/AstraZeneca,173452
Ireland,2021-03-26,Pfizer/BioNTech,628967
Ireland,2021-04-02,Moderna,41787
Ireland,2021-04-02,Oxford/AstraZeneca,208374
Ireland,2021-04-02,Pfizer/BioNTech,718307
Ireland,2021-04-09,Johnson&Johnson,0
Ireland,2021-04-09,Moderna,49882
Ireland,2021-04-09,Oxford/AstraZeneca,239712
Ireland,2021-04-09,Pfizer/BioNTech,807430
Ireland,2021-04-16,Johnson&Johnson,1
Ireland,2021-04-16,Moderna,54604
Ireland,2021-04-16,Oxford/AstraZeneca,248127
Ireland,2021-04-16,Pfizer/BioNTech,944530
Ireland,2021-04-23,Johnson&Johnson,1
Ireland,2021-04-23,Moderna,67714
Ireland,2021-04-23,Oxford/AstraZeneca,305770
Ireland,2021-04-23,Pfizer/BioNTech,1066911
Ireland,2021-04-30,Johnson&Johnson,1
Ireland,2021-04-30,Moderna,81697
Ireland,2021-04-30,Oxford/AstraZeneca,389070
Ireland,2021-04-30,Pfizer/BioNTech,1181068
Ireland,2021-05-07,Johnson&Johnson,263
Ireland,2021-05-07,Moderna,91301
Ireland,2021-05-07,Oxford/AstraZeneca,515234
Ireland,2021-05-07,Pfizer/BioNTech,1294076
Ireland,2021-05-14,Johnson&Johnson,1042
Ireland,2021-05-14,Moderna,117208
Ireland,2021-05-14,Oxford/AstraZeneca,594701
Ireland,2021-05-14,Pfizer/BioNTech,1508676
Ireland,2021-05-21,Johnson&Johnson,40099
Ireland,2021-05-21,Moderna,156417
Ireland,2021-05-21,Oxford/AstraZeneca,609367
Ireland,2021-05-21,Pfizer/BioNTech,1740427
Ireland,2021-05-28,Johnson&Johnson,57466
Ireland,2021-05-28,Moderna,192199
Ireland,2021-05-28,Oxford/AstraZeneca,659608
Ireland,2021-05-28,Pfizer/BioNTech,1939994
Ireland,2021-06-04,Johnson&Johnson,70526
Ireland,2021-06-04,Moderna,231344
Ireland,2021-06-04,Oxford/AstraZeneca,696529
Ireland,2021-06-04,Pfizer/BioNTech,2119985
Ireland,2021-06-11,Johnson&Johnson,71792
Ireland,2021-06-11,Moderna,271167
Ireland,2021-06-11,Oxford/AstraZeneca,714085
Ireland,2021-06-11,Pfizer/BioNTech,2351574
Ireland,2021-06-18,Johnson&Johnson,73737
Ireland,2021-06-18,Moderna,314327
Ireland,2021-06-18,Oxford/AstraZeneca,807681
Ireland,2021-06-18,Pfizer/BioNTech,2572361
Ireland,2021-06-25,Johnson&Johnson,78010
Ireland,2021-06-25,Moderna,353629
Ireland,2021-06-25,Oxford/AstraZeneca,917210
Ireland,2021-06-25,Pfizer/BioNTech,2789731
Ireland,2021-07-02,Johnson&Johnson,81722
Ireland,2021-07-02,Moderna,399458
Ireland,2021-07-02,Oxford/AstraZeneca,1021279
Ireland,2021-07-02,Pfizer/BioNTech,2997665
Ireland,2021-07-09,Johnson&Johnson,116131
Ireland,2021-07-09,Moderna,432691
Ireland,2021-07-09,Oxford/AstraZeneca,1126061
Ireland,2021-07-09,Pfizer/BioNTech,3210387
Ireland,2021-07-16,Johnson&Johnson,164886
Ireland,2021-07-16,Moderna,469458
Ireland,2021-07-16,Oxford/AstraZeneca,1178415
Ireland,2021-07-16,Pfizer/BioNTech,3441590
Ireland,2021-07-23,Johnson&Johnson,200919
Ireland,2021-07-23,Moderna,496347
Ireland,2021-07-23,Oxford/AstraZeneca,1182569
Ireland,2021-07-23,Pfizer/BioNTech,3698778
Ireland,2021-07-30,Johnson&Johnson,217207
Ireland,2021-07-30,Moderna,511281
Ireland,2021-07-30,Oxford/AstraZeneca,1185177
Ireland,2021-07-30,Pfizer/BioNTech,3927135
Ireland,2021-08-06,Johnson&Johnson,222817
Ireland,2021-08-06,Moderna,530509
Ireland,2021-08-06,Oxford/AstraZeneca,1186386
Ireland,2021-08-06,Pfizer/BioNTech,4088824
Ireland,2021-08-10,Johnson&Johnson,222817
Ireland,2021-08-10,Moderna,530509
Ireland,2021-08-10,Oxford/AstraZeneca,1186386
Ireland,2021-08-10,Pfizer/BioNTech,4088824
