date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,7243,Italy
2020-12-28,Pfizer/BioNTech,8686,Italy
2020-12-29,Pfizer/BioNTech,9714,Italy
2020-12-30,Pfizer/BioNTech,14479,Italy
2020-12-31,Pfizer/BioNTech,40132,Italy
2021-01-01,Pfizer/BioNTech,51258,Italy
2021-01-02,Pfizer/BioNTech,89980,Italy
2021-01-03,Pfizer/BioNTech,125404,Italy
2021-01-04,Johnson&Johnson,1,Italy
2021-01-04,Pfizer/BioNTech,194722,Italy
2021-01-05,Pfizer/BioNTech,274832,Italy
2021-01-06,Moderna,1,Italy
2021-01-06,Pfizer/BioNTech,340238,Italy
2021-01-07,Pfizer/BioNTech,432794,Italy
2021-01-08,Moderna,3,Italy
2021-01-08,Pfizer/BioNTech,528915,Italy
2021-01-09,Pfizer/BioNTech,616317,Italy
2021-01-10,Pfizer/BioNTech,676927,Italy
2021-01-11,Moderna,4,Italy
2021-01-11,Pfizer/BioNTech,758547,Italy
2021-01-12,Pfizer/BioNTech,841294,Italy
2021-01-13,Moderna,5,Italy
2021-01-13,Pfizer/BioNTech,936335,Italy
2021-01-14,Moderna,90,Italy
2021-01-14,Pfizer/BioNTech,1030598,Italy
2021-01-15,Moderna,1185,Italy
2021-01-15,Pfizer/BioNTech,1119947,Italy
2021-01-16,Moderna,2133,Italy
2021-01-16,Pfizer/BioNTech,1184445,Italy
2021-01-17,Moderna,2426,Italy
2021-01-17,Pfizer/BioNTech,1221445,Italy
2021-01-18,Moderna,3647,Italy
2021-01-18,Oxford/AstraZeneca,2,Italy
2021-01-18,Pfizer/BioNTech,1264489,Italy
2021-01-19,Moderna,5921,Italy
2021-01-19,Pfizer/BioNTech,1295433,Italy
2021-01-20,Moderna,9354,Italy
2021-01-20,Pfizer/BioNTech,1323015,Italy
2021-01-21,Moderna,12147,Italy
2021-01-21,Pfizer/BioNTech,1356141,Italy
2021-01-22,Moderna,13903,Italy
2021-01-22,Oxford/AstraZeneca,6,Italy
2021-01-22,Pfizer/BioNTech,1381242,Italy
2021-01-23,Moderna,14926,Italy
2021-01-23,Pfizer/BioNTech,1419369,Italy
2021-01-24,Moderna,15713,Italy
2021-01-24,Pfizer/BioNTech,1452494,Italy
2021-01-25,Moderna,16311,Italy
2021-01-25,Pfizer/BioNTech,1521095,Italy
2021-01-26,Moderna,17027,Italy
2021-01-26,Pfizer/BioNTech,1600886,Italy
2021-01-27,Moderna,17646,Italy
2021-01-27,Pfizer/BioNTech,1671072,Italy
2021-01-28,Moderna,18418,Italy
2021-01-28,Pfizer/BioNTech,1763917,Italy
2021-01-29,Moderna,19229,Italy
2021-01-29,Pfizer/BioNTech,1861109,Italy
2021-01-30,Moderna,19697,Italy
2021-01-30,Oxford/AstraZeneca,7,Italy
2021-01-30,Pfizer/BioNTech,1950950,Italy
2021-01-31,Moderna,19908,Italy
2021-01-31,Oxford/AstraZeneca,8,Italy
2021-01-31,Pfizer/BioNTech,2010400,Italy
2021-02-01,Moderna,20455,Italy
2021-02-01,Oxford/AstraZeneca,9,Italy
2021-02-01,Pfizer/BioNTech,2095574,Italy
2021-02-02,Moderna,21572,Italy
2021-02-02,Oxford/AstraZeneca,35,Italy
2021-02-02,Pfizer/BioNTech,2182487,Italy
2021-02-03,Moderna,22963,Italy
2021-02-03,Pfizer/BioNTech,2280901,Italy
2021-02-04,Moderna,24591,Italy
2021-02-04,Oxford/AstraZeneca,37,Italy
2021-02-04,Pfizer/BioNTech,2387498,Italy
2021-02-05,Moderna,27791,Italy
2021-02-05,Oxford/AstraZeneca,39,Italy
2021-02-05,Pfizer/BioNTech,2491560,Italy
2021-02-06,Moderna,29858,Italy
2021-02-06,Pfizer/BioNTech,2567129,Italy
2021-02-07,Moderna,30438,Italy
2021-02-07,Oxford/AstraZeneca,42,Italy
2021-02-07,Pfizer/BioNTech,2608424,Italy
2021-02-08,Moderna,33055,Italy
2021-02-08,Oxford/AstraZeneca,43,Italy
2021-02-08,Pfizer/BioNTech,2672588,Italy
2021-02-09,Moderna,36403,Italy
2021-02-09,Oxford/AstraZeneca,45,Italy
2021-02-09,Pfizer/BioNTech,2736070,Italy
2021-02-10,Moderna,39220,Italy
2021-02-10,Oxford/AstraZeneca,47,Italy
2021-02-10,Pfizer/BioNTech,2806096,Italy
2021-02-11,Moderna,42351,Italy
2021-02-11,Oxford/AstraZeneca,2949,Italy
2021-02-11,Pfizer/BioNTech,2874774,Italy
2021-02-12,Moderna,46468,Italy
2021-02-12,Oxford/AstraZeneca,7704,Italy
2021-02-12,Pfizer/BioNTech,2939973,Italy
2021-02-13,Moderna,50391,Italy
2021-02-13,Oxford/AstraZeneca,12994,Italy
2021-02-13,Pfizer/BioNTech,2983425,Italy
2021-02-14,Moderna,51906,Italy
2021-02-14,Oxford/AstraZeneca,20147,Italy
2021-02-14,Pfizer/BioNTech,3004638,Italy
2021-02-15,Moderna,56161,Italy
2021-02-15,Oxford/AstraZeneca,27051,Italy
2021-02-15,Pfizer/BioNTech,3056164,Italy
2021-02-16,Moderna,62940,Italy
2021-02-16,Oxford/AstraZeneca,36364,Italy
2021-02-16,Pfizer/BioNTech,3111151,Italy
2021-02-17,Moderna,70707,Italy
2021-02-17,Oxford/AstraZeneca,49094,Italy
2021-02-17,Pfizer/BioNTech,3171012,Italy
2021-02-18,Moderna,77740,Italy
2021-02-18,Oxford/AstraZeneca,66539,Italy
2021-02-18,Pfizer/BioNTech,3236575,Italy
2021-02-19,Moderna,84702,Italy
2021-02-19,Oxford/AstraZeneca,85889,Italy
2021-02-19,Pfizer/BioNTech,3303138,Italy
2021-02-20,Moderna,91107,Italy
2021-02-20,Oxford/AstraZeneca,105218,Italy
2021-02-20,Pfizer/BioNTech,3355732,Italy
2021-02-21,Moderna,96580,Italy
2021-02-21,Oxford/AstraZeneca,115897,Italy
