location,date,vaccine,total_vaccinations
Japan,2021-02-17,Pfizer/BioNTech,125.0
Japan,2021-02-18,Pfizer/BioNTech,611.0
Japan,2021-02-19,Pfizer/BioNTech,5039.0
Japan,2021-02-22,Pfizer/BioNTech,11934.0
Japan,2021-02-24,Pfizer/BioNTech,17888.0
Japan,2021-02-25,Pfizer/BioNTech,21896.0
Japan,2021-02-26,Pfizer/BioNTech,28530.0
Japan,2021-03-01,Pfizer/BioNTech,31785.0
Japan,2021-03-02,Pfizer/BioNTech,34772.0
Japan,2021-03-03,Pfizer/BioNTech,37303.0
Japan,2021-03-04,Pfizer/BioNTech,39174.0
Japan,2021-03-05,Pfizer/BioNTech,46469.0
Japan,2021-03-08,Pfizer/BioNTech,70796.0
Japan,2021-03-09,Pfizer/BioNTech,107558.0
Japan,2021-03-10,Pfizer/BioNTech,148950.0
Japan,2021-03-11,Pfizer/BioNTech,181184.0
Japan,2021-03-12,Pfizer/BioNTech,230542.0
Japan,2021-03-15,Pfizer/BioNTech,290275.0
Japan,2021-03-16,Pfizer/BioNTech,359191.0
Japan,2021-03-17,Pfizer/BioNTech,437485.0
Japan,2021-03-18,Pfizer/BioNTech,508702.0
Japan,2021-03-19,Pfizer/BioNTech,578835.0
Japan,2021-03-22,Pfizer/BioNTech,652698.0
Japan,2021-03-23,Pfizer/BioNTech,699126.0
Japan,2021-03-24,Pfizer/BioNTech,741180.0
Japan,2021-03-25,Pfizer/BioNTech,775122.0
Japan,2021-03-26,Pfizer/BioNTech,822869.0
Japan,2021-03-29,Pfizer/BioNTech,890662.0
Japan,2021-03-30,Pfizer/BioNTech,949731.0
Japan,2021-03-31,Pfizer/BioNTech,1002739.0
Japan,2021-04-01,Pfizer/BioNTech,1050112.0
Japan,2021-04-02,Pfizer/BioNTech,1096698.0
Japan,2021-04-05,Pfizer/BioNTech,1196884.0
Japan,2021-04-06,Pfizer/BioNTech,1288566.0
Japan,2021-04-07,Pfizer/BioNTech,1393108.0
Japan,2021-04-08,Pfizer/BioNTech,1487606.0
Japan,2021-04-09,Pfizer/BioNTech,1592517.0
Japan,2021-04-12,Pfizer/BioNTech,1694191.0
Japan,2021-04-13,Pfizer/BioNTech,1752419.0
Japan,2021-04-14,Pfizer/BioNTech,1808495.0
Japan,2021-04-15,Pfizer/BioNTech,1870352.0
Japan,2021-04-16,Pfizer/BioNTech,1951691.0
Japan,2021-04-17,Pfizer/BioNTech,1960253.0
Japan,2021-04-18,Pfizer/BioNTech,1968952.0
Japan,2021-04-19,Pfizer/BioNTech,2124028.0
Japan,2021-04-20,Pfizer/BioNTech,2305110.0
Japan,2021-04-21,Pfizer/BioNTech,2523714.0
Japan,2021-04-22,Pfizer/BioNTech,2738010.0
Japan,2021-04-23,Pfizer/BioNTech,2977156.0
Japan,2021-04-24,Pfizer/BioNTech,3017983.0
Japan,2021-04-25,Pfizer/BioNTech,3043542.0
Japan,2021-04-26,Pfizer/BioNTech,3372956.0
Japan,2021-04-27,Pfizer/BioNTech,3662687.0
Japan,2021-04-28,Pfizer/BioNTech,3995987.0
Japan,2021-04-29,Pfizer/BioNTech,4017511.0
Japan,2021-04-30,Pfizer/BioNTech,4365615.0
Japan,2021-05-01,Pfizer/BioNTech,4409136.0
Japan,2021-05-02,Pfizer/BioNTech,4434292.0
Japan,2021-05-03,Pfizer/BioNTech,4442528.0
Japan,2021-05-04,Pfizer/BioNTech,4451668.0
Japan,2021-05-05,Pfizer/BioNTech,4462316.0
Japan,2021-05-06,Pfizer/BioNTech,4848177.0
Japan,2021-05-07,Pfizer/BioNTech,5044329.0
Japan,2021-05-08,Pfizer/BioNTech,5112955.0
Japan,2021-05-09,Pfizer/BioNTech,5194727.0
Japan,2021-05-10,Pfizer/BioNTech,5548009.0
Japan,2021-05-11,Pfizer/BioNTech,5885055.0
Japan,2021-05-12,Pfizer/BioNTech,6273284.0
Japan,2021-05-13,Pfizer/BioNTech,6695597.0
Japan,2021-05-14,Pfizer/BioNTech,7116487.0
Japan,2021-05-15,Pfizer/BioNTech,7287316.0
Japan,2021-05-16,Pfizer/BioNTech,7495054.0
Japan,2021-05-17,Pfizer/BioNTech,8102078.0
Japan,2021-05-18,Pfizer/BioNTech,8664931.0
Japan,2021-05-19,Pfizer/BioNTech,9303184.0
Japan,2021-05-20,Pfizer/BioNTech,9835661.0
Japan,2021-05-21,Pfizer/BioNTech,10415253.0
Japan,2021-05-22,Pfizer/BioNTech,10741001.0
Japan,2021-05-23,Pfizer/BioNTech,11089889.0
Japan,2021-05-24,Pfizer/BioNTech,11861361.0
Japan,2021-05-24,Moderna,10089.0
Japan,2021-05-25,Pfizer/BioNTech,12510784.0
Japan,2021-05-25,Moderna,20345.0
Japan,2021-05-26,Pfizer/BioNTech,13219289.0
Japan,2021-05-26,Moderna,31984.0
Japan,2021-05-27,Pfizer/BioNTech,13940866.0
Japan,2021-05-27,Moderna,44416.0
Japan,2021-05-28,Pfizer/BioNTech,14655525.0
Japan,2021-05-28,Moderna,58817.0
Japan,2021-05-29,Moderna,74332.0
Japan,2021-05-29,Pfizer/BioNTech,15167876.0
Japan,2021-05-30,Moderna,90220.0
Japan,2021-05-30,Pfizer/BioNTech,15676616.0
Japan,2021-05-31,Pfizer/BioNTech,16550669.0
Japan,2021-05-31,Moderna,109124.0
Japan,2021-06-01,Pfizer/BioNTech,17433942.0
Japan,2021-06-01,Moderna,128420.0
Japan,2021-06-02,Pfizer/BioNTech,18363721.0
Japan,2021-06-02,Moderna,148354.0
Japan,2021-06-03,Pfizer/BioNTech,19279287.0
Japan,2021-06-03,Moderna,168443.0
Japan,2021-06-04,Pfizer/BioNTech,20173122.0
Japan,2021-06-04,Moderna,189589.0
Japan,2021-06-05,Pfizer/BioNTech,20886905.0
Japan,2021-06-05,Moderna,209958.0
Japan,2021-06-06,Pfizer/BioNTech,21599885.0
Japan,2021-06-06,Moderna,232750.0
Japan,2021-06-07,Moderna,263871.0
Japan,2021-06-07,Pfizer/BioNTech,22643952.0
Japan,2021-06-08,Pfizer/BioNTech,23705620.0
Japan,2021-06-08,Moderna,294027.0
Japan,2021-06-09,Pfizer/BioNTech,24810223.0
Japan,2021-06-09,Moderna,322408.0
Japan,2021-06-10,Pfizer/BioNTech,25882286.0
Japan,2021-06-10,Moderna,353184.0
Japan,2021-06-11,Pfizer/BioNTech,26937150.0
Japan,2021-06-11,Moderna,383991.0
Japan,2021-06-12,Pfizer/BioNTech,27820931.0
Japan,2021-06-12,Moderna,416796.0
Japan,2021-06-13,Pfizer/BioNTech,28691501.0
Japan,2021-06-13,Moderna,450330.0
Japan,2021-06-14,Pfizer/BioNTech,29863084.0
Japan,2021-06-14,Moderna,485436.0
Japan,2021-06-15,Moderna,517629.0
Japan,2021-06-15,Pfizer/BioNTech,31046524.0
Japan,2021-06-16,Pfizer/BioNTech,32267486.0
Japan,2021-06-16,Moderna,550581.0
Japan,2021-06-17,Pfizer/BioNTech,33493077.0
Japan,2021-06-17,Moderna,586873.0
Japan,2021-06-18,Pfizer/BioNTech,34672198.0
Japan,2021-06-18,Moderna,618288.0
Japan,2021-06-19,Pfizer/BioNTech,35711963.0
Japan,2021-06-19,Moderna,655187.0
Japan,2021-06-20,Pfizer/BioNTech,36748404.0
Japan,2021-06-20,Moderna,694623.0
Japan,2021-06-21,Pfizer/BioNTech,38013585.0
Japan,2021-06-21,Moderna,757247.0
Japan,2021-06-22,Pfizer/BioNTech,39301052.0
Japan,2021-06-22,Moderna,815512.0
Japan,2021-06-23,Moderna,876887.0
