location,date,vaccine,total_vaccinations
Poland,2021-01-01,Johnson&Johnson,0
Poland,2021-01-01,Moderna,0
Poland,2021-01-01,Oxford/AstraZeneca,0
Poland,2021-01-01,Pfizer/BioNTech,2215
Poland,2021-01-08,Johnson&Johnson,0
Poland,2021-01-08,Moderna,0
Poland,2021-01-08,Oxford/AstraZeneca,1
Poland,2021-01-08,Pfizer/BioNTech,213252
Poland,2021-01-15,Johnson&Johnson,0
Poland,2021-01-15,Moderna,1
Poland,2021-01-15,Oxford/AstraZeneca,3
Poland,2021-01-15,Pfizer/BioNTech,486012
Poland,2021-01-22,Johnson&Johnson,0
Poland,2021-01-22,Moderna,5
Poland,2021-01-22,Oxford/AstraZeneca,6
Poland,2021-01-22,Pfizer/BioNTech,729303
Poland,2021-01-29,Johnson&Johnson,0
Poland,2021-01-29,Moderna,4249
Poland,2021-01-29,Oxford/AstraZeneca,9
Poland,2021-01-29,Pfizer/BioNTech,1197818
Poland,2021-02-05,Johnson&Johnson,0
Poland,2021-02-05,Moderna,9046
Poland,2021-02-05,Oxford/AstraZeneca,11
Poland,2021-02-05,Pfizer/BioNTech,1688692
Poland,2021-02-12,Johnson&Johnson,0
Poland,2021-02-12,Moderna,22761
Poland,2021-02-12,Oxford/AstraZeneca,21514
Poland,2021-02-12,Pfizer/BioNTech,2129743
Poland,2021-02-19,Johnson&Johnson,0
Poland,2021-02-19,Moderna,71320
Poland,2021-02-19,Oxford/AstraZeneca,129372
Poland,2021-02-19,Pfizer/BioNTech,2569314
Poland,2021-02-26,Johnson&Johnson,0
Poland,2021-02-26,Moderna,130681
Poland,2021-02-26,Oxford/AstraZeneca,289302
Poland,2021-02-26,Pfizer/BioNTech,2968190
Poland,2021-03-05,Johnson&Johnson,0
Poland,2021-03-05,Moderna,202515
Poland,2021-03-05,Oxford/AstraZeneca,475417
Poland,2021-03-05,Pfizer/BioNTech,3347116
Poland,2021-03-12,Johnson&Johnson,0
Poland,2021-03-12,Moderna,247701
Poland,2021-03-12,Oxford/AstraZeneca,595372
Poland,2021-03-12,Pfizer/BioNTech,3723684
Poland,2021-03-19,Johnson&Johnson,4
Poland,2021-03-19,Moderna,294310
Poland,2021-03-19,Oxford/AstraZeneca,654450
Poland,2021-03-19,Pfizer/BioNTech,4111224
Poland,2021-03-26,Johnson&Johnson,4
Poland,2021-03-26,Moderna,376046
Poland,2021-03-26,Oxford/AstraZeneca,979261
Poland,2021-03-26,Pfizer/BioNTech,4574863
Poland,2021-04-02,Johnson&Johnson,17
Poland,2021-04-02,Moderna,441716
Poland,2021-04-02,Oxford/AstraZeneca,1277115
Poland,2021-04-02,Pfizer/BioNTech,5000012
Poland,2021-04-09,Johnson&Johnson,28
Poland,2021-04-09,Moderna,516883
Poland,2021-04-09,Oxford/AstraZeneca,1620168
Poland,2021-04-09,Pfizer/BioNTech,5613021
Poland,2021-04-16,Johnson&Johnson,23228
Poland,2021-04-16,Moderna,652141
Poland,2021-04-16,Oxford/AstraZeneca,1878441
Poland,2021-04-16,Pfizer/BioNTech,6395459
Poland,2021-04-23,Johnson&Johnson,76496
Poland,2021-04-23,Moderna,890325
Poland,2021-04-23,Oxford/AstraZeneca,2043379
Poland,2021-04-23,Pfizer/BioNTech,7364176
Poland,2021-04-30,Johnson&Johnson,125305
Poland,2021-04-30,Moderna,1066828
Poland,2021-04-30,Oxford/AstraZeneca,2172830
Poland,2021-04-30,Pfizer/BioNTech,8676190
Poland,2021-05-07,Johnson&Johnson,170048
Poland,2021-05-07,Moderna,1294760
Poland,2021-05-07,Oxford/AstraZeneca,2499774
Poland,2021-05-07,Pfizer/BioNTech,9901973
Poland,2021-05-14,Johnson&Johnson,275081
Poland,2021-05-14,Moderna,1519275
Poland,2021-05-14,Oxford/AstraZeneca,2844010
Poland,2021-05-14,Pfizer/BioNTech,11354268
Poland,2021-05-21,Johnson&Johnson,407352
Poland,2021-05-21,Moderna,1805669
Poland,2021-05-21,Oxford/AstraZeneca,3128941
Poland,2021-05-21,Pfizer/BioNTech,12654969
Poland,2021-05-28,Johnson&Johnson,595443
Poland,2021-05-28,Moderna,2082748
Poland,2021-05-28,Oxford/AstraZeneca,3345851
Poland,2021-05-28,Pfizer/BioNTech,13893595
Poland,2021-06-04,Johnson&Johnson,703014
Poland,2021-06-04,Moderna,2273018
Poland,2021-06-04,Oxford/AstraZeneca,3456788
Poland,2021-06-04,Pfizer/BioNTech,15658511
Poland,2021-06-11,Johnson&Johnson,784208
Poland,2021-06-11,Moderna,2499283
Poland,2021-06-11,Oxford/AstraZeneca,3826435
Poland,2021-06-11,Pfizer/BioNTech,17246864
Poland,2021-06-18,Johnson&Johnson,852526
Poland,2021-06-18,Moderna,2691941
Poland,2021-06-18,Oxford/AstraZeneca,4179447
Poland,2021-06-18,Pfizer/BioNTech,18560584
Poland,2021-06-25,Johnson&Johnson,917441
Poland,2021-06-25,Moderna,2869508
Poland,2021-06-25,Oxford/AstraZeneca,4595197
Poland,2021-06-25,Pfizer/BioNTech,19665443
Poland,2021-07-02,Johnson&Johnson,992137
Poland,2021-07-02,Moderna,2954669
Poland,2021-07-02,Oxford/AstraZeneca,4881303
Poland,2021-07-02,Pfizer/BioNTech,20620234
Poland,2021-07-09,Johnson&Johnson,1076022
Poland,2021-07-09,Moderna,2979769
Poland,2021-07-09,Oxford/AstraZeneca,5027786
Poland,2021-07-09,Pfizer/BioNTech,21702794
Poland,2021-07-16,Johnson&Johnson,1171386
Poland,2021-07-16,Moderna,2995061
Poland,2021-07-16,Oxford/AstraZeneca,5089954
Poland,2021-07-16,Pfizer/BioNTech,22649131
Poland,2021-07-23,Johnson&Johnson,1271206
Poland,2021-07-23,Moderna,3003502
Poland,2021-07-23,Oxford/AstraZeneca,5189261
Poland,2021-07-23,Pfizer/BioNTech,23244187
Poland,2021-07-30,Johnson&Johnson,1380752
Poland,2021-07-30,Moderna,3008422
Poland,2021-07-30,Oxford/AstraZeneca,5252805
Poland,2021-07-30,Pfizer/BioNTech,23670348
Poland,2021-08-06,Johnson&Johnson,1479729
Poland,2021-08-06,Moderna,3012606
Poland,2021-08-06,Oxford/AstraZeneca,5262189
Poland,2021-08-06,Pfizer/BioNTech,24015641
Poland,2021-08-10,Johnson&Johnson,1497168
Poland,2021-08-10,Moderna,3013451
Poland,2021-08-10,Oxford/AstraZeneca,5263631
Poland,2021-08-10,Pfizer/BioNTech,24066760
