location,date,vaccine,total_vaccinations
Portugal,2021-01-01,Moderna,1
Portugal,2021-01-01,Pfizer/BioNTech,5006
Portugal,2021-01-08,Johnson&Johnson,6
Portugal,2021-01-08,Moderna,10
Portugal,2021-01-08,Oxford/AstraZeneca,7
Portugal,2021-01-08,Pfizer/BioNTech,83972
Portugal,2021-01-15,Moderna,1494
Portugal,2021-01-15,Oxford/AstraZeneca,31
Portugal,2021-01-15,Pfizer/BioNTech,133201
Portugal,2021-01-22,Johnson&Johnson,7
Portugal,2021-01-22,Moderna,3050
Portugal,2021-01-22,Oxford/AstraZeneca,63
Portugal,2021-01-22,Pfizer/BioNTech,285956
Portugal,2021-01-29,Johnson&Johnson,8
Portugal,2021-01-29,Moderna,3596
Portugal,2021-01-29,Oxford/AstraZeneca,133
Portugal,2021-01-29,Pfizer/BioNTech,372560
Portugal,2021-02-05,Johnson&Johnson,14
Portugal,2021-02-05,Moderna,10660
Portugal,2021-02-05,Oxford/AstraZeneca,235
Portugal,2021-02-05,Pfizer/BioNTech,426594
Portugal,2021-02-12,Moderna,13614
Portugal,2021-02-12,Oxford/AstraZeneca,9734
Portugal,2021-02-12,Pfizer/BioNTech,553932
Portugal,2021-02-19,Moderna,25176
Portugal,2021-02-19,Oxford/AstraZeneca,51620
Portugal,2021-02-19,Pfizer/BioNTech,653858
Portugal,2021-02-26,Moderna,29165
Portugal,2021-02-26,Oxford/AstraZeneca,112896
Portugal,2021-02-26,Pfizer/BioNTech,785912
Portugal,2021-03-05,Johnson&Johnson,33
Portugal,2021-03-05,Moderna,57117
Portugal,2021-03-05,Oxford/AstraZeneca,152409
Portugal,2021-03-05,Pfizer/BioNTech,890683
Portugal,2021-03-12,Johnson&Johnson,59
Portugal,2021-03-12,Moderna,61564
Portugal,2021-03-12,Oxford/AstraZeneca,204707
Portugal,2021-03-12,Pfizer/BioNTech,981192
Portugal,2021-03-19,Johnson&Johnson,77
Portugal,2021-03-19,Moderna,87983
Portugal,2021-03-19,Oxford/AstraZeneca,228290
Portugal,2021-03-19,Pfizer/BioNTech,1122662
Portugal,2021-03-26,Johnson&Johnson,96
Portugal,2021-03-26,Moderna,99856
Portugal,2021-03-26,Oxford/AstraZeneca,343910
Portugal,2021-03-26,Pfizer/BioNTech,1273429
Portugal,2021-04-02,Johnson&Johnson,138
Portugal,2021-04-02,Moderna,131127
Portugal,2021-04-02,Oxford/AstraZeneca,396483
