location,date,vaccine,total_vaccinations
Slovakia,2021-01-01,Pfizer/BioNTech,0
Slovakia,2021-01-08,Pfizer/BioNTech,29669
Slovakia,2021-01-15,Moderna,0
Slovakia,2021-01-15,Pfizer/BioNTech,62735
Slovakia,2021-01-22,Pfizer/BioNTech,100215
Slovakia,2021-01-29,Moderna,69
Slovakia,2021-01-29,Pfizer/BioNTech,146749
Slovakia,2021-02-05,Moderna,1654
Slovakia,2021-02-05,Oxford/AstraZeneca,0
Slovakia,2021-02-05,Pfizer/BioNTech,212701
Slovakia,2021-02-12,Moderna,6469
Slovakia,2021-02-12,Oxford/AstraZeneca,12786
Slovakia,2021-02-12,Pfizer/BioNTech,276524
Slovakia,2021-02-19,Moderna,18256
Slovakia,2021-02-19,Oxford/AstraZeneca,27087
Slovakia,2021-02-19,Pfizer/BioNTech,322380
Slovakia,2021-02-26,Moderna,22522
Slovakia,2021-02-26,Oxford/AstraZeneca,47906
Slovakia,2021-02-26,Pfizer/BioNTech,373717
Slovakia,2021-03-05,Johnson&Johnson,2
Slovakia,2021-03-05,Moderna,24617
Slovakia,2021-03-05,Oxford/AstraZeneca,89668
Slovakia,2021-03-05,Pfizer/BioNTech,426681
Slovakia,2021-03-05,Sputnik V,0
Slovakia,2021-03-12,Moderna,29539
Slovakia,2021-03-12,Oxford/AstraZeneca,132522
Slovakia,2021-03-12,Pfizer/BioNTech,483807
Slovakia,2021-03-19,Moderna,41507
Slovakia,2021-03-19,Oxford/AstraZeneca,179002
Slovakia,2021-03-19,Pfizer/BioNTech,557138
Slovakia,2021-03-26,Moderna,55915
Slovakia,2021-03-26,Oxford/AstraZeneca,216213
Slovakia,2021-03-26,Pfizer/BioNTech,636000
Slovakia,2021-04-02,Johnson&Johnson,3
Slovakia,2021-04-02,Moderna,66970
Slovakia,2021-04-02,Oxford/AstraZeneca,244322
Slovakia,2021-04-02,Pfizer/BioNTech,701910
Slovakia,2021-04-09,Johnson&Johnson,4
Slovakia,2021-04-09,Moderna,79171
Slovakia,2021-04-09,Oxford/AstraZeneca,294028
Slovakia,2021-04-09,Pfizer/BioNTech,774449
Slovakia,2021-04-16,Johnson&Johnson,5
Slovakia,2021-04-16,Moderna,97974
Slovakia,2021-04-16,Oxford/AstraZeneca,345295
Slovakia,2021-04-16,Pfizer/BioNTech,858004
Slovakia,2021-04-23,Moderna,119635
Slovakia,2021-04-23,Oxford/AstraZeneca,389171
Slovakia,2021-04-23,Pfizer/BioNTech,942765
Slovakia,2021-04-30,Johnson&Johnson,5
Slovakia,2021-04-30,Moderna,141474
Slovakia,2021-04-30,Oxford/AstraZeneca,423254
Slovakia,2021-04-30,Pfizer/BioNTech,1053565
Slovakia,2021-05-07,Moderna,168958
Slovakia,2021-05-07,Oxford/AstraZeneca,456874
Slovakia,2021-05-07,Pfizer/BioNTech,1189176
Slovakia,2021-05-14,Johnson&Johnson,5
Slovakia,2021-05-14,Moderna,198581
Slovakia,2021-05-14,Oxford/AstraZeneca,496483
Slovakia,2021-05-14,Pfizer/BioNTech,1351080
Slovakia,2021-05-21,Johnson&Johnson,6
Slovakia,2021-05-21,Moderna,230571
Slovakia,2021-05-21,Oxford/AstraZeneca,542877
Slovakia,2021-05-21,Pfizer/BioNTech,1515057
Slovakia,2021-05-28,Johnson&Johnson,6
Slovakia,2021-05-28,Moderna,258101
Slovakia,2021-05-28,Oxford/AstraZeneca,583209
Slovakia,2021-05-28,Pfizer/BioNTech,1688353
Slovakia,2021-05-28,Sputnik V,2
Slovakia,2021-06-04,Johnson&Johnson,6
Slovakia,2021-06-04,Moderna,285296
Slovakia,2021-06-04,Oxford/AstraZeneca,623802
Slovakia,2021-06-04,Pfizer/BioNTech,1853902
Slovakia,2021-06-04,Sputnik V,3
Slovakia,2021-06-11,Johnson&Johnson,6
Slovakia,2021-06-11,Moderna,310973
Slovakia,2021-06-11,Oxford/AstraZeneca,654994
Slovakia,2021-06-11,Pfizer/BioNTech,2027659
Slovakia,2021-06-11,Sputnik V,4119
Slovakia,2021-06-18,Johnson&Johnson,105
Slovakia,2021-06-18,Moderna,336863
Slovakia,2021-06-18,Oxford/AstraZeneca,700857
Slovakia,2021-06-18,Pfizer/BioNTech,2192402
Slovakia,2021-06-18,Sputnik V,7844
Slovakia,2021-06-25,Johnson&Johnson,216
Slovakia,2021-06-25,Moderna,359884
Slovakia,2021-06-25,Oxford/AstraZeneca,748853
Slovakia,2021-06-25,Pfizer/BioNTech,2348014
Slovakia,2021-06-25,Sputnik V,11473
Slovakia,2021-07-02,Johnson&Johnson,5300
Slovakia,2021-07-02,Moderna,380923
Slovakia,2021-07-02,Oxford/AstraZeneca,782487
Slovakia,2021-07-02,Pfizer/BioNTech,2487200
Slovakia,2021-07-02,Sputnik V,17479
Slovakia,2021-07-09,Johnson&Johnson,13794
Slovakia,2021-07-09,Moderna,397536
Slovakia,2021-07-09,Oxford/AstraZeneca,811469
Slovakia,2021-07-09,Pfizer/BioNTech,2591062
Slovakia,2021-07-09,Sputnik V,23695
Slovakia,2021-07-16,Johnson&Johnson,23846
Slovakia,2021-07-16,Moderna,414256
Slovakia,2021-07-16,Oxford/AstraZeneca,827503
Slovakia,2021-07-16,Pfizer/BioNTech,2676345
Slovakia,2021-07-16,Sputnik V,28019
Slovakia,2021-07-23,Johnson&Johnson,30426
Slovakia,2021-07-23,Moderna,426811
Slovakia,2021-07-23,Oxford/AstraZeneca,834164
Slovakia,2021-07-23,Pfizer/BioNTech,2733666
Slovakia,2021-07-23,Sputnik V,30950
Slovakia,2021-07-30,Johnson&Johnson,35878
Slovakia,2021-07-30,Moderna,439179
Slovakia,2021-07-30,Oxford/AstraZeneca,835828
Slovakia,2021-07-30,Pfizer/BioNTech,2790873
Slovakia,2021-07-30,Sputnik V,34928
Slovakia,2021-08-06,Johnson&Johnson,36663
Slovakia,2021-08-06,Moderna,443944
Slovakia,2021-08-06,Oxford/AstraZeneca,836028
Slovakia,2021-08-06,Pfizer/BioNTech,2812185
Slovakia,2021-08-06,Sputnik V,35304
