location,date,vaccine,total_vaccinations
Sweden,2021-01-01,Pfizer/BioNTech,2428
Sweden,2021-01-08,Pfizer/BioNTech,51736
Sweden,2021-01-15,Moderna,93
Sweden,2021-01-15,Pfizer/BioNTech,130004
Sweden,2021-01-22,Moderna,5346
Sweden,2021-01-22,Pfizer/BioNTech,240580
Sweden,2021-01-29,Moderna,8100
Sweden,2021-01-29,Pfizer/BioNTech,328928
Sweden,2021-02-05,Moderna,12399
Sweden,2021-02-05,Oxford/AstraZeneca,0
Sweden,2021-02-05,Pfizer/BioNTech,424490
Sweden,2021-02-12,Moderna,23121
Sweden,2021-02-12,Oxford/AstraZeneca,9771
Sweden,2021-02-12,Pfizer/BioNTech,521657
Sweden,2021-02-19,Moderna,38851
Sweden,2021-02-19,Oxford/AstraZeneca,37696
Sweden,2021-02-19,Pfizer/BioNTech,631938
Sweden,2021-02-26,Moderna,48328
Sweden,2021-02-26,Oxford/AstraZeneca,77366
Sweden,2021-02-26,Pfizer/BioNTech,738786
Sweden,2021-03-05,Moderna,61432
Sweden,2021-03-05,Oxford/AstraZeneca,146860
Sweden,2021-03-05,Pfizer/BioNTech,845151
Sweden,2021-03-12,Moderna,84596
Sweden,2021-03-12,Oxford/AstraZeneca,219489
Sweden,2021-03-12,Pfizer/BioNTech,970327
Sweden,2021-03-19,Moderna,112490
Sweden,2021-03-19,Oxford/AstraZeneca,230306
Sweden,2021-03-19,Pfizer/BioNTech,1104734
Sweden,2021-03-26,Moderna,148163
Sweden,2021-03-26,Oxford/AstraZeneca,237003
Sweden,2021-03-26,Pfizer/BioNTech,1260076
Sweden,2021-04-02,Moderna,167469
Sweden,2021-04-02,Oxford/AstraZeneca,310120
Sweden,2021-04-02,Pfizer/BioNTech,1432262
Sweden,2021-04-09,Moderna,205993
Sweden,2021-04-09,Oxford/AstraZeneca,419097
Sweden,2021-04-09,Pfizer/BioNTech,1629753
Sweden,2021-04-16,Moderna,234654
Sweden,2021-04-16,Oxford/AstraZeneca,581237
Sweden,2021-04-16,Pfizer/BioNTech,1913073
Sweden,2021-04-23,Moderna,273582
Sweden,2021-04-23,Oxford/AstraZeneca,676346
Sweden,2021-04-23,Pfizer/BioNTech,2219035
Sweden,2021-04-30,Moderna,304267
Sweden,2021-04-30,Oxford/AstraZeneca,711959
Sweden,2021-04-30,Pfizer/BioNTech,2550560
Sweden,2021-05-07,Moderna,353136
Sweden,2021-05-07,Oxford/AstraZeneca,730386
Sweden,2021-05-07,Pfizer/BioNTech,2940488
Sweden,2021-05-14,Moderna,390767
Sweden,2021-05-14,Oxford/AstraZeneca,760030
Sweden,2021-05-14,Pfizer/BioNTech,3298139
Sweden,2021-05-21,Moderna,454830
Sweden,2021-05-21,Oxford/AstraZeneca,802202
Sweden,2021-05-21,Pfizer/BioNTech,3644482
Sweden,2021-05-28,Moderna,512652
Sweden,2021-05-28,Oxford/AstraZeneca,825290
Sweden,2021-05-28,Pfizer/BioNTech,4046824
Sweden,2021-06-04,Moderna,580214
Sweden,2021-06-04,Oxford/AstraZeneca,875020
Sweden,2021-06-04,Pfizer/BioNTech,4512791
Sweden,2021-06-11,Moderna,646416
Sweden,2021-06-11,Oxford/AstraZeneca,942521
Sweden,2021-06-11,Pfizer/BioNTech,5056489
Sweden,2021-06-18,Moderna,710421
Sweden,2021-06-18,Oxford/AstraZeneca,1074332
Sweden,2021-06-18,Pfizer/BioNTech,5629977
Sweden,2021-06-25,Moderna,765647
Sweden,2021-06-25,Oxford/AstraZeneca,1180860
Sweden,2021-06-25,Pfizer/BioNTech,6102833
Sweden,2021-07-02,Moderna,837573
Sweden,2021-07-02,Oxford/AstraZeneca,1258988
Sweden,2021-07-02,Pfizer/BioNTech,6682100
Sweden,2021-07-09,Moderna,913262
Sweden,2021-07-09,Oxford/AstraZeneca,1299698
Sweden,2021-07-09,Pfizer/BioNTech,7155367
Sweden,2021-07-16,Moderna,1008210
Sweden,2021-07-16,Oxford/AstraZeneca,1315929
Sweden,2021-07-16,Pfizer/BioNTech,7542912
Sweden,2021-07-23,Moderna,1088536
Sweden,2021-07-23,Oxford/AstraZeneca,1323793
Sweden,2021-07-23,Pfizer/BioNTech,7887066
Sweden,2021-07-30,Moderna,1157252
Sweden,2021-07-30,Oxford/AstraZeneca,1326459
Sweden,2021-07-30,Pfizer/BioNTech,8183088
Sweden,2021-08-06,Moderna,1183074
Sweden,2021-08-06,Oxford/AstraZeneca,1326943
Sweden,2021-08-06,Pfizer/BioNTech,8281676
