date,location,vaccine,total_vaccinations
2021-02-27,Uruguay,Oxford/AstraZeneca,0
2021-02-27,Uruguay,Pfizer/BioNTech,0
2021-02-27,Uruguay,Sinovac,372
2021-02-28,Uruguay,Oxford/AstraZeneca,0
2021-02-28,Uruguay,Pfizer/BioNTech,4
2021-02-28,Uruguay,Sinovac,373
2021-03-01,Uruguay,Oxford/AstraZeneca,1
2021-03-01,Uruguay,Pfizer/BioNTech,7
2021-03-01,Uruguay,Sinovac,18398
2021-03-02,Uruguay,Oxford/AstraZeneca,2
2021-03-02,Uruguay,Pfizer/BioNTech,25
2021-03-02,Uruguay,Sinovac,33115
2021-03-03,Uruguay,Oxford/AstraZeneca,2
2021-03-03,Uruguay,Pfizer/BioNTech,32
2021-03-03,Uruguay,Sinovac,54414
2021-03-04,Uruguay,Oxford/AstraZeneca,2
2021-03-04,Uruguay,Pfizer/BioNTech,36
2021-03-04,Uruguay,Sinovac,63392
2021-03-05,Uruguay,Oxford/AstraZeneca,2
2021-03-05,Uruguay,Pfizer/BioNTech,42
2021-03-05,Uruguay,Sinovac,72582
2021-03-06,Uruguay,Oxford/AstraZeneca,4
2021-03-06,Uruguay,Pfizer/BioNTech,43
2021-03-06,Uruguay,Sinovac,72584
2021-03-07,Uruguay,Oxford/AstraZeneca,4
2021-03-07,Uruguay,Pfizer/BioNTech,51
2021-03-07,Uruguay,Sinovac,72584
2021-03-08,Uruguay,Oxford/AstraZeneca,5
2021-03-08,Uruguay,Pfizer/BioNTech,53
2021-03-08,Uruguay,Sinovac,100723
2021-03-09,Uruguay,Oxford/AstraZeneca,6
2021-03-09,Uruguay,Pfizer/BioNTech,62
2021-03-09,Uruguay,Sinovac,122546
2021-03-10,Uruguay,Oxford/AstraZeneca,6
2021-03-10,Uruguay,Pfizer/BioNTech,65
2021-03-10,Uruguay,Sinovac,147720
2021-03-11,Uruguay,Oxford/AstraZeneca,8
2021-03-11,Uruguay,Pfizer/BioNTech,73
2021-03-11,Uruguay,Sinovac,170124
2021-03-12,Uruguay,Oxford/AstraZeneca,8
2021-03-12,Uruguay,Pfizer/BioNTech,21981
2021-03-12,Uruguay,Sinovac,170928
2021-03-13,Uruguay,Oxford/AstraZeneca,9
2021-03-13,Uruguay,Pfizer/BioNTech,32311
2021-03-13,Uruguay,Sinovac,171016
2021-03-14,Uruguay,Oxford/AstraZeneca,9
2021-03-14,Uruguay,Pfizer/BioNTech,32311
2021-03-14,Uruguay,Sinovac,171017
2021-03-15,Uruguay,Oxford/AstraZeneca,9
2021-03-15,Uruguay,Pfizer/BioNTech,38548
2021-03-15,Uruguay,Sinovac,176041
2021-03-16,Uruguay,Oxford/AstraZeneca,9
2021-03-16,Uruguay,Pfizer/BioNTech,40563
2021-03-16,Uruguay,Sinovac,180690
2021-03-17,Uruguay,Oxford/AstraZeneca,9
2021-03-17,Uruguay,Pfizer/BioNTech,42019
2021-03-17,Uruguay,Sinovac,187122
2021-03-18,Uruguay,Oxford/AstraZeneca,10
2021-03-18,Uruguay,Pfizer/BioNTech,42245
2021-03-18,Uruguay,Sinovac,223415
2021-03-19,Uruguay,Oxford/AstraZeneca,37
2021-03-19,Uruguay,Pfizer/BioNTech,42344
2021-03-19,Uruguay,Sinovac,259588
2021-03-20,Uruguay,Oxford/AstraZeneca,40
2021-03-20,Uruguay,Pfizer/BioNTech,42375
2021-03-20,Uruguay,Sinovac,272042
2021-03-21,Uruguay,Oxford/AstraZeneca,40
2021-03-21,Uruguay,Pfizer/BioNTech,42388
2021-03-21,Uruguay,Sinovac,272049
2021-03-22,Uruguay,Oxford/AstraZeneca,41
2021-03-22,Uruguay,Pfizer/BioNTech,60326
2021-03-22,Uruguay,Sinovac,292782
2021-03-23,Uruguay,Oxford/AstraZeneca,41
2021-03-23,Uruguay,Pfizer/BioNTech,76739
2021-03-23,Uruguay,Sinovac,312771
2021-03-24,Uruguay,Oxford/AstraZeneca,41
2021-03-24,Uruguay,Pfizer/BioNTech,87218
2021-03-24,Uruguay,Sinovac,337649
2021-03-25,Uruguay,Oxford/AstraZeneca,41
2021-03-25,Uruguay,Pfizer/BioNTech,96350
2021-03-25,Uruguay,Sinovac,371956
2021-03-26,Uruguay,Oxford/AstraZeneca,42
2021-03-26,Uruguay,Pfizer/BioNTech,105026
2021-03-26,Uruguay,Sinovac,404421
2021-03-27,Uruguay,Oxford/AstraZeneca,43
2021-03-27,Uruguay,Pfizer/BioNTech,108312
2021-03-27,Uruguay,Sinovac,414290
2021-03-28,Uruguay,Oxford/AstraZeneca,43
2021-03-28,Uruguay,Pfizer/BioNTech,108316
2021-03-28,Uruguay,Sinovac,414294
2021-03-29,Uruguay,Oxford/AstraZeneca,47
2021-03-29,Uruguay,Pfizer/BioNTech,117082
2021-03-29,Uruguay,Sinovac,459793
2021-03-30,Uruguay,Oxford/AstraZeneca,47
2021-03-30,Uruguay,Pfizer/BioNTech,125836
2021-03-30,Uruguay,Sinovac,503125
2021-03-31,Uruguay,Oxford/AstraZeneca,47
2021-03-31,Uruguay,Pfizer/BioNTech,134341
2021-03-31,Uruguay,Sinovac,552504
2021-04-01,Uruguay,Oxford/AstraZeneca,48
2021-04-01,Uruguay,Pfizer/BioNTech,143077
2021-04-01,Uruguay,Sinovac,591791
2021-04-02,Uruguay,Oxford/AstraZeneca,48
2021-04-02,Uruguay,Pfizer/BioNTech,152753
2021-04-02,Uruguay,Sinovac,631221
2021-04-03,Uruguay,Oxford/AstraZeneca,48
2021-04-03,Uruguay,Pfizer/BioNTech,156106
2021-04-03,Uruguay,Sinovac,640230
2021-04-04,Uruguay,Oxford/AstraZeneca,49
2021-04-04,Uruguay,Pfizer/BioNTech,156108
2021-04-04,Uruguay,Sinovac,640235
2021-04-05,Uruguay,Oxford/AstraZeneca,50
2021-04-05,Uruguay,Pfizer/BioNTech,156815
2021-04-05,Uruguay,Sinovac,677838
2021-04-06,Uruguay,Oxford/AstraZeneca,51
2021-04-06,Uruguay,Pfizer/BioNTech,157481
2021-04-06,Uruguay,Sinovac,721271
2021-04-07,Uruguay,Oxford/AstraZeneca,63
2021-04-07,Uruguay,Pfizer/BioNTech,157496
2021-04-07,Uruguay,Sinovac,767371
2021-04-08,Uruguay,Oxford/AstraZeneca,63
2021-04-08,Uruguay,Pfizer/BioNTech,157520
2021-04-08,Uruguay,Sinovac,816082
2021-04-09,Uruguay,Oxford/AstraZeneca,64
2021-04-09,Uruguay,Pfizer/BioNTech,186669
2021-04-09,Uruguay,Sinovac,826692
2021-04-10,Uruguay,Oxford/AstraZeneca,64
2021-04-10,Uruguay,Pfizer/BioNTech,210041
2021-04-10,Uruguay,Sinovac,830342
2021-04-11,Uruguay,Oxford/AstraZeneca,66
2021-04-11,Uruguay,Pfizer/BioNTech,210043
2021-04-11,Uruguay,Sinovac,830704
2021-04-12,Uruguay,Oxford/AstraZeneca,68
2021-04-12,Uruguay,Pfizer/BioNTech,220810
2021-04-12,Uruguay,Sinovac,873112
2021-04-13,Uruguay,Oxford/AstraZeneca,71
2021-04-13,Uruguay,Pfizer/BioNTech,233505
2021-04-13,Uruguay,Sinovac,917634
2021-04-14,Uruguay,Oxford/AstraZeneca,74
2021-04-14,Uruguay,Pfizer/BioNTech,245817
2021-04-14,Uruguay,Sinovac,963017
2021-04-15,Uruguay,Oxford/AstraZeneca,87
2021-04-15,Uruguay,Pfizer/BioNTech,256996
2021-04-15,Uruguay,Sinovac,1015475
2021-04-16,Uruguay,Oxford/AstraZeneca,107
2021-04-16,Uruguay,Pfizer/BioNTech,267939
2021-04-16,Uruguay,Sinovac,1067291
2021-04-17,Uruguay,Oxford/AstraZeneca,19366
2021-04-17,Uruguay,Pfizer/BioNTech,271596
2021-04-17,Uruguay,Sinovac,1079701
2021-04-18,Uruguay,Oxford/AstraZeneca,34975
2021-04-18,Uruguay,Pfizer/BioNTech,271920
2021-04-18,Uruguay,Sinovac,1079904
2021-04-19,Uruguay,Oxford/AstraZeneca,35874
2021-04-19,Uruguay,Pfizer/BioNTech,287679
2021-04-19,Uruguay,Sinovac,1102103
2021-04-20,Uruguay,Oxford/AstraZeneca,36475
2021-04-20,Uruguay,Pfizer/BioNTech,307756
2021-04-20,Uruguay,Sinovac,1127122
2021-04-21,Uruguay,Oxford/AstraZeneca,37398
2021-04-21,Uruguay,Pfizer/BioNTech,325234
2021-04-21,Uruguay,Sinovac,1155277
2021-04-22,Uruguay,Oxford/AstraZeneca,38240
2021-04-22,Uruguay,Pfizer/BioNTech,337804
2021-04-22,Uruguay,Sinovac,1193021
2021-04-23,Uruguay,Oxford/AstraZeneca,39096
2021-04-23,Uruguay,Pfizer/BioNTech,353149
2021-04-23,Uruguay,Sinovac,1227956
2021-04-24,Uruguay,Oxford/AstraZeneca,39613
2021-04-24,Uruguay,Pfizer/BioNTech,362814
2021-04-24,Uruguay,Sinovac,1240088
2021-04-25,Uruguay,Oxford/AstraZeneca,39615
2021-04-25,Uruguay,Pfizer/BioNTech,362821
2021-04-25,Uruguay,Sinovac,1240596
2021-04-26,Uruguay,Oxford/AstraZeneca,40437
2021-04-26,Uruguay,Pfizer/BioNTech,376226
2021-04-26,Uruguay,Sinovac,1271594
