location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Cameroon,2021-04-11,Sinopharm/Beijing,https://www.voanews.com/africa/cameroon-health-workers-doubt-efficacy-chinese-covid-vaccines,0,0,0
Cameroon,2021-04-12,Sinopharm/Beijing,https://www.voanews.com/africa/cameroon-health-workers-doubt-efficacy-chinese-covid-vaccines,400,400,0
Cameroon,2021-04-29,Sinopharm/Beijing,https://www.journalducameroun.com/en/cameroon-over-11000-already-vaccinated-against-covid-19/,11000,11000,0
Cameroon,2021-05-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,44391,43488,903
Cameroon,2021-05-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,47488,45706,1782
Cameroon,2021-05-21,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,50106,46658,3448
Cameroon,2021-05-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,57008,51925,5083
Cameroon,2021-05-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,64829,56583,8246
Cameroon,2021-05-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,75215,63404,11811
Cameroon,2021-06-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,80445,66216,14229
Cameroon,2021-06-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,86451,70257,16194
Cameroon,2021-06-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,89180,72111,17069
Cameroon,2021-06-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,97245,78476,18769
Cameroon,2021-06-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,102400,82228,20172
Cameroon,2021-06-28,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,110324,88333,21991
Cameroon,2021-07-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,163921,134108,29813
Cameroon,2021-07-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,313881,265223,48658
Cameroon,2021-07-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,318485,269339,49146
Cameroon,2021-07-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,331875,279987,51888
Cameroon,2021-08-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,349845,293991,55854
Cameroon,2021-08-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,368280,306462,61818
Cameroon,2021-08-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,395212,327127,68085
