location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Costa Rica,2020-12-24,Pfizer/BioNTech,55,55,,https://www.presidencia.go.cr/comunicados/2020/12/55-ticos-recibieron-la-primera-dosis-de-la-vacuna-contra-covid-19-este-24-de-diciembre/
Costa Rica,2021-01-03,Pfizer/BioNTech,2455,2455,,https://www.ccss.sa.cr/noticias/servicios_noticia?2-455-personas-iniciaron-nuevo-ano-con-la-primera-dosis-de-la-vacuna-contra-covid-19
Costa Rica,2021-01-08,Pfizer/BioNTech,9751,9751,,https://www.ccss.sa.cr/noticias/servicios_noticia?9-751-personas-recibieron-primera-dosis-de-vacuna-para-evitar-la-covid19
Costa Rica,2021-01-15,Pfizer/BioNTech,24859,24804,55,https://www.ccss.sa.cr/noticias/servicios_noticia?ccss-registra-24-859-vacunas-contra-la-covid19-aplicadas
Costa Rica,2021-01-18,Pfizer/BioNTech,29389,29257,132,https://www.larepublica.net/noticia/sube-a-29389-las-dosis-de-vacunas-covid-19-aplicadas-en-costa-rica/
Costa Rica,2021-01-25,Pfizer/BioNTech,48128,45707,2421,https://www.ccss.sa.cr/noticias/servicios_noticia?ccss-ha-colocado-48-128-vacunas-contra-la-covid-19
Costa Rica,2021-02-01,Pfizer/BioNTech,57701,45863,11838,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
Costa Rica,2021-02-08,Pfizer/BioNTech,75113,46750,28363,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,2021-02-15,Pfizer/BioNTech,96948,54395,42553,https://www.ccss.sa.cr/noticias/servicios_noticia?42-mil-costarricenses-completaron-esquema-de-vacunacion-contra-covid&fbclid=IwAR0Dk1K7u-UwcfZ1oubVY3Y3PczK2JorY6ETERZMVXZreXYqnwrI5QYZ6kE
Costa Rica,2021-02-22,Pfizer/BioNTech,101183,57162,44021,https://www.larepublica.net/noticia/en-costa-rica-ya-se-aplicaron-mas-de-100-mil-vacunas-contra-covid-19
Costa Rica,2021-03-01,Pfizer/BioNTech,149812,103695,46117,https://www.ccss.sa.cr/noticias/salud_noticia?ccss-registra-149-812-vacunas-aplicadas-contra-la-covid-19&fbclid=IwAR1kpWQVip70s5t3IAXdYdQ0StmIdd5SmVDw5Hsv8yjOHrzndCv95_VwNXc
Costa Rica,2021-03-05,Pfizer/BioNTech,193273,142049,51224,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-08,Pfizer/BioNTech,204586,151841,52745,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-12,Pfizer/BioNTech,241724,187826,53898,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-15,Pfizer/BioNTech,248082,190088,57994,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-22,Pfizer/BioNTech,312425,206198,106227,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-24,Pfizer/BioNTech,348037,213404,134633,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-29,Pfizer/BioNTech,384355,224092,160263,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-04-06,Pfizer/BioNTech,504930,291368,213562,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-04-12,Pfizer/BioNTech,586799,354291,232508,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-04-19,Pfizer/BioNTech,698327,450593,247734,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-04-26,"Oxford/AstraZeneca, Pfizer/BioNTech",818884,538682,280202,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-05-03,"Oxford/AstraZeneca, Pfizer/BioNTech",950252,605099,345153,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-05-10,"Oxford/AstraZeneca, Pfizer/BioNTech",1093931,657301,436630,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-05-17,"Oxford/AstraZeneca, Pfizer/BioNTech",1251900,721882,530018,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-05-24,"Oxford/AstraZeneca, Pfizer/BioNTech",1457802,867517,590285,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-06-01,"Oxford/AstraZeneca, Pfizer/BioNTech",1658685,1012339,646346,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-06-07,"Oxford/AstraZeneca, Pfizer/BioNTech",1906177,1219551,686626,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-06-14,"Oxford/AstraZeneca, Pfizer/BioNTech",2150520,1409778,740742,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-06-22,"Oxford/AstraZeneca, Pfizer/BioNTech",2331030,1535967,795063,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-06-28,"Oxford/AstraZeneca, Pfizer/BioNTech",2440385,1629222,811163,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-07-05,"Oxford/AstraZeneca, Pfizer/BioNTech",2521795,1704864,816931,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-07-13,"Oxford/AstraZeneca, Pfizer/BioNTech",2606791,1783949,822842,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-07-19,"Oxford/AstraZeneca, Pfizer/BioNTech",2812795,1982452,830343,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-07-26,"Oxford/AstraZeneca, Pfizer/BioNTech",3424278,2573189,851089,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-08-09,"Oxford/AstraZeneca, Pfizer/BioNTech",3643509,2780658,862851,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-08-16,"Oxford/AstraZeneca, Pfizer/BioNTech",3848155,2948584,899571,https://www.ccss.sa.cr/web/coronavirus/vacunacion
