location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Democratic Republic of Congo,2021-04-18,Oxford/AstraZeneca,https://www.theeastafrican.co.ke/tea/rest-of-africa/drc-to-return-vaccines-3380784,0,0,0
Democratic Republic of Congo,2021-04-25,Oxford/AstraZeneca,https://www.theeastafrican.co.ke/tea/rest-of-africa/drc-to-return-vaccines-3380784,1700,1700,0
Democratic Republic of Congo,2021-05-12,Oxford/AstraZeneca,https://covid19.who.int/,8446,8446,0
Democratic Republic of Congo,2021-05-18,Oxford/AstraZeneca,https://covid19.who.int/,11155,11155,0
Democratic Republic of Congo,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,15436,15436,0
Democratic Republic of Congo,2021-05-24,Oxford/AstraZeneca,https://covid19.who.int/,18204,18204,0
Democratic Republic of Congo,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,19597,19597,0
Democratic Republic of Congo,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,23197,23197,0
Democratic Republic of Congo,2021-06-28,Oxford/AstraZeneca,https://covid19.who.int/,59443,,
Democratic Republic of Congo,2021-07-05,Oxford/AstraZeneca,https://covid19.who.int/,65567,,
Democratic Republic of Congo,2021-07-12,Oxford/AstraZeneca,https://covid19.who.int/,73764,,
Democratic Republic of Congo,2021-07-19,Oxford/AstraZeneca,https://covid19.who.int/,79237,76724,2513
Democratic Republic of Congo,2021-07-24,Oxford/AstraZeneca,https://covid19.who.int/,81384,78871,2513
Democratic Republic of Congo,2021-08-03,Oxford/AstraZeneca,https://covid19.who.int/,86170,81910,4260
Democratic Republic of Congo,2021-08-09,Oxford/AstraZeneca,https://covid19.who.int/,86244,81984,4260
