location,date,vaccine,source_url,people_vaccinated,people_fully_vaccinated,total_vaccinations
Hungary,2020-12-28,Pfizer/BioNTech,https://kormany.hu/hirek/ujabb-helyszineken-folytatodhat-az-egeszsegugyi-dolgozok-oltasa,,,1094
Hungary,2021-01-18,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/573-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-111-beteg,129689,1643,131332
Hungary,2021-01-19,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/976-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-95-beteg,130318,2939,133257
Hungary,2021-01-20,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1-410-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg,134554,4030,138584
Hungary,2021-01-21,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1-311-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg,138983,5815,144798
Hungary,2021-01-22,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1344-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg,143184,6944,150128
Hungary,2021-01-23,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1257-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-64-beteg,145257,8135,153392
Hungary,2021-01-24,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/844-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-56-beteg,146695,9403,156098
Hungary,2021-01-25,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/459-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-89-beteg,149676,12639,162315
Hungary,2021-01-26,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1004-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-85-beteg,152704,17772,170476
Hungary,2021-01-27,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1569-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg,161215,26293,187508
Hungary,2021-01-28,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1459-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-83-beteg,175283,37727,213010
Hungary,2021-01-29,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1370-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-89-beteg,198283,49606,247889
Hungary,2021-01-30,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1307-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-61-beteg,222005,56825,278830
Hungary,2021-01-31,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1124-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-54-beteg,237872,61266,299138
Hungary,2021-02-01,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/578-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-78-beteg,243136,68526,311662
Hungary,2021-02-02,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1048-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-83-beteg,247270,75036,322306
Hungary,2021-02-03,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg,249687,84452,334130
Hungary,2021-02-04,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg,264530,92773,357303
Hungary,2021-02-05,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1561-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-96-beteg,279410,101652,381062
Hungary,2021-02-06,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1-370-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-64-beteg,286379,105242,391621
Hungary,2021-02-07,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1-160-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-65-beteg,289042,107592,396634
Hungary,2021-02-08,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1079-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-94-beteg,291396,110395,401791
Hungary,2021-02-09,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1279-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg,292627,113570,406197
Hungary,2021-02-10,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1862-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-97-beteg,294624,117368,411992
Hungary,2021-02-11,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1860-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-99-beteg,310448,120649,431097
Hungary,2021-02-12,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/2020-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg,330745,124423,455168
Hungary,2021-02-13,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1707-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-70-beteg,335188,128195,463383
Hungary,2021-02-14,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1337-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-46-beteg,336297,129339,465636
Hungary,2021-02-15,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/823-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-85-beteg,341958,131593,473551
Hungary,2021-02-16,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/1548-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-94-beteg,348927,134824,483751
Hungary,2021-02-17,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/2853-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-104-beteg,365021,141023,506044
Hungary,2021-02-18,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/3093-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-110-beteg,391821,152432,544253
Hungary,2021-02-19,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/2995-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-107-beteg,427309,172739,600048
Hungary,2021-02-20,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/2912-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-47-beteg,445535,190705,636240
Hungary,2021-02-21,Pfizer/BioNTech,https://koronavirus.gov.hu/cikkek/2623-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-48-beteg,453457,201005,654462
Hungary,2021-02-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1628-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-103-beteg,457096,205720,662816
Hungary,2021-02-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/2855-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-102-beteg,471004,208846,679850
Hungary,2021-02-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/4385-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-120-beteg,508043,211073,719146
Hungary,2021-02-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/4668-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-123-beteg,521283,240622,761905
Hungary,2021-02-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/4948-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-107-beteg,563601,244407,808008
Hungary,2021-02-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/4-469-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-72-beteg,677682,249499,927181
Hungary,2021-02-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/4326-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-84-beteg,685247,251691,936938
Hungary,2021-03-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/tobb-mint-721-ezer-beoltottak-szama-2764-az-uj-fertozott-es-elhunyt-130-beteg,721677,252847,974524
Hungary,2021-03-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/tobb-mint-758-ezer-beoltottak-szama-4211-az-uj-fertozott-es-elhunyt-136-beteg,758037,253368,1011405
Hungary,2021-03-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/tobb-mint-785-ezer-beoltottak-szama-6278-az-uj-fertozott-es-elhunyt-152-beteg,785440,267153,1052593
Hungary,2021-03-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/tobb-mint-862-953-ezer-beoltottak-szama-6369-az-uj-fertozott-es-elhunyt-143-beteg,862953,279727,1142680
Hungary,2021-03-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/949-497-beoltottak-szama-7269-az-uj-fertozott-es-elhunyt-146-beteg,949497,304880,1254377
Hungary,2021-03-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/981-401-beoltottak-szama-6201-az-uj-fertozott-es-elhunyt-108-beteg,981401,307573,1288974
Hungary,2021-03-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.youtube.com/watch?v=KcUesSdS0qs,1002714,307929,1310643
Hungary,2021-03-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-47-ezer-beoltottak-szama-6494-az-uj-fertozott-es-elhunyt-158-beteg,1047045,314485,1361530
Hungary,2021-03-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/11-millio-beoltottak-szama-5653-az-uj-fertozott-es-elhunyt-179-beteg,1107791,317906,1425697
Hungary,2021-03-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-150-ezer-beoltottak-szama-8312-az-uj-fertozott-es-elhunyt-172-beteg,1149557,327428,1476985
Hungary,2021-03-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-230-ezer-beoltottak-szama-9011-az-uj-fertozott-es-elhunyt-130-beteg,1229827,351694,1581521
Hungary,2021-03-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg,1293414,377343,1670757
Hungary,2021-03-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-319-ezer-beoltottak-szama-8863-az-uj-fertozott-es-elhunyt-162-beteg,1319266,392703,1711969
Hungary,2021-03-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-334-ezer-beoltottak-szama-7706-az-uj-fertozott-es-elhunyt-131-beteg,1334595,398962,1733557
Hungary,2021-03-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-347-ezer-beoltottak-szama-4926-az-uj-fertozott-es-elhunyt-143-beteg,1347073,399505,1746578
Hungary,2021-03-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-397-ezer-beoltottak-szama-3456-az-uj-fertozott-es-elhunyt-195-beteg,1397342,406746,1804088
Hungary,2021-03-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-442-ezer-beoltottak-szama-6502-az-uj-fertozott-es-elhunyt-207-beteg,1441706,421915,1863621
Hungary,2021-03-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-478-ezer-beoltottak-szama-10-759-az-uj-fertozott-es-elhunyt-213-beteg,1477554,444451,1922005
Hungary,2021-03-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://koronavirus.gov.hu/cikkek/1-millio-520-ezer-beoltottak-szama-11-132-az-uj-fertozott-es-elhunyt-227-beteg,1520350,465643,1985993
