location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Kosovo,2021-03-28,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1953205024837075,0,0,0
Kosovo,2021-04-03,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1957354867755424,700,700,0
Kosovo,2021-04-04,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1957948864362691,2500,2500,0
Kosovo,2021-04-14,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/1965538380270406,10704,10704,0
Kosovo,2021-04-18,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/1965538380270406,16132,16132,0
Kosovo,2021-04-23,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1973327486158162,22096,22096,0
Kosovo,2021-05-17,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1993116074179303,46097,46097,0
Kosovo,2021-05-20,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1995742160583361,55237,55237,0
Kosovo,2021-06-02,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2005243602966550,69686,69686,0
Kosovo,2021-06-06,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2008463175977926,80126,80126,0
Kosovo,2021-06-13,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2014407442050166,98277,98277,0
Kosovo,2021-06-20,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2019880388169538,133868,116057,17811
Kosovo,2021-06-30,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2028167994007444,179029,137456,41573
Kosovo,2021-07-08,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2034553783368865/,243428,182669,60759
Kosovo,2021-07-09,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2035363379954572/,250658,187357,63301
Kosovo,2021-07-10,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2036162956541281/,252938,189409,63529
Kosovo,2021-07-11,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2036963956461181/,253858,189582,64276
Kosovo,2021-07-12,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2037744126383164/,260955,193377,67578
Kosovo,2021-07-13,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2038529599637950/,270641,198165,72476
Kosovo,2021-07-14,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2039381189552791/,282180,203882,78298
