location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Saint Lucia,2021-02-16,Oxford/AstraZeneca,0,0,0,https://www.loopslu.com/content/slmda-excited-vaccination-rollout-begin
Saint Lucia,2021-03-04,Oxford/AstraZeneca,2094,2094,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3920340978085958/?type=3&theater
Saint Lucia,2021-03-12,Oxford/AstraZeneca,17389,17389,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/3943336199119769
Saint Lucia,2021-03-19,Oxford/AstraZeneca,20247,20247,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3960352537418135/
Saint Lucia,2021-03-28,Oxford/AstraZeneca,21494,,,https://www.covid19response.lc/
Saint Lucia,2021-03-30,Oxford/AstraZeneca,22011,,,https://www.covid19response.lc/
Saint Lucia,2021-03-31,Oxford/AstraZeneca,22357,,,https://www.covid19response.lc/
Saint Lucia,2021-04-01,Oxford/AstraZeneca,22554,,,https://www.covid19response.lc/
Saint Lucia,2021-04-07,Oxford/AstraZeneca,22839,,,https://www.covid19response.lc/
Saint Lucia,2021-04-08,Oxford/AstraZeneca,22935,,,https://www.covid19response.lc/
Saint Lucia,2021-04-09,Oxford/AstraZeneca,23150,,,https://www.covid19response.lc/
Saint Lucia,2021-04-10,Oxford/AstraZeneca,23257,,,https://www.covid19response.lc/
Saint Lucia,2021-04-14,Oxford/AstraZeneca,23345,,,https://www.covid19response.lc/
Saint Lucia,2021-04-16,Oxford/AstraZeneca,23575,,,https://www.covid19response.lc/
Saint Lucia,2021-04-17,Oxford/AstraZeneca,23664,,,https://www.covid19response.lc/
Saint Lucia,2021-04-19,Oxford/AstraZeneca,23688,,,https://www.covid19response.lc/
Saint Lucia,2021-04-21,Oxford/AstraZeneca,23829,,,https://www.covid19response.lc/
Saint Lucia,2021-04-23,Oxford/AstraZeneca,23861,,,https://www.covid19response.lc/
Saint Lucia,2021-04-24,Oxford/AstraZeneca,23941,,,https://www.covid19response.lc/
Saint Lucia,2021-04-27,Oxford/AstraZeneca,24014,,,https://www.covid19response.lc/
Saint Lucia,2021-04-28,Oxford/AstraZeneca,24123,,,https://www.covid19response.lc/
Saint Lucia,2021-04-29,Oxford/AstraZeneca,24230,,,https://www.covid19response.lc/
Saint Lucia,2021-04-30,Oxford/AstraZeneca,24266,,,https://www.covid19response.lc/
Saint Lucia,2021-05-01,Oxford/AstraZeneca,24426,,,https://www.covid19response.lc/
Saint Lucia,2021-05-19,Oxford/AstraZeneca,44206,26905,17301,https://www.covid19response.lc/
Saint Lucia,2021-05-20,Oxford/AstraZeneca,44362,26975,17387,https://www.covid19response.lc/
Saint Lucia,2021-05-21,Oxford/AstraZeneca,44868,27165,17703,https://www.covid19response.lc/
Saint Lucia,2021-05-22,Oxford/AstraZeneca,45297,27395,17902,https://www.covid19response.lc/
Saint Lucia,2021-05-25,Oxford/AstraZeneca,45476,27507,17969,https://www.covid19response.lc/
Saint Lucia,2021-05-26,Oxford/AstraZeneca,45739,27588,18151,https://www.covid19response.lc/
Saint Lucia,2021-05-27,Oxford/AstraZeneca,45986,27709,18277,https://www.covid19response.lc/
Saint Lucia,2021-05-29,Oxford/AstraZeneca,46571,27995,18576,https://www.covid19response.lc/
Saint Lucia,2021-05-30,Oxford/AstraZeneca,46771,28118,18653,https://www.covid19response.lc/
Saint Lucia,2021-06-01,Oxford/AstraZeneca,47124,28262,18862,https://www.covid19response.lc/
Saint Lucia,2021-06-02,Oxford/AstraZeneca,47542,28477,19065,https://www.covid19response.lc/
Saint Lucia,2021-06-03,Oxford/AstraZeneca,47828,28587,19241,https://www.covid19response.lc/
Saint Lucia,2021-06-07,Oxford/AstraZeneca,48257,28724,19533,https://www.covid19response.lc/
Saint Lucia,2021-06-08,Oxford/AstraZeneca,48666,28914,19752,https://www.covid19response.lc/
Saint Lucia,2021-06-09,Oxford/AstraZeneca,49065,29023,20042,https://www.covid19response.lc/
Saint Lucia,2021-06-10,Oxford/AstraZeneca,49369,29147,20222,https://www.covid19response.lc/
Saint Lucia,2021-06-11,Oxford/AstraZeneca,49735,29366,20369,https://www.covid19response.lc/
Saint Lucia,2021-06-12,Oxford/AstraZeneca,50132,29580,20552,https://www.covid19response.lc/
Saint Lucia,2021-06-14,Oxford/AstraZeneca,50244,29655,20589,https://www.covid19response.lc/
Saint Lucia,2021-06-16,Oxford/AstraZeneca,50706,29798,20908,https://www.covid19response.lc/
Saint Lucia,2021-06-17,Oxford/AstraZeneca,50869,29874,20995,https://www.covid19response.lc/
Saint Lucia,2021-06-18,Oxford/AstraZeneca,51061,30024,21037,https://www.covid19response.lc/
Saint Lucia,2021-06-19,Oxford/AstraZeneca,51178,30063,21115,https://www.covid19response.lc/
Saint Lucia,2021-06-22,Oxford/AstraZeneca,51337,30123,21214,https://www.covid19response.lc/
Saint Lucia,2021-06-23,Oxford/AstraZeneca,51563,30270,21293,https://www.covid19response.lc/
Saint Lucia,2021-06-25,Oxford/AstraZeneca,52030,30462,21568,https://www.covid19response.lc/
Saint Lucia,2021-06-27,Oxford/AstraZeneca,52355,30623,21732,https://www.covid19response.lc/
Saint Lucia,2021-06-29,Oxford/AstraZeneca,52596,30746,21850,https://www.covid19response.lc/
Saint Lucia,2021-06-30,Oxford/AstraZeneca,52771,30815,21956,https://www.covid19response.lc/
Saint Lucia,2021-07-01,Oxford/AstraZeneca,52921,30902,22019,https://www.covid19response.lc/
Saint Lucia,2021-07-05,Oxford/AstraZeneca,53092,30989,22103,https://www.covid19response.lc/
Saint Lucia,2021-07-06,Oxford/AstraZeneca,53189,31037,22152,https://www.covid19response.lc/
Saint Lucia,2021-07-07,Oxford/AstraZeneca,53323,31083,22240,https://www.covid19response.lc/
Saint Lucia,2021-07-08,Oxford/AstraZeneca,53513,31127,22386,https://www.covid19response.lc/
Saint Lucia,2021-07-09,Oxford/AstraZeneca,53699,31229,22470,https://www.covid19response.lc/
Saint Lucia,2021-07-12,Oxford/AstraZeneca,53855,31286,22569,https://www.covid19response.lc/
Saint Lucia,2021-07-13,Oxford/AstraZeneca,53993,31340,22653,https://www.covid19response.lc/
Saint Lucia,2021-07-14,Oxford/AstraZeneca,54152,31400,22752,https://www.covid19response.lc/
Saint Lucia,2021-07-15,Oxford/AstraZeneca,54361,31461,22900,https://www.covid19response.lc/
Saint Lucia,2021-07-16,Oxford/AstraZeneca,54694,31581,23113,https://www.covid19response.lc/
Saint Lucia,2021-07-18,Oxford/AstraZeneca,54870,31657,23213,https://www.covid19response.lc/
Saint Lucia,2021-07-20,Oxford/AstraZeneca,55052,31723,23329,https://www.covid19response.lc/
Saint Lucia,2021-07-21,Oxford/AstraZeneca,55798,31977,23821,https://www.covid19response.lc/
Saint Lucia,2021-07-24,Oxford/AstraZeneca,55939,32001,23938,https://www.covid19response.lc/
Saint Lucia,2021-07-27,Oxford/AstraZeneca,56036,32027,24009,https://www.covid19response.lc/
Saint Lucia,2021-07-28,Oxford/AstraZeneca,56239,32068,24171,https://www.covid19response.lc/
Saint Lucia,2021-07-29,Oxford/AstraZeneca,56551,32133,24418,https://www.covid19response.lc/
Saint Lucia,2021-07-30,Oxford/AstraZeneca,56839,32237,24602,https://www.covid19response.lc/
Saint Lucia,2021-07-31,Oxford/AstraZeneca,57066,32291,24775,https://www.covid19response.lc/
Saint Lucia,2021-08-05,Oxford/AstraZeneca,57509,32448,25061,https://www.covid19response.lc/
Saint Lucia,2021-08-06,Oxford/AstraZeneca,57858,32583,25275,https://www.covid19response.lc/
Saint Lucia,2021-08-07,Oxford/AstraZeneca,58309,32787,25522,https://www.covid19response.lc/
Saint Lucia,2021-08-09,Oxford/AstraZeneca,58353,32810,25543,https://www.covid19response.lc/
Saint Lucia,2021-08-10,Oxford/AstraZeneca,58569,32898,25671,https://www.covid19response.lc/
Saint Lucia,2021-08-11,Oxford/AstraZeneca,59051,33120,25931,https://www.covid19response.lc/
Saint Lucia,2021-08-12,Oxford/AstraZeneca,59319,33256,26063,https://www.covid19response.lc/
