location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Singapore,2021-01-11,Pfizer/BioNTech,3400,3400,0,https://www.moh.gov.sg/news-highlights/details/covid-19-vaccination-centres-set-up-to-support-singapore's-vaccination-programme
Singapore,2021-01-12,Pfizer/BioNTech,6200,6200,0,https://www.moh.gov.sg/news-highlights/details/covid-19-vaccination-centres-set-up-to-support-singapore's-vaccination-programme
Singapore,2021-01-22,Pfizer/BioNTech,60000,60000,0,https://www.moh.gov.sg/news-highlights/details/tightening-safe-management-measures-and-update-on-vaccination-plans
Singapore,2021-01-27,Pfizer/BioNTech,113050,113000,50,https://www.moh.gov.sg/news-highlights/details/update-on-covid-19-vaccination-programme
Singapore,2021-01-31,Pfizer/BioNTech,155050,155000,50,https://www.moh.gov.sg/news-highlights/details/the-progress-of-our-covid-19-vaccination-programme-and-adverse-events
Singapore,2021-02-02,Pfizer/BioNTech,181000,175000,6000,https://www.moh.gov.sg/news-highlights/details/second-covid-19-vaccine-authorised-for-use-in-singapore
Singapore,2021-02-10,Pfizer/BioNTech,256000,250000,6000,https://www.pmo.gov.sg/Newsroom/Chinese-New-Year-Message-2021-by-PM-Lee-Hsien-Loong
Singapore,2021-02-18,Pfizer/BioNTech,360000,250000,110000,https://www.moh.gov.sg/news-highlights/details/start-of-covid-19-vaccination-for-seniors
Singapore,2021-03-01,Pfizer/BioNTech,525039,317715,207324,https://www.moh.gov.sg/covid-19
Singapore,2021-03-04,Pfizer/BioNTech,565000,350000,215000,https://www.straitstimes.com/singapore/politics/budget-debate-more-than-350000-singapore-residents-have-received-their-first
Singapore,2021-03-07,Pfizer/BioNTech,596000,379000,217000,https://www.moh.gov.sg/news-highlights/details/covid-19-vaccination-brought-forward-for-all-seniors-extended-to-essential-services-personnel-and-higher-risk-groups
Singapore,2021-03-08,Pfizer/BioNTech,611314,392620,218694,https://www.moh.gov.sg/covid-19
Singapore,2021-03-15,"Moderna, Pfizer/BioNTech",792423,549254,243169,https://www.moh.gov.sg/covid-19
Singapore,2021-03-22,"Moderna, Pfizer/BioNTech",1071908,771297,300611,https://www.moh.gov.sg/covid-19
Singapore,2021-03-23,"Moderna, Pfizer/BioNTech",1109000,799000,310000,https://www.moh.gov.sg/news-highlights/details/expansion-of-vaccination-programme-further-easing-of-community-measures
Singapore,2021-03-29,"Moderna, Pfizer/BioNTech",1318912,943307,375605,https://www.moh.gov.sg/covid-19
Singapore,2021-04-03,"Moderna, Pfizer/BioNTech",1518000,1050000,468000,https://www.straitstimes.com/singapore/those-aged-below-45-will-be-invited-to-book-covid-19-vaccination-appointments-from-june
Singapore,2021-04-06,"Moderna, Pfizer/BioNTech",1667522,1131658,535864,https://www.moh.gov.sg/covid-19
Singapore,2021-04-18,"Moderna, Pfizer/BioNTech",2213888,1364124,849764,https://www.moh.gov.sg/covid-19
Singapore,2021-05-10,"Moderna, Pfizer/BioNTech",3137330,1852684,1284646,https://www.moh.gov.sg/covid-19
Singapore,2021-05-13,"Moderna, Pfizer/BioNTech",3200000,1900000,1300000,https://www.moh.gov.sg/news-highlights/details/updates-on-local-situation-and-heightened-alert-to-minimise-transmission-14May
Singapore,2021-05-17,"Moderna, Pfizer/BioNTech",3407068,1966524,1440544,https://www.moh.gov.sg/covid-19
Singapore,2021-05-24,"Moderna, Pfizer/BioNTech",3728869,2112450,1616419,https://www.moh.gov.sg/covid-19
