date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,vaccine
2021-03-29,25766,15600,10166,Aruba,https://www.facebook.com/desparuba/photos/4207469465939008,Pfizer/BioNTech
2021-04-10,41096,29197,11899,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-12,43073,31139,11934,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-13,45588,33563,12025,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-14,48200,36058,12142,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-15,50546,37981,12565,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-16,52955,39961,12994,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-17,55582,41770,13812,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-18,55651,41837,13814,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-19,58178,43266,14912,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-20,60379,43945,16434,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-21,62342,44421,17921,Aruba,https://www.facebook.com/desparuba/photos/a.657791820906808/4277983492220938,Pfizer/BioNTech
2021-04-22,64288,45097,19191,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-23,67950,48061,19889,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-24,69279,49351,19928,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-25,73103,53161,19942,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-26,73360,53244,20116,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-28,74668,53813,20855,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-29,75846,54095,21751,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-30,76865,54306,22559,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-03,77728,54614,23114,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-04,78956,55152,23804,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-05,79502,55359,24143,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-06,79553,55371,24182,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-07,80258,55625,24633,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-08,80699,55744,24955,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-10,81616,56009,25607,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-11,82877,56288,26589,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-12,84239,56594,27645,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-13,85441,56932,28509,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-14,87536,57314,30222,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-15,88602,57481,31121,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-17,91006,57936,33070,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-18,93734,58344,35390,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-19,96007,58683,37324,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-20,97921,58953,38968,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-21,100003,59341,40662,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-22,103395,60005,43390,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-23,108471,61242,47229,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-24,109756,61548,48208,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-25,111377,62143,49234,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-26,111665,62244,49421,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-27,112316,62498,49818,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-28,113098,62698,50400,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-29,113662,62914,50748,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-05-31,114154,63113,51041,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-06-01,114632,63277,51355,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-06-02,115144,63456,51688,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-06-03,115828,63707,52121,Aruba,https://www.government.aw,Pfizer/BioNTech
