location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Curacao,2021-03-29,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3843457112406805,19609,15406,4203
Curacao,2021-03-30,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3846943225391527,20485,15755,4730
Curacao,2021-04-01,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3854302891322227,22339,16498,5841
Curacao,2021-04-05,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3865880803497769,28137,20457,7680
Curacao,2021-04-06,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3868669263218923,30206,22031,8175
Curacao,2021-04-07,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3871596152926234,32330,23497,8833
Curacao,2021-04-08,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3874058199346696,34130,24613,9517
Curacao,2021-04-09,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3877507169001799,36866,26645,10221
Curacao,2021-04-10,Pfizer/BioNTech,https://www.facebook.com/GobiernuKorsou/posts/3880378278714688,40648,29990,10658
Curacao,2021-04-13,"Pfizer/BioNTech, Moderna",https://www.facebook.com/GobiernuKorsou/posts/3889610274458155,49926,37940,11986
Curacao,2021-04-14,"Pfizer/BioNTech, Moderna",https://www.facebook.com/GobiernuKorsou/posts/3891702297582286,53519,41117,12402
Curacao,2021-04-15,"Pfizer/BioNTech, Moderna",https://www.facebook.com/GobiernuKorsou/posts/3894788640606985,58175,45386,12789
Curacao,2021-04-16,"Pfizer/BioNTech, Moderna",https://www.facebook.com/GobiernuKorsou/posts/3898038706948645,61031,47915,13116
Curacao,2021-04-17,"Pfizer/BioNTech, Moderna",https://www.facebook.com/GobiernuKorsou/posts/3900251663394016,64447,50876,13571
Curacao,2021-04-19,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,68760,55151,13609
Curacao,2021-04-20,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,71973,57681,14292
Curacao,2021-04-21,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,74839,59842,14997
Curacao,2021-04-22,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,77687,62322,15365
Curacao,2021-04-23,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,80356,64686,15670
Curacao,2021-04-24,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,84016,67614,16402
Curacao,2021-04-25,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,84716,68206,16510
Curacao,2021-04-26,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,86781,68723,18058
Curacao,2021-04-27,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,89193,69788,19405
Curacao,2021-04-28,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,89746,69977,19769
Curacao,2021-04-29,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,93919,71645,22274
Curacao,2021-04-30,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,95693,72248,23445
Curacao,2021-05-01,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,97496,72855,24641
Curacao,2021-05-02,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,97504,72861,24643
Curacao,2021-05-03,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,100527,73347,27180
Curacao,2021-05-04,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,102803,74294,28509
Curacao,2021-05-05,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,105720,75555,30165
Curacao,2021-05-06,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,106971,76031,30940
Curacao,2021-05-08,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,108202,76490,31712
Curacao,2021-05-09,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,109444,77141,32303
Curacao,2021-05-10,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,110103,77334,32769
Curacao,2021-05-11,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,111446,77849,33597
Curacao,2021-05-12,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,112966,78279,34687
Curacao,2021-05-13,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,115561,78676,36885
Curacao,2021-05-14,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,117613,78944,38669
Curacao,2021-05-15,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,120109,79333,40776
Curacao,2021-05-16,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,123637,79747,43890
Curacao,2021-05-17,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,125633,79954,45679
Curacao,2021-05-18,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,129059,80391,48668
Curacao,2021-05-19,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,132406,80771,51635
Curacao,2021-05-20,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,135302,81097,54205
Curacao,2021-05-21,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,137899,81547,56352
