location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Equatorial Guinea,2021-03-16,Sinopharm/Beijing,6565,5765,800,https://guineasalud.org/el-comite-tecnico-nacional-de-vigilancia-y-respuesta-a-la-covid-19-informa-sobre-la-situacion-epidemiologica-del-15-de-febrero-al-15-de-marzo-en-guinea-ecuatorial/
Equatorial Guinea,2021-03-29,Sinopharm/Beijing,12155,9748,2407,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-04-01,Sinopharm/Beijing,14080,11090,2990,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-04-16,Sinopharm/Beijing,32884,27579,5305,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-04-20,Sinopharm/Beijing,45441,38024,7417,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-04-22,Sinopharm/Beijing,55799,47410,8389,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-04-28,Sinopharm/Beijing,75518,64646,10872,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-05-18,Sinopharm/Beijing,175770,130641,45129,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-05-22,Sinopharm/Beijing,192967,136124,56843,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-05-25,Sinopharm/Beijing,206625,142475,64150,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-05-28,Sinopharm/Beijing,219677,148079,71598,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-05-31,Sinopharm/Beijing,224503,148085,76418,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-06-03,Sinopharm/Beijing,236189,148579,87610,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-06-10,Sinopharm/Beijing,247228,148579,98649,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-06-12,Sinopharm/Beijing,248184,148579,99605,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-06-15,Sinopharm/Beijing,255030,148579,106451,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-06-17,Sinopharm/Beijing,257146,148579,108567,https://guineasalud.org/estadisticas/
Equatorial Guinea,2021-06-23,Sinopharm/Beijing,259480,149185,110295,https://guineasalud.org/estadisticas/
