date,people_vaccinated,people_fully_vaccinated,total_vaccinations,vaccine,location,source_url
2021-02-22,47,0,47,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-23,579,0,579,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-24,579,0,579,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-25,579,0,579,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-26,6645,0,6645,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-27,13685,0,13685,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-28,20701,0,20701,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-01,27109,0,27109,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-02,40180,0,40180,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-03,51846,2,51848,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-04,62235,2,62237,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-05,72373,2,72375,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-06,84030,3,84033,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-07,93022,4,93026,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-08,103847,4,103851,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-09,113522,5,113527,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-10,130543,6,130549,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-11,145902,6,145908,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-12,162225,6,162231,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-13,177105,7,177112,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-14,190725,7,190732,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-15,206088,7,206095,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-16,229415,7,229422,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-17,254014,7,254021,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-18,276639,7,276646,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-19,304245,7,304252,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-20,330613,7,330620,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-21,354433,7,354440,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-22,379644,50,379694,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-23,403081,445,403526,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-24,412824,477,413301,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-25,421016,505,421521,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-26,429535,5703,435238,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-27,437267,12011,449278,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-28,443902,18550,462452,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-29,450521,24603,475124,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-30,455929,34393,490322,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-31,461062,44039,505101,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-01,466285,54093,520378,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-02,471428,59810,531238,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-03,475053,68934,543987,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-04,478882,77189,556071,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-05,486982,90255,577237,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-06,502701,113304,616005,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-07,516031,143760,659791,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-08,529488,170821,700309,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-09,543639,201401,745040,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-10,559940,231615,791555,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-11,578950,255947,834897,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-12,597565,280683,878248,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-13,615420,303538,918958,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-14,632372,318743,951115,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-15,649008,332090,981098,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-16,671893,345959,1017852,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-17,697342,359935,1057277,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-18,719911,371197,1091108,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-19,741400,382180,1123580,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-20,758688,390974,1149662,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-21,773899,399204,1173103,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-22,789291,407362,1196653,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-23,806738,416147,1222885,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-24,828266,424807,1253073,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-25,842693,432491,1275184,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-26,859951,442256,1302207,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-27,872395,454481,1326876,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-28,884185,467576,1351761,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-29,897026,480490,1377516,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-04-30,916333,497454,1413787,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-01,936412,518014,1454426,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-02,952163,539781,1491944,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-03,971953,557714,1529667,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-04,989784,573066,1562850,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-05,1005444,588182,1593626,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-06,1021242,602826,1624068,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-07,1038386,623991,1662377,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-08,1055539,648926,1704465,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-05-09,1071480,670204,1741684,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
