date,people_vaccinated,people_fully_vaccinated,total_vaccinations,vaccine,location,source_url
2021-02-24,60,0,60,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-02-25,1205,0,1205,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-02-26,5286,0,5286,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-02-27,11993,0,11993,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-02-28,18682,3,18685,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-01,34044,7,34051,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-02,55689,10,55699,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-03,78337,15,78352,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-04,97861,26,97887,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-05,112133,30,112163,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-06,127736,31,127767,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-07,140090,33,140123,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-08,166894,36,166930,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-09,196694,37,196731,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-10,225231,38,225269,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-11,251578,38,251616,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-12,277488,39,277527,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-13,294150,39,294189,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-14,303998,39,304037,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-15,324226,40,324266,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-16,349675,44,349719,Pfizer/BioNTech,Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-17,370454,104,370558,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-18,387753,897,388650,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-19,398478,4651,403129,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-20,406193,10688,416881,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-21,415894,16462,432356,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-22,425608,30977,456585,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-23,433915,51782,485697,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-24,440214,74505,514719,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-25,446646,93799,540445,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-26,450577,106495,557072,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-27,452277,120590,572867,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-28,455927,133255,589182,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-29,463604,160072,623676,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-30,475012,189212,664224,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-03-31,484829,216344,701173,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-01,500607,242812,743419,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-02,508203,265652,773855,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-03,510902,280096,790998,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-04,516893,288796,805689,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-05,526096,308138,834234,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-06,537076,329799,866875,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-07,549653,347845,897498,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-08,561651,362560,924211,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-09,568841,376868,945709,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-10,574378,386863,961241,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-11,586837,397514,984351,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-12,612100,411417,1023517,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-13,628168,419098,1047266,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-14,649076,426789,1075865,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-15,667161,435936,1103097,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-16,682765,439859,1122624,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-17,691322,440926,1132248,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-18,697406,444670,1142076,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-19,722064,452913,1174977,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-20,744119,464024,1208143,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-21,759925,475715,1235640,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-22,774269,490744,1265013,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-23,786463,497397,1283860,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-24,794401,500868,1295269,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-25,803493,506537,1310030,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-26,824783,515431,1340214,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-27,847563,527244,1374807,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-28,873961,540400,1414361,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
2021-04-29,880405,546427,1426832,"Pfizer/BioNTech, Sinovac",Malaysia,https://github.com/CITF-Malaysia/citf-public
