date,people_vaccinated,people_fully_vaccinated,total_vaccinations,location,source_url,vaccine
2021-02-02,1118,0,1118,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-02-10,1672,0,1672,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-02-16,2454,272,2726,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-02-23,3432,1025,4457,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-03-09,7343,2422,9765,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-03-16,12133,3634,15767,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-03-23,17564,5143,22707,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-03-30,21192,7721,28913,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-04-07,24679,12579,37258,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-04-13,26584,17626,44210,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-04-20,32071,20810,52881,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-04-27,37070,23846,60916,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-05-04,41364,26391,67755,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
2021-05-11,43941,31639,75580,New Caledonia,https://www.spc.int/updates/blog/did-you-know/2021/04/stat-of-the-week-covid-19-vaccination-in-the-pacific-island,Oxford/AstraZeneca
