location,date,vaccine,total_vaccinations,people_vaccinated,source_url,people_fully_vaccinated
Qatar,2020-12-22,Pfizer/BioNTech,0,,https://www.aljazeera.com/news/2020/12/23/qatar-begins-coronavirus-vaccination-campaign,
Qatar,2021-01-28,Pfizer/BioNTech,50000,,https://www.gulf-times.com/story/683467/If-Covid-cases-increase-more-restrictions-may-be-e,
Qatar,2021-02-17,Pfizer/BioNTech,,100000,https://www.gulf-times.com/story/684927/More-than-100-000-vaccinated-in-Qatar-so-far-says-,
Qatar,2021-02-18,Pfizer/BioNTech,140000,,https://www.gulf-times.com/story/685040,
Qatar,2021-03-07,"Moderna, Pfizer/BioNTech",327000,,https://twitter.com/MOPHQatar/status/1368573172711370756,
Qatar,2021-03-10,"Moderna, Pfizer/BioNTech",380000,,https://twitter.com/QNAEnglish/status/1369767228703449106,
Qatar,2021-03-16,"Moderna, Pfizer/BioNTech",510000,,https://twitter.com/QNAEnglish/status/1371853178195607558,
Qatar,2021-03-21,"Moderna, Pfizer/BioNTech",594613,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-22,"Moderna, Pfizer/BioNTech",615655,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-23,"Moderna, Pfizer/BioNTech",637461,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-24,"Moderna, Pfizer/BioNTech",658325,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-25,"Moderna, Pfizer/BioNTech",679278,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-26,"Moderna, Pfizer/BioNTech",701943,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-27,"Moderna, Pfizer/BioNTech",721236,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-28,"Moderna, Pfizer/BioNTech",740309,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-29,"Moderna, Pfizer/BioNTech",765110,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-30,"Moderna, Pfizer/BioNTech",790676,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-03-31,"Moderna, Pfizer/BioNTech",816484,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-01,"Moderna, Pfizer/BioNTech",842000,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-02,"Moderna, Pfizer/BioNTech",867209,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-03,"Moderna, Pfizer/BioNTech",889202,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-04,"Moderna, Pfizer/BioNTech",910851,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-05,"Moderna, Pfizer/BioNTech",934843,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-06,"Moderna, Pfizer/BioNTech",961555,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-07,"Moderna, Pfizer/BioNTech",987673,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-08,"Moderna, Pfizer/BioNTech",1012716,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-09,"Moderna, Pfizer/BioNTech",1041632,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-10,"Moderna, Pfizer/BioNTech",1062250,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-11,"Moderna, Pfizer/BioNTech",1079776,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-12,"Moderna, Pfizer/BioNTech",1104726,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-13,"Moderna, Pfizer/BioNTech",1131631,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-14,"Moderna, Pfizer/BioNTech",1159479,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-15,"Moderna, Pfizer/BioNTech",1183191,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-16,"Moderna, Pfizer/BioNTech",1209648,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-17,"Moderna, Pfizer/BioNTech",1225110,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-18,"Moderna, Pfizer/BioNTech",1248229,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-19,"Moderna, Pfizer/BioNTech",1271478,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-20,"Moderna, Pfizer/BioNTech",1296520,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-21,"Moderna, Pfizer/BioNTech",1320866,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-22,"Moderna, Pfizer/BioNTech",1345423,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-23,"Moderna, Pfizer/BioNTech",1372396,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-24,"Moderna, Pfizer/BioNTech",1394781,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-25,"Moderna, Pfizer/BioNTech",1415761,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-26,"Moderna, Pfizer/BioNTech",1442708,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-27,"Moderna, Pfizer/BioNTech",1469633,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-28,"Moderna, Pfizer/BioNTech",1496833,,https://covid19.moph.gov.qa/EN/Pages/default.aspx,
Qatar,2021-04-29,"Moderna, Pfizer/BioNTech",1526775,971973,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,554982
Qatar,2021-04-30,"Moderna, Pfizer/BioNTech",1556203,989627,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,566576
Qatar,2021-05-01,"Moderna, Pfizer/BioNTech",1579002,1002748,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,576254
Qatar,2021-05-02,"Moderna, Pfizer/BioNTech",1603913,1017019,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,586894
Qatar,2021-05-03,"Moderna, Pfizer/BioNTech",1635398,1031300,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,604098
Qatar,2021-05-04,"Moderna, Pfizer/BioNTech",1670911,1047196,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,623715
Qatar,2021-05-05,"Moderna, Pfizer/BioNTech",1701914,1064294,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,637620
Qatar,2021-05-06,"Moderna, Pfizer/BioNTech",1732471,1080415,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,652056
Qatar,2021-05-07,"Moderna, Pfizer/BioNTech",1762545,1094976,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,667569
Qatar,2021-05-08,"Moderna, Pfizer/BioNTech",1787160,1103747,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,683413
Qatar,2021-05-09,"Moderna, Pfizer/BioNTech",1813240,1115842,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,697398
Qatar,2021-05-10,"Moderna, Pfizer/BioNTech",1844658,1127091,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,717567
Qatar,2021-05-11,"Moderna, Pfizer/BioNTech",1876178,1137843,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,738335
Qatar,2021-05-12,"Moderna, Pfizer/BioNTech",1911663,1149854,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,761809
Qatar,2021-05-13,"Moderna, Pfizer/BioNTech",1944628,1160213,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,784415
Qatar,2021-05-14,"Moderna, Pfizer/BioNTech",1976748,1168975,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,807773
Qatar,2021-05-15,"Moderna, Pfizer/BioNTech",2002018,1177725,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,824293
Qatar,2021-05-16,"Moderna, Pfizer/BioNTech",2035475,1190700,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,844775
Qatar,2021-05-17,"Moderna, Pfizer/BioNTech",2073354,1206737,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,866617
Qatar,2021-05-18,"Moderna, Pfizer/BioNTech",2109980,1221996,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,887984
Qatar,2021-05-19,"Moderna, Pfizer/BioNTech",2150749,1240202,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,910547
Qatar,2021-05-20,"Moderna, Pfizer/BioNTech",2190807,1261828,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,928979
Qatar,2021-05-21,"Moderna, Pfizer/BioNTech",2233616,1288584,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,945022
Qatar,2021-05-23,"Moderna, Pfizer/BioNTech",2293240,1321233,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,972007
Qatar,2021-05-24,"Moderna, Pfizer/BioNTech",2329338,1341921,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,987417
Qatar,2021-05-25,"Moderna, Pfizer/BioNTech",2365647,1361511,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,1004136
Qatar,2021-05-26,"Moderna, Pfizer/BioNTech",2403165,1381456,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,1021709
Qatar,2021-05-27,"Moderna, Pfizer/BioNTech",2440930,1400720,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,1040210
Qatar,2021-05-28,"Moderna, Pfizer/BioNTech",2475837,1420090,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,1055747
Qatar,2021-05-29,"Moderna, Pfizer/BioNTech",2491638,1430121,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,1061517
Qatar,2021-05-30,"Moderna, Pfizer/BioNTech",2514585,1443882,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,1070703
Qatar,2021-05-31,"Moderna, Pfizer/BioNTech",2545193,1461871,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,1083322
